cost_mult,label,FULL_sharpe,FULL_dd,IS_sharpe,IS_dd,OOS_sharpe,OOS_dd,2022_sharpe
1.0,mult=1.0,2.4664731408676,-0.015475875172015652,2.2098877149431724,-0.015475875172015652,2.8949862460199696,-0.012688939810799105,0.59122719504005
2.0,mult=2.0,1.7922671864666582,-0.020330294230565316,1.5449824688292806,-0.020330294230565316,2.2050930408066045,-0.01582782454991749,-0.11610065393198567
3.0,mult=3.0,1.1196878086548763,-0.0474784975769047,0.8836491355567881,-0.0474784975769047,1.514095325963983,-0.02303074320944931,-0.8166907671502232
