year,sharpe,ann_return,ann_vol,max_dd,n
2020,1.3214,0.0741,0.0561,-0.0814,366
2021,1.6117,0.0929,0.0577,-0.0374,365
2022,-1.4600,-0.0890,0.0610,-0.1027,365
2023,2.5869,0.1347,0.0521,-0.0495,365
2024,2.1434,0.1142,0.0533,-0.0469,366
2025,1.7224,0.0999,0.0580,-0.0568,365
2026,0.6484,0.0387,0.0597,-0.0464,144
