month_end,sleeve,trailing_sharpe,state_before
2020-03-31 00:00:00+00:00,RISKPAR,0.0,ON
2020-03-31 00:00:00+00:00,TSMOM,0.989712754343619,ON
2020-03-31 00:00:00+00:00,EVE_XAU,3.9664725151199565,ON
2020-03-31 00:00:00+00:00,D1REV_UK,2.4634308684945116,ON
2020-03-31 00:00:00+00:00,XSMOM,0.0,ON
2020-03-31 00:00:00+00:00,D1REV_NAS,1.4209863050871874,ON
2020-03-31 00:00:00+00:00,WED_BTC,-1.758296830720622,ON
2020-03-31 00:00:00+00:00,DEFEND,-2.211983307782676,ON
2020-04-30 00:00:00+00:00,RISKPAR,2.678949191259733,ON
2020-04-30 00:00:00+00:00,TSMOM,-0.7486948666051935,ON
2020-04-30 00:00:00+00:00,EVE_XAU,1.9668797092715842,ON
2020-04-30 00:00:00+00:00,D1REV_UK,3.1030138035834414,ON
2020-04-30 00:00:00+00:00,XSMOM,0.0,ON
2020-04-30 00:00:00+00:00,D1REV_NAS,3.2840081348307213,ON
2020-04-30 00:00:00+00:00,WED_BTC,3.1988904400480074,ON
2020-04-30 00:00:00+00:00,DEFEND,-0.06503549155450507,ON
2020-05-31 00:00:00+00:00,RISKPAR,3.911022464299287,ON
2020-05-31 00:00:00+00:00,TSMOM,-0.7454010649210296,ON
2020-05-31 00:00:00+00:00,EVE_XAU,-1.645830252716034,ON
2020-05-31 00:00:00+00:00,D1REV_UK,0.23545622156625953,ON
2020-05-31 00:00:00+00:00,XSMOM,0.0,ON
2020-05-31 00:00:00+00:00,D1REV_NAS,2.804873618106868,ON
2020-05-31 00:00:00+00:00,WED_BTC,3.9951081891524467,ON
2020-05-31 00:00:00+00:00,DEFEND,2.2333651672532673,OFF
2020-06-30 00:00:00+00:00,RISKPAR,1.465130759606724,ON
2020-06-30 00:00:00+00:00,TSMOM,-2.1533318790431246,OFF
2020-06-30 00:00:00+00:00,EVE_XAU,0.4246089197650326,ON
2020-06-30 00:00:00+00:00,D1REV_UK,2.2252836875510056,ON
2020-06-30 00:00:00+00:00,XSMOM,0.0,ON
2020-06-30 00:00:00+00:00,D1REV_NAS,1.7919542716461383,ON
2020-06-30 00:00:00+00:00,WED_BTC,3.3407594334842017,ON
2020-06-30 00:00:00+00:00,DEFEND,3.8811726834180624,ON
2020-07-31 00:00:00+00:00,RISKPAR,5.494132358266927,ON
2020-07-31 00:00:00+00:00,TSMOM,5.074293651505945,OFF
2020-07-31 00:00:00+00:00,EVE_XAU,0.7756805247587084,ON
2020-07-31 00:00:00+00:00,D1REV_UK,5.787136572468882,ON
2020-07-31 00:00:00+00:00,XSMOM,0.7967200231927346,ON
2020-07-31 00:00:00+00:00,D1REV_NAS,1.7446500927281208,ON
2020-07-31 00:00:00+00:00,WED_BTC,2.9840663632957125,ON
2020-07-31 00:00:00+00:00,DEFEND,4.286664403544732,ON
2020-08-31 00:00:00+00:00,RISKPAR,7.980932832233888,ON
2020-08-31 00:00:00+00:00,TSMOM,6.140418681719595,ON
2020-08-31 00:00:00+00:00,EVE_XAU,3.147004775537529,ON
2020-08-31 00:00:00+00:00,D1REV_UK,3.2669425187620384,ON
2020-08-31 00:00:00+00:00,XSMOM,-0.58515916909564,ON
2020-08-31 00:00:00+00:00,D1REV_NAS,-0.16195292008306583,ON
2020-08-31 00:00:00+00:00,WED_BTC,3.9432243815868993,ON
2020-08-31 00:00:00+00:00,DEFEND,0.6673093396125671,ON
2020-09-30 00:00:00+00:00,RISKPAR,2.6048773384605965,ON
2020-09-30 00:00:00+00:00,TSMOM,0.044387187459639627,ON
2020-09-30 00:00:00+00:00,EVE_XAU,3.0009962486641153,ON
2020-09-30 00:00:00+00:00,D1REV_UK,1.8440998701457105,ON
2020-09-30 00:00:00+00:00,XSMOM,-1.139915145610596,ON
2020-09-30 00:00:00+00:00,D1REV_NAS,0.44721718427229273,ON
2020-09-30 00:00:00+00:00,WED_BTC,-0.030673438396023642,ON
2020-09-30 00:00:00+00:00,DEFEND,1.8929683669593333,ON
2020-10-31 00:00:00+00:00,RISKPAR,-1.162164056620825,ON
2020-10-31 00:00:00+00:00,TSMOM,-1.3500098877242366,ON
2020-10-31 00:00:00+00:00,EVE_XAU,-0.6060579155245785,ON
2020-10-31 00:00:00+00:00,D1REV_UK,2.0255695690553863,ON
2020-10-31 00:00:00+00:00,XSMOM,-0.13334487418838423,OFF
2020-10-31 00:00:00+00:00,D1REV_NAS,1.5674929017312806,ON
2020-10-31 00:00:00+00:00,WED_BTC,-0.25409146660020043,ON
2020-10-31 00:00:00+00:00,DEFEND,1.8323136503098476,ON
2020-11-30 00:00:00+00:00,RISKPAR,4.644548997288169,ON
2020-11-30 00:00:00+00:00,TSMOM,5.102093321564996,ON
2020-11-30 00:00:00+00:00,EVE_XAU,1.3277756531534022,ON
2020-11-30 00:00:00+00:00,D1REV_UK,0.06500857053116633,ON
2020-11-30 00:00:00+00:00,XSMOM,0.31427967204440255,OFF
2020-11-30 00:00:00+00:00,D1REV_NAS,-0.9122690576323269,ON
2020-11-30 00:00:00+00:00,WED_BTC,1.5361869595020377,OFF
2020-11-30 00:00:00+00:00,DEFEND,0.3498534878510128,ON
2020-12-31 00:00:00+00:00,RISKPAR,7.400796365335952,ON
2020-12-31 00:00:00+00:00,TSMOM,6.245561261421559,ON
2020-12-31 00:00:00+00:00,EVE_XAU,1.0716247136743264,ON
2020-12-31 00:00:00+00:00,D1REV_UK,-0.8243004753627104,ON
2020-12-31 00:00:00+00:00,XSMOM,2.9130339743231644,OFF
2020-12-31 00:00:00+00:00,D1REV_NAS,-3.767880586234655,ON
2020-12-31 00:00:00+00:00,WED_BTC,3.437082583191519,ON
2020-12-31 00:00:00+00:00,DEFEND,0.0,ON
2021-01-31 00:00:00+00:00,RISKPAR,5.70087503289938,ON
2021-01-31 00:00:00+00:00,TSMOM,4.074054420189467,ON
2021-01-31 00:00:00+00:00,EVE_XAU,2.547821327923407,ON
2021-01-31 00:00:00+00:00,D1REV_UK,0.10649630293940669,ON
2021-01-31 00:00:00+00:00,XSMOM,2.2246485759329717,ON
2021-01-31 00:00:00+00:00,D1REV_NAS,2.5274911953574652,OFF
2021-01-31 00:00:00+00:00,WED_BTC,3.4122542099737134,ON
2021-01-31 00:00:00+00:00,DEFEND,0.0,ON
2021-02-28 00:00:00+00:00,RISKPAR,5.360310208713017,ON
2021-02-28 00:00:00+00:00,TSMOM,4.920524503572851,ON
2021-02-28 00:00:00+00:00,EVE_XAU,4.534090195788552,ON
2021-02-28 00:00:00+00:00,D1REV_UK,-0.04321185242258609,ON
2021-02-28 00:00:00+00:00,XSMOM,-3.169658504186417,ON
2021-02-28 00:00:00+00:00,D1REV_NAS,1.729708952836878,ON
2021-02-28 00:00:00+00:00,WED_BTC,3.4334918729306017,ON
2021-02-28 00:00:00+00:00,DEFEND,0.0,ON
2021-03-31 00:00:00+00:00,RISKPAR,4.819199785740355,ON
2021-03-31 00:00:00+00:00,TSMOM,6.3919572994388805,ON
2021-03-31 00:00:00+00:00,EVE_XAU,3.620719307132059,ON
2021-03-31 00:00:00+00:00,D1REV_UK,1.6847110477112412,ON
