sleeve,scale_factor,FULL_sharpe,FULL_ret,FULL_vol,FULL_dd,IS_sharpe,IS_ret,IS_dd,OOS_sharpe,OOS_ret,OOS_dd,Y2022_sharpe,Y2022_ret,Y2024_25_sharpe,Y2024_25_ret,survivor
S1_vol_breakout_short_eq,0.2826,-0.3750,-0.0155,0.0413,-0.1665,-0.3131,-0.0157,-0.1412,-0.7909,-0.0152,-0.0419,0.0286,0.0016,-0.7909,-0.0152,False
S2_safe_haven_basket,1.4961,0.3460,0.0154,0.0446,-0.0773,0.2585,0.0129,-0.0773,0.5835,0.0196,-0.0468,0.2133,0.0155,0.5835,0.0196,True
S3_btc_vol_shock_short,0.2482,-0.3260,-0.0129,0.0397,-0.1408,-0.4500,-0.0225,-0.1408,0.6175,0.0031,-0.0039,0.0501,0.0019,0.6175,0.0031,False
S4_asym_mr_long_eq,1.2636,0.2028,0.0117,0.0575,-0.1282,0.1073,0.0054,-0.0910,0.3257,0.0222,-0.1188,-0.5350,-0.0356,0.3257,0.0222,False
S5_volvol_short_spx,0.5808,-0.5859,-0.0273,0.0466,-0.1802,-0.3017,-0.0151,-0.1426,-1.1888,-0.0477,-0.1328,1.5003,0.0732,-1.1888,-0.0477,False
S6_carry_reversal_jpy,0.9898,-0.1432,-0.0072,0.0504,-0.1265,-0.0188,-0.0009,-0.0994,-0.3474,-0.0177,-0.0702,-0.3166,-0.0216,-0.3474,-0.0177,False
COMBINED,1.0000,0.3460,0.0154,0.0446,-0.0773,0.2585,0.0129,-0.0773,0.5835,0.0196,-0.0468,0.2133,0.0155,0.5835,0.0196,True
