basket,lookback,full_sharpe,full_ann_return,full_ann_vol,full_max_dd,is_sharpe,is_ann_return,is_max_dd,oos_sharpe,oos_ann_return,oos_max_dd,weekly_composition_change_rate
crypto,126,1.102614875830115,0.2701977413601158,0.24505178306858472,-0.15498262536334118,1.2407891271425142,0.3737896091875684,-0.15498262536334118,0.9611763106912731,0.12346234963198513,-0.08886922480740655,0.23255813953488372
fx,126,0.9370063058296162,0.16179098809757364,0.1726679821586958,-0.20264869363136817,0.4825052226122294,0.08518384088468897,-0.17333175947986745,1.7481479721724738,0.2899248226578605,-0.06604625474359704,0.24324324324324326
index,126,0.09658823230132975,0.016624882097253324,0.1721211963522439,-0.24554405319296868,0.33247459141655905,0.05864872379656991,-0.16523723699964965,-0.3271114317437443,-0.053859922625847906,-0.14524435358489962,0.4024390243902439
index_reversal,126,-0.1870090685102327,-0.0321685658490794,0.17201607443608657,-0.23323524897594905,-0.4170954166126337,-0.073504982709017,-0.23323524897594905,0.22568910597973132,0.03716325038924403,-0.13294205114471536,0.4024390243902439
sleeve_momentum,126,0.9263688524354466,0.07658135295250963,0.08266831592100204,-0.08608929696630674,0.9499499223739969,0.08949866812557539,-0.08608929696630674,0.932695693662842,0.05691515211893537,-0.04764235479300172,
sleeve_index_reversal,126,0.8728928821333763,0.06965781221316028,0.07980110004209738,-0.058554821868000984,0.7670986415924116,0.07003462001616222,-0.058554821868000984,1.189456375187188,0.0690841343373626,-0.054157537478744966,
