variant,freq_crypto,freq_fx,freq_index,n_active_rebalances,n_riskoff_triggers
top1,0.3783783783783784,0.44594594594594594,0.17567567567567569,74,0
top2,0.6216216216216216,0.6756756756756757,0.7027027027027027,74,0
top3,1.0,1.0,1.0,74,0
top1_riskoff,0.36486486486486486,0.47297297297297297,0.16216216216216217,74,8
top2_riskoff,0.581081081081081,0.6891891891891891,0.6216216216216216,74,8
