year,sharpe,ann_return,ann_vol,max_dd,n
2020,0.8580,0.0089,0.0104,-0.0052,366
2021,1.9200,0.0363,0.0189,-0.0085,365
2022,-1.1303,-0.0208,0.0184,-0.0302,365
2023,0.2149,0.0024,0.0113,-0.0077,365
2024,-0.6391,-0.0113,0.0177,-0.0266,366
2025,0.1712,0.0037,0.0215,-0.0220,365
2026,0.8075,0.0152,0.0188,-0.0104,144
