pair,sharpe_full,sharpe_is,sharpe_oos,ann_ret_full,ann_ret_is,ann_ret_oos,max_dd_full,n_trades_full,n_trades_is,n_trades_oos,avg_hold_days,hit_rate_full,hit_rate_is,hit_rate_oos
BTCUSDT-ETHUSDT,-0.7095681109534332,-0.49781801991938984,-1.0009493900364637,-0.02242615677433438,-0.014215057791322845,-0.036152032763098516,-0.2431148310936443,23,14,9,75.47826086956522,0.30434782608695654,0.35714285714285715,0.2222222222222222
SPX500_USD-NAS100_USD,0.06087846187545675,-0.07987223517532616,0.3044660726099059,0.001083252326680305,-0.00143874983208386,0.005302912896521964,-0.04170068941242899,11,7,4,91.54545454545455,0.6363636363636364,0.7142857142857143,0.5
SPX500_USD-US30_USD,-0.6882858446950485,-0.1484786591222214,-1.2904081639842118,-0.018527284930836975,-0.0031588562050226636,-0.04424080483778195,-0.15360056942629396,11,7,4,97.27272727272727,0.2727272727272727,0.42857142857142855,0.0
EUR_USD-GBP_USD,0.07720131526895112,-0.313579706125977,0.7279666708399914,0.002151109001047679,-0.008715079926868693,0.020343212399720582,-0.07846617956243307,27,17,10,35.629629629629626,0.37037037037037035,0.17647058823529413,0.7
XAU_USD-EUR_USD_INV,-0.13691659547187962,0.5572628748018368,-0.5410790730876042,-0.010270671398320065,0.02021790870788332,-0.06126615708649172,-0.2658303881300582,22,12,10,36.95454545454545,0.5,0.6666666666666666,0.3
SLEEVE,-0.5020400427230377,-0.1730022078867202,-0.829042188542535,-0.008098708037878401,-0.001875906263250507,-0.01850089727441313,-0.10846567938595486,94,57,37,67.3761235543844,0.4167618211096472,0.46862745098039216,0.34444444444444444
