year,sharpe,ann_return,ann_vol,max_dd,n
2020,1.7217,0.3828,0.2224,-0.2388,366
2021,3.3570,0.7779,0.2317,-0.1115,365
2022,-1.5551,-0.3446,0.2216,-0.3162,365
2023,3.3973,0.4773,0.1405,-0.0714,365
2024,1.9075,0.2913,0.1527,-0.1081,366
2025,0.9349,0.1604,0.1716,-0.1848,365
2026,0.0760,0.0127,0.1666,-0.1323,144
