symbol,hold,pct,scale,label,FULL_sharpe,FULL_ret,IS_sharpe,IS_ret,OOS_sharpe,OOS_ret
EUR_USD,1,0.9,1.2026402367622204,EUR_USD,-2.3399727012414,-0.1063934219675695,-2.2298616102231072,-0.10845929059889892,-2.6027924394635993,-0.10330528412516637
EUR_USD,1,0.95,1.497785710106046,EUR_USD,-1.7016477669438421,-0.07827702262772082,-1.8059162308419512,-0.0870386015475399,-1.516022165664204,-0.06389680359421963
EUR_USD,2,0.9,1.0811089129723706,EUR_USD,-2.1700321343706053,-0.09950210963905273,-2.290849168487168,-0.11496603174683988,-1.9699492340174911,-0.07398847190483654
EUR_USD,2,0.95,1.3104954751215379,EUR_USD,-1.7060195081959435,-0.0777353526151105,-1.8374039433726577,-0.08938488740528194,-1.4649964894637042,-0.0585245548327428
EUR_USD,3,0.9,0.9559657741316546,EUR_USD,-1.48389810136833,-0.0692331208933176,-1.4931534517294438,-0.07487277379976856,-1.492058743425078,-0.060041705096384596
EUR_USD,3,0.95,1.15212846521646,EUR_USD,-1.2365608284172984,-0.057647934392081455,-1.333863225607376,-0.06585500671097355,-1.058340293730941,-0.044123888935924976
GBP_USD,1,0.9,0.9955996764596462,GBP_USD,-2.0638730525486677,-0.09157539293605005,-1.8789408611949263,-0.09299334609607522,-2.61525107792749,-0.08951960219234759
GBP_USD,1,0.95,1.242900359594828,GBP_USD,-1.4674860434751404,-0.06318466105313703,-1.2485985849566688,-0.059710442769974864,-2.053519333461708,-0.06921099619076299
GBP_USD,2,0.9,0.8865357859808882,GBP_USD,-1.8296283264194497,-0.08123914701853503,-1.6228508184788308,-0.08064213377817457,-2.4374111497876614,-0.08251685658906392
GBP_USD,2,0.95,1.0819036124008492,GBP_USD,-1.423197540742464,-0.06000033184136576,-1.290333919071636,-0.060682914108289646,-1.8165485079991492,-0.05906546492662844
GBP_USD,3,0.9,0.7589518530073681,GBP_USD,-1.5080408591414471,-0.06345902374090513,-1.2647671434433443,-0.05965396024695228,-2.1954081264141223,-0.07003948204985694
GBP_USD,3,0.95,0.9205341658368287,GBP_USD,-1.256873314250762,-0.054025084705278746,-1.2826992274505613,-0.06203635169371195,-1.2709833252166565,-0.04081596542199917
USD_JPY,1,0.9,1.0949099010318226,USD_JPY,-2.603721892750712,-0.12922941134115343,-2.798259115379424,-0.13920352020330667,-2.2821885830108304,-0.11299711491111217
USD_JPY,1,0.95,1.325858083270456,USD_JPY,-1.8436757085788793,-0.09761347036208831,-1.8245003581237922,-0.10115198061300969,-1.8943366676799274,-0.09203284245525675
USD_JPY,2,0.9,1.0040527581442982,USD_JPY,-2.4899193594706657,-0.12389478553003092,-2.6156872005646297,-0.12896527487461798,-2.2898839259227772,-0.11584307783757929
USD_JPY,2,0.95,1.1827682160830522,USD_JPY,-1.7553700093233109,-0.09361902702383489,-1.6471294729409947,-0.09063978029734734,-1.9601953745490401,-0.09892246602416786
USD_JPY,3,0.9,0.8686863592945767,USD_JPY,-2.2565884876692692,-0.11072179404601416,-2.10063833886049,-0.09954152956472176,-2.5049564117287417,-0.12979632500457194
USD_JPY,3,0.95,1.0433241022123323,USD_JPY,-1.6913370656115903,-0.09055690173430071,-1.704957429615139,-0.08939644305891642,-1.6742171764284892,-0.09280875890621948
XAU_USD,1,0.9,0.6016227141907122,XAU_USD,-0.7726769086698876,-0.04030001416322705,-0.894631563238532,-0.043658724930292526,-0.6065641291004152,-0.03482283497069062
XAU_USD,1,0.95,0.7497777590636557,XAU_USD,-0.7051890663905025,-0.03792080631414791,-1.1417413722470757,-0.05336117908627025,-0.19152245040608196,-0.0122346812191801
XAU_USD,2,0.9,0.5548096955746985,XAU_USD,-0.5396505047804976,-0.028233613947955864,-0.693766248735887,-0.03380880835825829,-0.3283227953862317,-0.019008920589725274
XAU_USD,2,0.95,0.6711833150867396,XAU_USD,-0.5353837474889371,-0.028927965488474122,-0.946380244709153,-0.043529132112885206,-0.07060574483214536,-0.004614069798192072
XAU_USD,3,0.9,0.49900047233331357,XAU_USD,-0.5046336083003701,-0.028714945813790728,-0.7813796827614619,-0.037046729352073864,-0.2125393359571186,-0.014882840812213388
XAU_USD,3,0.95,0.5988625101179001,XAU_USD,-0.9620524346940742,-0.055770891572772104,-1.1957537770785247,-0.05596241724478652,-0.7622340994780397,-0.055642529468324056
