year,variant,sharpe,ann_return,ann_vol,max_dd
2020,top1,-0.577137088676541,-0.10715700774973057,0.18566993848109314,-0.3056660821070264
2020,top2,1.7790795548881553,0.35015761865205614,0.19681953945790207,-0.06617573017091916
2020,top3,1.8548563309681418,0.31474713230381857,0.16968814621860032,-0.07730505712960967
2020,top1_riskoff,-0.577137088676541,-0.10715700774973057,0.18566993848109314,-0.3056660821070264
2020,top2_riskoff,1.833632437327066,0.36282100967921377,0.19787008687962973,-0.06617573017091916
2021,top1,1.7977394443234127,0.24879455094058334,0.13839299778740644,-0.08491694784497483
2021,top2,2.7890368922599515,0.30663930393142463,0.1099445133846743,-0.07037846658407565
2021,top3,2.5217404322284156,0.2733073297926241,0.1083804368997278,-0.06939087937327215
2021,top1_riskoff,2.063901910295241,0.27904665741977114,0.13520344936346976,-0.08491694784497483
2021,top2_riskoff,3.1768445581932627,0.33587655856631576,0.10572646927281067,-0.07037846658407587
2022,top1,-0.9955549699145125,-0.1653594242436316,0.1660977336669123,-0.2947276096053838
2022,top2,-1.4509543520611223,-0.18454294074816663,0.12718728227805243,-0.2861294500284087
2022,top3,-1.4158660133908232,-0.15003692651404296,0.10596830850874311,-0.2074987543514336
2022,top1_riskoff,-0.9187343665241441,-0.15428749163720037,0.16793482127039355,-0.2993876540105572
2022,top2_riskoff,-1.1588400648090196,-0.1504716123691129,0.1298467467069419,-0.26951061912687724
2023,top1,-0.1308905422517518,-0.020447682922467392,0.15621971282798108,-0.30946881216250666
2023,top2,0.8270977262165413,0.105432415600582,0.12747274265021843,-0.15916083612211585
2023,top3,2.4053727724474223,0.2522094560926385,0.10485254467897716,-0.08574269818932778
2023,top1_riskoff,-0.130890542251677,-0.020447682922455197,0.1562197128279772,-0.30946881216249145
2023,top2_riskoff,0.631904653410515,0.08157436912534834,0.12909284444271021,-0.1591608361221144
2024,top1,-1.0447385429104514,-0.19589645552118423,0.18750763705477197,-0.29104779077010545
2024,top2,0.12532387279979237,0.016285277538991498,0.12994553372131729,-0.12051686243669935
2024,top3,1.4724181756440784,0.15631868113850222,0.10616459625685068,-0.07944393833277164
2024,top1_riskoff,-1.0447385429104281,-0.19589645552117027,0.18750763705476278,-0.29104779077008924
2024,top2_riskoff,0.12532387279979854,0.016285277538992143,0.12994553372131604,-0.12051686243669868
2025,top1,1.766981859433956,0.23135033346710954,0.13092965965209258,-0.060368321266813574
2025,top2,1.1133467611679682,0.1105885777696628,0.09932985986652414,-0.11371367045786762
2025,top3,0.2798654418859931,0.029079235039357082,0.10390434361382457,-0.11833840438027632
2025,top1_riskoff,1.766981859433961,0.2313503334670944,0.13092965965208364,-0.06036832126681346
2025,top2_riskoff,1.1133467611679633,0.11058857776966202,0.09932985986652389,-0.11371367045786762
2026,top1,1.012738862161544,0.17385462425133866,0.17166777216416007,-0.09138526270493841
2026,top2,0.5944757550597046,0.0781867064325834,0.13152211131761113,-0.10163689102825979
2026,top3,-0.6708936847142155,-0.07041593863712113,0.10495841627592101,-0.11288131373094823
2026,top1_riskoff,1.0127388621612767,0.17385462425126574,0.1716677721641334,-0.09138526270493685
2026,top2_riskoff,0.16918404921677677,0.0220994032208134,0.1306234442497429,-0.10163689102825713
