pair,scale,n_trades,2022_sharpe,label,FULL_sharpe,FULL_ret,FULL_dd,IS_sharpe,IS_ret,IS_dd,OOS_sharpe,OOS_ret,OOS_dd
GBP_USD-UK100_GBP,1.8077495466767468,4,0.0,GBP_USD-UK100_GBP,0.335339939012239,0.011818546934348282,-0.10694138408331222,0.11833474963746496,0.004921333435044557,-0.10694138408331222,1.127039893575761,0.02341096630713449,-0.013945589302190697
GBP_USD-US30_USD,3.0004244702954077,7,0.0,GBP_USD-US30_USD,0.8182242540094702,0.044168080399848514,-0.060985940478331835,0.6307867602603124,0.026569480752137012,-0.047082574282245604,1.062230182463014,0.07381109662716333,-0.060985940478331946
GBP_USD-SPX500_USD,2.8332912841010067,7,0.0,GBP_USD-SPX500_USD,0.6122356919088248,0.03303060087416886,-0.06832958309985482,0.33032945989038426,0.013913865634718501,-0.04999066606471203,0.9386858926044355,0.06516211001338432,-0.0683295830998546
USD_JPY-XAU_USD,1.5425369135317704,7,0.0,USD_JPY-XAU_USD,0.02942185821866175,0.0013334798720399921,-0.1493913863862808,-0.611668599994573,-0.02573927225736868,-0.1493913863862808,0.9279487691456112,0.04662879683749368,-0.03572794044192673
UK100_GBP-JP225_USD,0.6288297080737902,12,0.4828456505816803,UK100_GBP-JP225_USD,0.3271161241343886,0.012461511661761111,-0.05845894915934702,0.07144768373415165,0.002969908830557933,-0.05845894915934702,0.9009046779565677,0.02839695982331887,-0.04426125234393641
GBP_USD-DE30_EUR,2.206914166362079,6,0.0,GBP_USD-DE30_EUR,0.5525217794602588,0.021945868488521883,-0.07649547052260974,0.39673419903852875,0.016621785906976667,-0.07649547052260974,0.8627711763527098,0.030953155628471715,-0.036592471101026036
GBP_USD-NAS100_USD,3.0586444537915494,6,0.0,GBP_USD-NAS100_USD,0.39629409959794215,0.02253751131420698,-0.07201012494228265,-0.04170476728120111,-0.0017566538826733577,-0.07201012494228265,0.8395588829208777,0.06328199630156169,-0.06953548626039951
DE30_EUR-JP225_USD,1.1412248143775139,4,-0.36596269870865406,DE30_EUR-JP225_USD,0.04320612732171705,0.0015192220965280446,-0.0908316018864258,-0.15579639229478712,-0.006524137012858827,-0.0908316018864258,0.7729592983783125,0.014981692873847416,-0.014352895906234342
USD_JPY-US30_USD,1.248743597398016,5,0.7301943103415632,USD_JPY-US30_USD,0.49885380277554076,0.020966330398221485,-0.05070954817139006,0.36318646770506074,0.015297841475214262,-0.04483115652258385,0.7278846368747574,0.030545265880111448,-0.05070954817139006
SPX500_USD-NAS100_USD,2.4039946669446386,5,-0.04061442977127416,SPX500_USD-NAS100_USD,0.10292927728916915,0.003746403895891668,-0.08727244768689535,-0.09027864662733724,-0.0038026428501830643,-0.08727244768689535,0.6817477429798598,0.016392183037198985,-0.023402852691154163
