sub_sleeve,asset,symbol,tf,is_sharpe,oos_sharpe,full_sharpe,is_ret,oos_ret,exposure,survives
S1_BTCUSDT,crypto,BTCUSDT,D1,0.08964706423613487,-0.5881890653725027,-0.16911849013677352,0.019677511218036042,-0.13330126210145987,0.16873661670235546,False
S1_ETHUSDT,crypto,ETHUSDT,D1,-0.23305716471288426,-0.4860663601478589,-0.31064346057911546,-0.09056424978007702,-0.1456309925033494,0.19443254817987152,False
S1_SOLUSDT,crypto,SOLUSDT,D1,0.955034501964456,0.13975171076783918,0.7095202672622887,0.7926200294471303,0.05714608581611577,0.2252721249408424,True
S2_BTCUSDT,crypto,BTCUSDT,D1,-0.14472997873523197,-0.47533246250072436,-0.21268505607628876,-0.015596294782551479,-0.025949142228719538,0.05310492505353319,False
S2_ETHUSDT,crypto,ETHUSDT,D1,-0.09209942876760877,-0.5712885785671713,-0.21450705351046115,-0.017409340965884645,-0.06556791417589844,0.09721627408993576,False
S2_SOLUSDT,crypto,SOLUSDT,D1,-0.07236128024519194,-0.4605378198411118,-0.20519252315469486,-0.02129653279175825,-0.10194137023091783,0.15570279223852343,False
S3_SPX500_USD,index,SPX500_USD,H1,-0.23977312674380238,-0.805328244640846,-0.4024229626574181,-0.02593845160848118,-0.06114211280251344,0.5518108651911469,False
S3_NAS100_USD,index,NAS100_USD,H1,-0.2723372714850562,-1.1235672756934614,-0.5114426971400652,-0.040248919443976156,-0.11282401660298091,0.5357142857142857,False
S3_US30_USD,index,US30_USD,H1,-0.3994531528319822,-0.7461586230091198,-0.48378233042768,-0.04042084555591916,-0.047295768899819554,0.5035211267605634,False
S4_EUR_USD,fx,EUR_USD,H1,-1.5598866945210208,-2.3105893774186406,-1.808561428060282,-0.07452345941963623,-0.09395832710197688,0.6862155388471178,False
S4_GBP_USD,fx,GBP_USD,H1,-1.1791846592605564,-2.0798893893024393,-1.4302807606198324,-0.06903694325480039,-0.08627223757808668,0.7027568922305765,False
S4_USD_JPY,fx,USD_JPY,H1,-1.3130976602253743,-1.8366194837786591,-1.5247094885812797,-0.06755940509935734,-0.11130977077157614,0.6611528822055138,False
S4_XAU_USD,fx,XAU_USD,H1,-0.8735910968134115,-0.9262376265934634,-0.8898365815063163,-0.08187186078048217,-0.11101267288850375,0.7052896725440806,False
S5_BTCUSDT,crypto,BTCUSDT,D1,0.48531975513492104,-0.05079472486591935,0.3128006607555368,0.16476160295962236,-0.013426408081390836,0.3006423982869379,False
S5v_BTCUSDT_vanilla,crypto,BTCUSDT,D1,0.5665644093627055,-0.4161612662740991,0.27432404877428845,0.2606778269993094,-0.1329200443190498,0.5978586723768736,False
S5_ETHUSDT,crypto,ETHUSDT,D1,0.4754378531855785,0.5678608622168916,0.49581820117696745,0.26253363772359584,0.21823635038208047,0.34132762312633835,False
S5v_ETHUSDT_vanilla,crypto,ETHUSDT,D1,0.6608821351903681,-0.3069794756015324,0.36929212999875993,0.4777083099384223,-0.1561222749603656,0.7306209850107066,False
