label,FULL_sharpe,FULL_ret,FULL_vol,FULL_dd,IS_sharpe,IS_ret,IS_vol,IS_dd,OOS_sharpe,OOS_ret,OOS_vol,OOS_dd,Y2022_sharpe,gross_IS_sharpe,gross_OOS_sharpe,gross_FULL_sharpe,family,survived,scope,n_total,n_survivors
SPX500_USD,-0.43484530173976904,-0.035856735590436735,0.08245860182225222,-0.23214353756189077,-0.24028250516797678,-0.021682074923734005,0.09023576189442711,-0.18361971019605594,-0.8824064640882298,-0.059680388639546694,0.06763367118033645,-0.14446508368566147,0.7746119356187712,0.15283626401843228,-0.33761179608304703,0.0011747415000778086,ORB,False,strategy,,
NAS100_USD,0.07860834483292335,0.007832205922473917,0.09963580761203832,-0.2015871943247265,0.36720521583268345,0.040196460745720225,0.10946593079994726,-0.2015871943247265,-0.5732920617384399,-0.04625447631895465,0.08068222012126498,-0.13100626379426683,2.0700175560210847,0.6914688927275776,-0.136582761469769,0.43369768920454427,ORB,False,strategy,,
US30_USD,-0.5539457299589948,-0.04149278290626213,0.0749040576760716,-0.30061531798017505,-0.744199073709961,-0.06228743511957455,0.08369727579619378,-0.2555599492242021,-0.11967763999800107,-0.0068664932522590335,0.057374905223513115,-0.07218688914332505,-0.029900238738497908,-0.3378091040765962,0.4996416457066797,-0.09250705775539173,ORB,False,strategy,,
DE30_EUR,0.2728517001008395,0.02092090483865702,0.0766750026879992,-0.13708708158429928,0.11333620140125711,0.009446685265085287,0.083350995959712,-0.13708708158429928,0.6267219647101836,0.040210941047668126,0.06416073364568124,-0.05195477802966475,0.7014140742583364,0.4829602165626298,1.1260134698409756,0.680236610390784,ORB,False,strategy,,
UK100_GBP,-0.865842455651561,-0.055198957894242145,0.06375173397186212,-0.33275208818996804,-1.1386700401376635,-0.0800510750151879,0.07030225806723592,-0.30043304186198816,-0.272046544291033,-0.013880084399820778,0.05102099141157252,-0.07300991151123826,-0.4872803614439793,-0.6817753785101104,0.36773797837518946,-0.3593388722025133,ORB,False,strategy,,
JP225_USD,-0.7953459076222517,-0.04386936957854949,0.05515759766678171,-0.32473141360378033,-0.817890977293076,-0.04479181697306936,0.05476502152073386,-0.21517286417908543,-0.7598726942043218,-0.04247794733947344,0.05590139988376996,-0.15737292903389,-1.587546214514162,-0.2392355879393587,-0.21852342674680098,-0.23122309321494908,ORB,False,strategy,,
BTCUSDT,-1.6035194151721524,-0.7252309867300709,0.45227452805877677,-0.996139559051185,-1.6187950805426372,-0.8250549261834533,0.5096722470313452,-0.9826072385971544,-1.6680350062484224,-0.5593068212664458,0.33530880297553395,-0.7996363517210537,-1.9500770372341947,0.2016139957325308,0.9764942561184048,0.4113687730473419,MOM,False,strategy,,
ETHUSDT,-0.6786559478814009,-0.40299373719181825,0.5938115453785778,-0.9871297366253751,-0.8122498260806876,-0.527243835325944,0.6491153563799821,-0.966730261109265,-0.40154974521742604,-0.1958974562551686,0.48785351899326085,-0.6484638834327286,-0.47498180301181414,0.5766938152343127,1.4105263822816296,0.8270633089044916,MOM,False,strategy,,
SOLUSDT,-1.1182266009216169,-0.9310795517812064,0.8326394230058843,-0.9993464504896983,-1.049648740088827,-1.0237473152820458,0.9753237213388268,-0.9950102115668265,-1.3966907432601388,-0.8009892269542528,0.5734907536399886,-0.9139924494591437,-1.3123614362296172,-0.14986089812808212,0.12113829765586126,-0.06867510225442233,MOM,False,strategy,,
BTCUSDT,-0.7486970620950558,-0.3212936016265577,0.42913698729829625,-0.947491492844968,-0.8282260270946554,-0.4001588902425816,0.4831517932928334,-0.8986607469223967,-0.5947240080600152,-0.1899182838030239,0.3193385187568529,-0.5501479259213113,-1.1956353089343101,-0.5695363657515162,-0.19193534791302028,-0.45420901390248036,RSI,False,strategy,,
ETHUSDT,-1.02645820828119,-0.5698633871725135,0.5551744655310935,-0.9938816496271657,-0.9957575338516849,-0.6119134325281322,0.6145205150105095,-0.9704585594879552,-1.139956796277524,-0.5002716219184736,0.4388513876596791,-0.8266962843317928,-1.0758410219105898,-0.7802069972536227,-0.8423612674751516,-0.7893696006829698,RSI,False,strategy,,
SOLUSDT,-0.07308160312669218,-0.05030047941659326,0.6882782706530642,-0.957356780308671,0.0999276078730396,0.08058132505799066,0.8063970185333682,-0.9057539282594051,-0.49753534932924165,-0.23559921238510234,0.47353260969844313,-0.7261619454225836,0.05540571861551101,0.254478448901528,-0.24079634087333035,0.10585394240692075,RSI,False,strategy,,
EUR_USD,-0.3287359000832868,-0.014882261968877836,0.04527117958551939,-0.12692455980390038,-0.5316579271661244,-0.0251531253870344,0.04731073139660896,-0.10797503402043973,0.053701289321481084,0.002239609679935954,0.041704951747594005,-0.07215862098069192,-0.6751561914820365,-0.13636034510330186,0.5232313899765605,0.09149770783278692,RSI,False,strategy,,
GBP_USD,0.06792869217288824,0.0038173886268662014,0.056196998716689574,-0.10896697601138206,0.22453591802563122,0.014173424766625408,0.06312319601805304,-0.10896697601138206,-0.3191206573448826,-0.01348496060006994,0.04225662077869302,-0.09869742155580186,0.8342090413739573,0.5339264900328513,0.12345306417510854,0.40926639965005374,RSI,False,strategy,,
USD_JPY,-0.9368591845310572,-0.05752834961604506,0.06140554585568881,-0.34423609176397785,-1.1013619975207525,-0.06844933286541889,0.06214971373581385,-0.254921650087479,-0.6552116133921748,-0.03946618387207842,0.06023425572045846,-0.12397026237518272,-0.9800868275749639,-0.7812757031208847,-0.338132563265758,-0.6180607983455635,RSI,False,strategy,,
