label,FULL_sharpe,FULL_ret,FULL_vol,FULL_dd,IS_sharpe,IS_ret,IS_vol,IS_dd,OOS_sharpe,OOS_ret,OOS_vol,OOS_dd,Sh2022
TOP9 baseline (regime-gated),2.5303094881115675,0.047290256256589676,0.01868951465375232,-0.012093947854887599,2.3136228609196374,0.043077298784147816,0.018618980436174073,-0.012093947854887599,2.890879705549172,0.05438202761359392,0.018811584414669763,-0.01208676060766778,0.9791461770995491
+ decay tripwire,2.1498658703430333,0.03655245742121432,0.01700220368416844,-0.013089720246670544,1.8181527470930423,0.030445805743888332,0.016745460903967876,-0.01222543700921419,2.686446069553975,0.04679532230258405,0.017419044004986624,-0.013089720246670544,0.5910556077285907
+ vol-target 10%,2.171509349991317,0.17056306028558652,0.07854585580590225,-0.064501587049554,1.8083716273433994,0.13570672630458572,0.0750436051155849,-0.06015591144349808,2.7251985980887543,0.22898504046012505,0.0840250837574618,-0.06450158704955322,0.5923346490100978
+ DD control (PRODUCTION),2.1424485548873182,0.15951363495044996,0.0744538927604913,-0.0647795150472823,1.7706580118794348,0.1272465514914098,0.07186399103480524,-0.0647795150472823,2.719276749217625,0.213597680127966,0.07854944524841803,-0.05370856520156719,0.557829970212226
