,2020,2021,2022,2023,2024,2025,2026
v3 baseline (no overlays),3.292890370344826,2.126907224907299,0.5201462401236615,2.9746685203420715,2.0641049449550932,2.7441048364686593,4.9185153163338535
+ tripwire only,2.9284382682688026,1.3642371160709243,-0.0663605007424485,2.3014329531094964,1.7540137854866247,2.662186627376418,4.5538426199614985
+ tripwire + vol-target 10%,3.007928428536699,1.3555625680113965,-0.054520951904293166,2.3014329531094955,1.7864007562026412,2.7279864582307076,4.7111948882139965
+ tripwire + vol-target + DD control,2.912321788463362,1.3286924598077479,-0.02408144069371604,2.3014329531094955,1.8227773490961325,2.7873115214662216,4.544430327281873
