pair,scale,label,FULL_sharpe,FULL_ret,FULL_dd,IS_sharpe,IS_ret,IS_dd,OOS_sharpe,OOS_ret,OOS_dd,n_trades
BTCUSDT-ETHUSDT,0.4661258915344598,BTCUSDT-ETHUSDT,-0.41936521541380345,-0.022444029025134146,-0.1833538277682062,-0.1288130996496912,-0.006442860308685975,-0.10531711331244786,-0.8356308465869979,-0.049229997358512724,-0.1538722950641529,10
SPX500_USD-NAS100_USD,2.4039946669446386,SPX500_USD-NAS100_USD,0.10292927728916915,0.003746403895891668,-0.08727244768689535,-0.09027864662733724,-0.0038026428501830643,-0.08727244768689535,0.6817477429798598,0.016392183037198985,-0.023402852691154163,5
SPX500_USD-US30_USD,1.9403631423422814,SPX500_USD-US30_USD,-0.33023551996711165,-0.016272541238072796,-0.15383759085677706,-0.6597474652465112,-0.02778933973170973,-0.15383759085677706,0.04912140967776828,0.0029188306112618244,-0.09107887605005538,6
NAS100_USD-US30_USD,0.7672369862118323,NAS100_USD-US30_USD,0.4449976205201889,0.019446425148497006,-0.08424365937878908,0.5377127074730192,0.022649092104418973,-0.03874644755786971,0.3061308279235479,0.014178090397484076,-0.0842436593787883,9
EUR_USD-GBP_USD,1.390873354836902,EUR_USD-GBP_USD,0.2237474787440636,0.0075133788806908556,-0.062095334359325016,0.2532092557784118,0.010686081496925601,-0.062095334359325016,0.3566789963206782,0.0022403663603851403,-0.0041190591646737,8
DE30_EUR-UK100_GBP,2.184138233090256,DE30_EUR-UK100_GBP,-0.1727037063905212,-0.01225367020363052,-0.21991068408899395,-0.41965659554554824,-0.0174094378529163,-0.10255434605235247,-0.035793145028025566,-0.0036850182962164476,-0.16771731729649741,4
BTCUSDT-SOLUSDT,1.1493059850531993,BTCUSDT-SOLUSDT,-0.4516109084366636,-0.044635495574952236,-0.31548536729461396,-0.5771646167874053,-0.028869893087104102,-0.09723523939221212,-0.4730711620507905,-0.06702574273765909,-0.31548536729461396,6
