strategy,session,symbol,class,hold_bars,full_sharpe,full_dd,full_vol,full_ret,is_sharpe,is_vol,oos_sharpe,oos_vol,y2022_sharpe,y2024_sharpe,n_trigger_events,exposure,scale
asia_momentum,Asia (00z),JP225_USD,index,5,0.8224852528103906,-0.05289732984376494,0.059593650911613484,0.049014899035932584,0.830189815923142,0.04412064715907113,0.882777696715696,0.07883360867305604,0.732585409387712,0.8587553175035224,228,0.015092940740348462,1.520935597275061
asia_momentum,Asia (00z),USD_JPY,forex,5,0.19578718714144946,-0.08070940582558506,0.0375879231490802,0.007359233743847386,0.535182158364389,0.04069190152958639,-0.5244671565096151,0.031701557778672916,0.8958058137309767,-0.9048785034175796,204,0.01281986828213765,3.118603266918206
asia_momentum,Asia (00z),XAU_USD,forex,5,0.2610320308519665,-0.17082955731860006,0.06664360504450904,0.017396115568064557,-0.1721821388558843,0.04379502915745949,0.6334050261156677,0.09285158262659285,-1.1740959283745973,0.14090588887136105,250,0.016541393182299385,2.329464848602268
asia_momentum,Asia (00z),BTCUSDT,crypto,5,-0.4628494776799747,-0.13954620490484837,0.029158828023338898,-0.013496148320362618,-0.5834740523856394,0.031475807150325254,-0.2163367471761265,0.024804053420000628,-0.7340951982657706,-0.22818592108270563,314,0.014013102697299131,0.34252724139099344
london_fx_momentum,London (08z),EUR_USD,forex,3,0.009805119590244186,-0.1710928578466533,0.07141608544903019,0.0007002432584948387,0.7546863300823433,0.047336521785736226,-0.5804294924639212,0.09917475407451647,1.2688901705109097,0.0,12,0.0004524773132902642,19.410146834678134
london_fx_momentum,London (08z),GBP_USD,forex,3,-0.4755061422123117,-0.09089729405333002,0.023021482666045527,-0.010946856410538913,-0.601846461242051,0.029122494231093695,0.0,0.0,0.48169236279437894,0.0,24,0.0009049773755656109,5.191426502354314
ny_open_continuation,NY (14z),SPX500_USD,index,2,-0.11207848671391886,-0.1001643197301455,0.03754608032376398,-0.004208107864726712,-0.3242877612798116,0.038415093473617525,0.26350997177357594,0.03603954608998051,-0.07319171022201042,0.7612217656635443,238,0.0063114906255801,1.3268331351445402
ny_open_continuation,NY (14z),NAS100_USD,index,2,-0.5928326741920645,-0.20950755555234646,0.03784231880275206,-0.02243416305346415,-0.8135326777956066,0.040503869563470594,-0.15073375599370362,0.032919292527502746,-0.15785130127835761,-0.21579586114670998,250,0.006629892860931367,1.1484365806687313
ny_open_continuation,NY (14z),US30_USD,index,2,-0.3446913817411129,-0.12656401534745176,0.036340032635854586,-0.012526096061769855,-0.4520281456387926,0.04065246139642806,-0.10128000847583205,0.02772004791290778,-0.7217306002488392,-0.9186124502228524,236,0.006258120972660497,1.3921003373864544
ny_first_bar_cont,NY (14z),SPX500_USD,index,2,-0.4133601741231865,-0.13985002370264443,0.03736168147216961,-0.01544383115887106,-0.5403909353520109,0.03932762969250877,-0.1712457246972974,0.03383536528713293,-1.3154547190475905,-0.7890474821189618,752,0.01994218886737914,0.9417629952930168
ny_first_bar_cont,NY (14z),NAS100_USD,index,2,-0.4073469783902037,-0.14687682319602313,0.038929309782715894,-0.015857736710805516,-0.5229288788424556,0.040553293786248605,-0.19332184996215634,0.036063133660691096,-1.200394653406431,-0.24665059072608642,730,0.01935928715391959,0.817022846960249
ny_first_bar_cont,NY (14z),US30_USD,index,2,-0.8461717572930098,-0.25044372135281656,0.03650430522759213,-0.03088891210319204,-1.1426533413686435,0.0401523604935751,-0.20356359713756958,0.029394543089183652,-2.1368238984505386,-1.3387300865766847,744,0.0197289915409297,1.0302059963428545
gap_continuation,Daily open,SPX500_USD,index,6,0.18557193958686286,-0.07071488915627333,0.03772456879601703,0.007000621401554924,0.10869001273669582,0.04687842197832049,0.8701773905975103,0.01168278300298193,-1.1241689311204848,1.1173415811924878,84,0.006603198175501869,1.2484297693288628
gap_continuation,Daily open,NAS100_USD,index,6,0.013546580598401045,-0.07502841147363493,0.022959200971022237,0.00031101866642884026,-0.4320086836123042,0.025798486306807714,1.126526334327942,0.017170767324013403,-1.160343343861664,1.0703767512352458,93,0.0072663625755807785,1.1025413978427097
gap_continuation,Daily open,US30_USD,index,6,0.052389610698915914,-0.04895414280291854,0.0282753988808761,0.0014813371397256617,0.10320880397201844,0.03479822938607803,-0.18800957265006574,0.010766868653423139,-0.32235252050113206,0.0,75,0.005913393969929198,1.5334482872686863
crypto_sunday_follow,Asia Sun (00z),BTCUSDT,crypto,8,-0.19201005073893954,-0.09646427236994493,0.028145231321022587,-0.005404167294008737,-0.10253155978071687,0.034590783933587235,-0.786642640447533,0.010812654916264345,0.01659653468718358,-1.3121645746431128,64,0.00456987807708099,0.7617050120527853
crypto_sunday_follow,Asia Sun (00z),ETHUSDT,crypto,8,-0.0976100936983504,-0.08432917298103793,0.036962291163117694,-0.0036078927037376273,-0.017782976994358605,0.04418481734528881,-0.4226760044448391,0.01968430979181918,0.1424052698889211,-0.17143168646314894,144,0.010282225673432229,0.4450207445971901
