sleeve,label,FULL_sharpe,FULL_ret,FULL_vol,IS_sharpe,IS_ret,IS_vol,OOS_sharpe,OOS_ret,OOS_vol,Y2022_sharpe,Y2022_ret,Y2022_vol,scale
dom_BTCUSDT,dom_BTCUSDT,0.5067223410828346,0.0249401352906298,0.04921854291510861,0.5722687258909809,0.028613436294549044,0.05,0.3929313309488952,0.01882549688234631,0.047910399094122536,-1.2927234630370863,-0.08360919465171457,0.064676782809593,0.12392670144630016
dom_ETHUSDT,dom_ETHUSDT,0.6791370473485355,0.03098549897795019,0.04562481033676893,0.8474447164111786,0.04237223582055894,0.05000000000000002,0.3221147640167344,0.01197788123312681,0.0371851357688918,-0.13420218692504335,-0.006200490619519274,0.04620260490227679,0.08719546526388292
dom_SOLUSDT,dom_SOLUSDT,1.0596816568196465,0.04413332541992506,0.04164772046010453,1.5649512375289147,0.07824756187644576,0.05000000000000001,-0.161748136509032,-0.004099142739452743,0.02534275094553468,-0.9149435346159198,-0.030188793546251144,0.03299525315398175,0.05189280317022218
mr_ETH_BTC_ETH,mr_ETH_BTC_ETH,0.3768712972818949,0.018213362655511513,0.04832780523980353,0.4543705074742511,0.022718525373712557,0.05,0.235572318968225,0.01069981831883567,0.04542052464270603,-0.6124483181547395,-0.03023373964066208,0.049365372953842135,0.10965341723091487
mr_ETH_BTC_BTC,mr_ETH_BTC_BTC,-0.6961594562660012,-0.033296887084725904,0.047829397108703826,-1.03613175760176,-0.051806587880088,0.05,-0.05415045432438965,-0.0023795144912048295,0.043942650544541856,0.3070506013453512,0.015728933669852858,0.051225868312701796,0.1499281193357641
mr_SOL_BTC_SOL,mr_SOL_BTC_SOL,-0.8294621572469567,-0.03567973722427721,0.04301550940274451,-1.1180391948003658,-0.05590195974001831,0.05000000000000002,-0.23290650319016293,-0.007099405971705715,0.030481785070248592,-0.5898943305285501,-0.030896152599277825,0.052375740874801464,0.064840070914989
mr_SOL_BTC_BTC,mr_SOL_BTC_BTC,0.05004134416016037,0.0024391797257667528,0.04874328950797183,-0.20523208289847875,-0.01026160414492394,0.05000000000000001,0.5084970972347156,0.023682689039551622,0.04657389229622289,0.04999735675531368,0.0028874911837138244,0.057752876773969536,0.15796306529355866
mr_SOL_ETH_SOL,mr_SOL_ETH_SOL,-0.38020690936692086,-0.015604487546949795,0.0410420935614576,-0.5631538384597365,-0.028157691922986835,0.05000000000000001,0.09309965140449934,0.002144607791277757,0.023035615696989732,-0.5830936032624144,-0.027980234692218935,0.04798583715490832,0.06276312950081896
mr_SOL_ETH_ETH,mr_SOL_ETH_ETH,-0.00838352422093133,-0.00040173458626747315,0.04791953546987477,0.004090067357659931,0.00020450336788299656,0.049999999999999996,-0.032000223806184246,-0.0014160635068241236,0.04425167509454919,0.30446489230468404,0.017714163600549622,0.058181301188653,0.13632266819732386
ll_BTC_to_SOL,ll_BTC_to_SOL,0.3902944329243672,0.016727367277933863,0.04285832916601031,0.4267623921000242,0.021338119605001208,0.049999999999999996,0.3406649626162866,0.010220761715800702,0.030002386031442334,0.3923048757436078,0.016935392758892883,0.043168958139488095,0.036689477465187526
ll_BTC_to_ETH,ll_BTC_to_ETH,0.46465488325586535,0.02148624519339972,0.046241298580237185,0.1969309985151272,0.00984654992575636,0.05,1.0462060196674443,0.040977014192200074,0.039167251403528884,0.7285342979465629,0.03561646694014559,0.04888783828096178,0.05635301693219925
ll_ETH_to_SOL,ll_ETH_to_SOL,0.24809673855592762,0.010649108867259194,0.04292321184568334,1.028216220709107,0.05141081103545535,0.049999999999999996,-1.5691868739545833,-0.04703004041556849,0.029970962156371996,1.3740455843638555,0.05922532044494541,0.04310287891384992,0.036745912032056384
