,2020,2021,2022,2023,2024,2025,2026
equal,4.644451025073018,2.7994390477358158,2.309605511176375,3.095504371608019,1.9377926852893363,3.090187072925116,4.379433237959099
inv_vol,4.523422695247126,2.588499738541988,1.9186409247680316,2.6307608355854892,1.5120809723785213,2.212673282701884,0.02100100110169601
sharpe,5.356614984912407,2.9377434165194125,4.493198896839586,2.249296783397734,2.3481799707597273,1.4008443968884459,3.8965224313680573
kelly,5.329974695618624,2.7940837286217373,4.40921091652294,1.9414249755756772,2.5878161662564465,2.4936039520736526,4.2635643850752105
kelly_filtered,5.329974695618624,2.7940837286217373,4.40921091652294,1.9414249755756772,2.5878161662564465,2.4936039520736526,4.2635643850752105
