sleeve,strategy,FULL_sharpe,FULL_ret,FULL_vol,IS_sharpe,IS_ret,IS_vol,OOS_sharpe,OOS_ret,OOS_vol,Y2022_sharpe,Y2022_ret,Y2022_vol,scale
tsmom_BTCUSDT,1_tsmom,0.9078344082708583,0.042081118758946434,0.046353297887329316,1.0488773752340448,0.05244386876170225,0.05,0.627434319298974,0.02479872026494354,0.039524009927685975,0.025556753538938187,0.0010093256968763064,0.03949350199502065,0.08576968807170889
tsmom_ETHUSDT,1_tsmom,0.7992720975746966,0.03798040574446254,0.04751874344132606,0.6656055587134969,0.03328027793567485,0.05,1.0651565449286384,0.04588437711510919,0.04307759017542653,0.2101877212759441,0.00889810334187285,0.04233407778464381,0.06497574544842336
tsmom_SOLUSDT,1_tsmom,0.7410502464181472,0.03249998316959152,0.04385665253696303,1.4259786417952944,0.07129893208976473,0.05000000000000001,-0.6760625804891504,-0.02237621801013922,0.033097850193024136,1.2888999308153837,0.0460757360297326,0.03574810963065548,0.04204748111880356
tsmom_EUR_USD,1_tsmom,0.017439868695294784,0.0008774242440879251,0.05031140196168169,-0.08787437609138896,-0.004393718804569449,0.05000000000000001,0.1904170789692458,0.00969939060551372,0.050937608422615625,1.385946578383826,0.08096723788674387,0.05842017228482286,0.7760042354395312
tsmom_GBP_USD,1_tsmom,-0.08925528109942535,-0.004192132766661652,0.0469678960731954,0.027250783652996494,0.001362539182649825,0.05000000000000001,-0.32524887063110014,-0.013503629368542885,0.04151783630283165,0.28308522297966215,0.017094489767891935,0.06038637265471134,0.6436187168108425
tsmom_USD_JPY,1_tsmom,0.6352575161162398,0.03439888012544568,0.054149505126282284,0.7974097017742093,0.03987048508871047,0.05,0.41944440831953517,0.025403578500635855,0.06056482813160609,2.039385253268592,0.1238568787044746,0.060732457737430905,0.6690973578013363
tsmom_XAU_USD,1_tsmom,0.4906974557100215,0.029377626721753095,0.059869123794915,0.06828333753848788,0.003414166876924394,0.05,0.9923948775107505,0.07294603872095219,0.07350505365759707,-0.01917539685239458,-0.0008596341993717832,0.04483006041486093,0.38430642325538694
tsmom_SPX500_USD,1_tsmom,0.4779214687514657,0.023292373268742308,0.04873682140622789,0.35805434501924366,0.01790271725096218,0.049999999999999996,0.6947374289875218,0.03241554025259795,0.046658692766616675,-0.6629860044359961,-0.0400538270699749,0.06041428748416612,0.33712464586717206
tsmom_NAS100_USD,1_tsmom,0.4021223226893421,0.019623599974531926,0.04880007616411799,0.5409357490596209,0.02704678745298104,0.04999999999999999,0.15578857785436542,0.007295697082657389,0.04683075731956143,-0.2951568719487869,-0.01749879371346598,0.059286418093298605,0.25432284495813456
tsmom_US30_USD,1_tsmom,0.06592660474881336,0.0032392095692515568,0.04913357181965086,-0.08304454927047199,-0.0041522274635235985,0.04999999999999999,0.3270634357130423,0.015618998799540483,0.04775525813666381,-0.6206174307489333,-0.033745644888613105,0.05437431051185651,0.36832544582675286
tsmom_UK100_GBP,1_tsmom,-0.8671657026212477,-0.040458350118492144,0.04665584673862863,-1.0216135449946184,-0.051080677249730935,0.05000000000000001,-0.5641463486746672,-0.022874389274891594,0.04054690654052754,-1.6273384086117584,-0.07950648018671364,0.04885675884374819,0.37820821794226606
tsmom_DE30_EUR,1_tsmom,-0.3584243082528088,-0.017222488577890178,0.048050559577958576,-0.31268279989707565,-0.015634139994853784,0.05,-0.4463286740519714,-0.019958685877564587,0.04471746279792133,-0.5852359613968809,-0.03382630628712866,0.05779943222625919,0.31711166753141046
tsmom_JP225_USD,1_tsmom,0.03414321203401119,0.001977950267229676,0.057930995632729985,-0.16319784705495335,-0.008159892352747668,0.05,0.273420643978303,0.018946326287945434,0.06929369345443023,-1.181652132823732,-0.05500697187813216,0.04655090136103329,0.31693472097029624
roff_xau,2_roff_xau,0.3985854344889031,0.017926016772442224,0.04497408891879941,0.11201122422238603,0.005600561211119302,0.05,1.1010286239016427,0.03862722844916302,0.035082855804676766,0.7411581532608434,0.06538800617584292,0.08822409345179294,0.9459356998968141
ron_BTCUSDT,3_ron_crypto,0.8745512124197502,0.044316487638057435,0.05067340483748282,0.8973102224093961,0.04486551112046981,0.05000000000000001,0.8386491410090048,0.04344906748148931,0.05180839680967703,0.0,0.0,0.0,0.16722515410065086
ron_ETHUSDT,3_ron_crypto,0.9006843851607935,0.049311009437864005,0.05474837828909493,0.8068171678530224,0.04034085839265112,0.05,1.0398826906225582,0.06436912116231841,0.06190036793840834,0.0,0.0,0.0,0.13315357154644542
ron_SOLUSDT,3_ron_crypto,0.9973797374859353,0.044781836466065726,0.04489948490325855,1.5616128240300378,0.07808064120150188,0.049999999999999996,-0.06312147603792012,-0.002295783237902766,0.03637087378190552,0.0,0.0,0.0,0.07064545545093097
brk_long_BTCUSDT,4_brk_spread,0.6829114119758608,0.0341109959302597,0.049949371663839524,0.7475834914957423,0.037379174574787115,0.049999999999999996,0.5749303539733035,0.02868438673772845,0.049891933065444635,1.4344342764645859,0.06283210071904466,0.04380270448772694,0.2361164746826991
