strategy,session,symbol,class,hold_bars,full_sharpe,full_dd,full_vol,full_ret,is_sharpe,is_vol,oos_sharpe,oos_vol,y2022_sharpe,y2024_sharpe,n_trigger_events,exposure,scale
asia_overreaction,Asia (00z),JP225_USD,index,5,-1.0299884192240454,-0.4065458764871035,0.06039102202723015,-0.06220205331315128,-1.0828632579290562,0.044948832740554646,-1.062936340728383,0.07966356727542781,-0.9181990356278249,-0.9979128228906357,228,0.015092940740348462,1.520935597275061
asia_overreaction,Asia (00z),USD_JPY,forex,5,-0.6154911727759808,-0.18571247320361184,0.03806964453085318,-0.023431530159459524,-0.9487569189204557,0.041568060184040155,0.10202484903368397,0.03132599332595196,-1.4217333804937313,0.5041498481354344,204,0.01281986828213765,3.118603266918206
asia_overreaction,Asia (00z),XAU_USD,forex,5,-0.48057044171934693,-0.2594403685352281,0.06696758742669814,-0.03218264307052731,-0.15239820494853168,0.043786355834350935,-0.7975559865725694,0.09347381228818669,0.7354412436287933,-0.4684505782356687,250,0.016541393182299385,2.329464848602268
london_fx_fade,London (08z),EUR_USD,forex,3,-0.09169476544771785,-0.19978382656651594,0.07180979718175098,-0.006584582509428847,-0.8156773093835905,0.05342250023741481,0.5804294924639213,0.09467428207794769,-1.3932405818909943,0.0,12,0.0004524773132902642,19.410146834678134
london_fx_fade,London (08z),GBP_USD,forex,3,0.35186774752386896,-0.031097749940136366,0.02216518168304212,0.007799212552269349,0.44530342088320035,0.028042684287119868,0.0,0.0,-1.0761371939730084,0.0,24,0.0009049773755656109,5.191426502354314
ny_open_reversal,NY (14z),SPX500_USD,index,2,-0.20756461325587278,-0.1334528304817466,0.03758187041375393,-0.007800666397863162,0.04249261232167446,0.0382767873900284,-0.6449768144074878,0.036376653617212304,-0.3131402048174831,-1.2312221827597531,238,0.0063114906255801,1.3268331351445402
ny_open_reversal,NY (14z),NAS100_USD,index,2,0.3066699083687257,-0.06042208638137325,0.037551542036889346,0.011515927955557207,0.5711486793262027,0.04005404295946101,-0.22335975585768567,0.03294258145916391,-0.12366415438403586,-0.13062936912756337,250,0.006629892860931367,1.1484365806687313
ny_open_reversal,NY (14z),US30_USD,index,2,0.0008972957075929628,-0.09345602243511397,0.03620401794710478,3.248570990155571e-05,0.16934263813316464,0.04040683947176144,-0.40523275714026225,0.02783891336456117,0.3001491930450872,-0.043471973978023784,236,0.006258120972660497,1.3921003373864544
ny_first_bar_cont,NY (14z),SPX500_USD,index,2,-0.4133601741231865,-0.13985002370264443,0.03736168147216961,-0.01544383115887106,-0.5403909353520109,0.03932762969250877,-0.1712457246972974,0.03383536528713293,-1.3154547190475905,-0.7890474821189618,752,0.01994218886737914,0.9417629952930168
ny_first_bar_cont,NY (14z),NAS100_USD,index,2,-0.4073469783902037,-0.14687682319602313,0.038929309782715894,-0.015857736710805516,-0.5229288788424556,0.040553293786248605,-0.19332184996215634,0.036063133660691096,-1.200394653406431,-0.24665059072608642,730,0.01935928715391959,0.817022846960249
ny_first_bar_cont,NY (14z),US30_USD,index,2,-0.8461717572930098,-0.25044372135281656,0.03650430522759213,-0.03088891210319204,-1.1426533413686435,0.0401523604935751,-0.20356359713756958,0.029394543089183652,-2.1368238984505386,-1.3387300865766847,744,0.0197289915409297,1.0302059963428545
gap_fill,Daily open,SPX500_USD,index,6,-0.2927794376847413,-0.11624365305203876,0.03785619079141458,-0.011083514252796642,-0.18942958898377185,0.04697178984621354,-1.207962187164679,0.01218133292206189,1.0115611534389775,-1.1314012597260747,84,0.006603198175501869,1.2484297693288628
gap_fill,Daily open,NAS100_USD,index,6,-0.19010144389236056,-0.0760078241733938,0.022809249195466504,-0.004336071206158846,0.2803185927313772,0.025382734722753337,-1.3226793657227898,0.01766134127545315,1.0660393262544405,-1.0778985494147837,93,0.0072663625755807785,1.1025413978427097
gap_fill,Daily open,US30_USD,index,6,-0.207661215325235,-0.07887140576486706,0.028475315717010546,-0.005913218668564175,-0.21974753532141258,0.03504825469226453,-0.2718271480421307,0.010822616739946682,-0.012091716077145213,0.0,75,0.005913393969929198,1.5334482872686863
crypto_sunday_reset,Asia Sun (00z),BTCUSDT,crypto,8,0.005188910237098434,-0.11129485508613401,0.02799671022169694,0.00014527241627444162,-0.11014893969365064,0.03459648803120582,0.6971081201975114,0.00968390249692671,-0.18328050957638853,1.2723912894768261,64,0.00456987807708099,0.7617050120527853
crypto_sunday_reset,Asia Sun (00z),ETHUSDT,crypto,8,-0.08942857932727999,-0.11997206697609508,0.036958758585236645,-0.003305169273977626,-0.1661240768461283,0.04424849421544692,0.17761990002333092,0.01942225158180904,-0.4676451013130575,-0.0462190537751811,144,0.010282225673432229,0.4450207445971901
