symbol,class,sleeve,full_sharpe,full_dd,full_vol,is_sharpe,is_vol,oos_sharpe,oos_vol,y2022_sharpe
BTCUSDT,crypto,ewma_voltarget,0.6694474322023337,-0.12771318256038988,0.04753366653954216,0.7264447217213611,0.04999787473961381,0.5638462896611192,0.04309681773211341,-1.2019868936721922
BTCUSDT,crypto,volregime_tsmom,0.7642397776633371,-0.08653441037885179,0.045699528349938415,0.8777421375920578,0.050008242569260654,0.5331652652705944,0.037385571903285154,0.904961265362645
BTCUSDT,crypto,volofvol_filter,0.6062774845435597,-0.08269097124711755,0.04386822512412976,0.6468899582262554,0.04999685344526957,0.5477493658605272,0.031019513334068907,-0.025469025750248998
BTCUSDT,crypto,predictive_skew,0.15982894106694714,-0.14033154364442735,0.04796041450385914,0.6647731525639001,0.050002124137779456,-0.7936664692205845,0.04420708815981223,-0.24431588788945596
ETHUSDT,crypto,ewma_voltarget,0.7674993960658266,-0.10471393211968782,0.04804780471995724,1.015224282777276,0.04999945066283761,0.3067510776595631,0.04455675096901106,-0.937359549122977
ETHUSDT,crypto,volregime_tsmom,0.5547313822021497,-0.1510243338370293,0.04803319268168142,1.180355039560757,0.04999567229878141,-0.619151777099579,0.04435126683234694,1.2034428056807098
ETHUSDT,crypto,volofvol_filter,0.543955968514575,-0.13367223304728804,0.046734320520774135,0.4201798518837745,0.04999326334780172,0.805870538466228,0.040703876150996396,0.028385432390324882
ETHUSDT,crypto,predictive_skew,0.6798525600094557,-0.10357201743948097,0.0492885715539382,0.775445661880872,0.04999723224734757,0.5140712330671363,0.04807553759278941,0.024007361834739584
SOLUSDT,crypto,ewma_voltarget,0.8434297032050659,-0.12538394927160612,0.04476941099939652,1.1047934927789256,0.05000069612816777,0.3608186883952351,0.03602643634047505,-1.5026529292772215
SOLUSDT,crypto,volregime_tsmom,0.260979420064616,-0.13208961237353456,0.04465318123390207,0.5890693562795956,0.05000005834245707,-0.38008467190572554,0.035675280197457665,0.5491303457708268
SOLUSDT,crypto,volofvol_filter,0.24954863540469294,-0.12150777390583245,0.04312838841011307,0.6005684641267572,0.050001102213616984,-0.5366868492244669,0.030796058610100655,0.5575701744333491
SOLUSDT,crypto,predictive_skew,0.06727383816129706,-0.06963049384178499,0.03826684287470527,0.08786898179127542,0.04998118108256056,0.0,0.0,0.15435509466952158
EUR_USD,forex,ewma_voltarget,0.0862718101113708,-0.16386479588772096,0.0515709078238417,-0.02139125900403446,0.05000048804665228,0.25305370450601095,0.05409313821918834,-0.9762603804303992
EUR_USD,forex,volregime_tsmom,-0.29943038314326526,-0.12511661474872127,0.05048501474297922,-0.3284037108936418,0.05001781587674105,-0.25215388044345993,0.05125736723005653,0.40406984489540576
EUR_USD,forex,volofvol_filter,-0.2813973567805888,-0.13554738006133416,0.04639119669730375,-0.25093406696819637,0.049997068238014725,-0.35091545315682104,0.03962637546571443,0.8633976686885622
EUR_USD,forex,predictive_skew,0.12836295143966642,-0.1483295121528716,0.04801681694650921,0.022282172269818924,0.050000626759382494,0.3285321884346314,0.044492900440618134,-0.5418931774571372
GBP_USD,forex,ewma_voltarget,0.07067632034490416,-0.15809885418696445,0.049263884574240635,-0.03428684209182095,0.04999892520274744,0.25375567155102546,0.04800310199770337,-1.7857537876897454
GBP_USD,forex,volregime_tsmom,-0.11272320456260884,-0.12502845146289365,0.04846228423340711,0.06787608666935409,0.04998727741319347,-0.44318287712200305,0.04578039730898233,0.9574232038179605
GBP_USD,forex,volofvol_filter,0.11314355222419238,-0.06939886604523415,0.04520923226807873,0.44184322410347754,0.05002702893209838,-0.654441804592021,0.03564517381964548,1.2025733618635164
GBP_USD,forex,predictive_skew,0.5255574547879487,-0.06815402951391558,0.04019825136242635,0.682651420667159,0.05000522338921302,-0.056968318084143946,0.011483135550925398,1.2706000621356672
USD_JPY,forex,ewma_voltarget,0.6918844232725246,-0.09851444907149876,0.05842608364225596,0.8814360110042401,0.04999795043010609,0.4879811223095784,0.07031886734084597,1.5785296502602517
USD_JPY,forex,volregime_tsmom,0.19368485482362682,-0.159811321561671,0.05725467786130092,0.5403561249903475,0.05001899849522391,-0.2309617212151469,0.06763383142414535,1.0061437767343333
USD_JPY,forex,volofvol_filter,0.41897518990943816,-0.09939646987476092,0.05464826718375274,0.633301333535446,0.05001469945190985,0.13283121163085493,0.06162601726795052,2.161377274037966
USD_JPY,forex,predictive_skew,-0.10268087361640933,-0.12365570243608115,0.041898469055167524,-0.5881054722824419,0.05000458232556612,1.6962274091384295,0.02226722970179294,-1.0903286646096195
XAU_USD,forex,ewma_voltarget,1.101833352487099,-0.07829730182288852,0.04982291405420127,0.3787826320897199,0.05000031928526457,2.333796628099246,0.0492926667795637,-0.023290155985167243
XAU_USD,forex,volregime_tsmom,0.6533800188865035,-0.16650814346944576,0.05271306147893488,-0.5194131471737539,0.04999340601768514,2.40209897327999,0.056401566163537274,-0.08620255362819287
XAU_USD,forex,volofvol_filter,0.43033436088047106,-0.11466066768015659,0.053463427215310194,0.3739229245021353,0.04999742940688531,0.5139084895242917,0.058803042152910164,-0.05020457482312349
XAU_USD,forex,predictive_skew,1.0927939394779915,-0.12163314057926289,0.08685612474890653,0.7587931452747814,0.05000073177252389,1.5074087274945434,0.12618596709869898,0.0
SPX500_USD,index,ewma_voltarget,0.9603841312032056,-0.06453928153979949,0.04785058232245799,0.9368299832564531,0.05000173157032033,1.0102712850180102,0.0440167799279022,-1.017505824699836
