family,variant,symbol,asset_class,full_sharpe,full_ann_return,full_ann_vol,full_max_dd,is_sharpe,is_ann_return,is_ann_vol,is_max_dd,oos_sharpe,oos_ann_return,oos_ann_vol,oos_max_dd,vol_scale_is,survivor
donchian,donchian20,BTCUSDT,crypto,0.531941104758789,0.3236461485254258,0.6084247779125558,-0.748124301537969,0.935515489903823,0.6285564754962248,0.6718824886168848,-0.5978809853059484,-0.3852425430887132,-0.18604948958022344,0.4829411832051482,-0.7110991990215687,0.07441777520192312,0
donchian,donchian55,BTCUSDT,crypto,0.5655290094789489,0.34151955664659256,0.6038939663966172,-0.6458840652025419,0.7070233843505301,0.4706816611719057,0.6657229047724816,-0.6458840652025419,0.2600745343384633,0.12560899061514794,0.48297304822501114,-0.42970636154411046,0.07510632372952238,1
donchian,donchian20,ETHUSDT,crypto,0.5658430258778131,0.4616848078508665,0.8159238282289295,-0.9028402791201849,0.6591336261671309,0.5799793888955659,0.879911699040682,-0.8857612442774486,0.3793223030120343,0.2639406626491436,0.695821628607928,-0.630238872540738,0.056823883640270016,1
donchian,donchian55,ETHUSDT,crypto,0.5333014885601476,0.418881653998845,0.7854499996423732,-0.8338916526121597,0.5233046163597577,0.4367499213117995,0.8345997869270579,-0.8338916526121597,0.5592677216927228,0.389012616762888,0.6955749485871855,-0.4624995086671684,0.05990895370833576,1
donchian,donchian20,SOLUSDT,crypto,0.823052972003262,0.9528453270584336,1.1576962352001048,-0.90568514104526,1.3181798665297708,1.7737717492990668,1.3456219400230132,-0.90568514104526,-0.25521811275309725,-0.2086482852088847,0.8175293005584401,-0.7878116233196909,0.03715753921130692,0
donchian,donchian55,SOLUSDT,crypto,0.8551104285344439,0.9548882345492423,1.1166841178463998,-0.8535206101345689,1.2221517537720281,1.571513830163927,1.2858581803066877,-0.8535206101345689,0.10085349043553526,0.08245110612526592,0.8175334910988331,-0.8285965643237911,0.03888453700864165,1
donchian,donchian20,EUR_USD,forex,-0.3834904113949029,-0.03435315094079578,0.08958020831822128,-0.23022592981701406,-0.433035185144997,-0.04038735189158423,0.09326575132240346,-0.23022592981701406,-0.2920301913761869,-0.024250730639314468,0.08304186127137521,-0.12890095924287925,0.5361024737490048,0
donchian,donchian55,EUR_USD,forex,0.22180366811477914,0.019387960009885727,0.08741045707076778,-0.12476346269522298,0.5120844881223086,0.04602844980151704,0.08988448365286823,-0.10001496286859757,-0.30358765583313935,-0.025213376125135717,0.08305138776457277,-0.11580073099577992,0.5562695358311099,0
donchian,donchian20,GBP_USD,forex,-0.5994002720415269,-0.06286409935986487,0.10487832971071724,-0.2880337991853752,-0.323416639616444,-0.037670285633540544,0.11647602819142398,-0.1917753917870728,-1.2839141408335732,-0.10504341975974336,0.0818149877931437,-0.1703547877112156,0.4292728793758908,0
donchian,donchian55,GBP_USD,forex,0.16891592859368582,0.01642495163782784,0.0972374350635504,-0.23976939210008708,0.5296726325169955,0.0557499538282336,0.10525360459593834,-0.16935183537505316,-0.602835836727038,-0.049412713319657964,0.0819671132823377,-0.10778242093553825,0.475043113173622,0
donchian,donchian20,USD_JPY,forex,0.2553026907434049,0.0290810402373196,0.11390808358752418,-0.09624701925939605,0.38434778665377395,0.042863402111332057,0.11152243774970409,-0.09319282547388985,0.050807212027332536,0.005984469290385821,0.11778779137037439,-0.0962470192593956,0.44834027132923454,0
donchian,donchian55,USD_JPY,forex,0.350455289582226,0.03765196168747586,0.10743727604271677,-0.19862272544902282,0.9982203255010266,0.1004552017348334,0.10063429802875727,-0.13237279845402772,-0.5740187452258292,-0.06759411316607976,0.11775593345734212,-0.1361266946395565,0.4968484997601116,0
donchian,donchian20,XAU_USD,forex,0.1726057725313436,0.036207942236384426,0.209772487358784,-0.3874787669598545,-0.6024424268100558,-0.10975158021741203,0.1821777075006964,-0.3874787669598545,1.1273846247197028,0.2803412115594281,0.24866510098905084,-0.21996708766014017,0.2744572905541084,0
donchian,donchian55,XAU_USD,forex,1.0015536005288788,0.20245844558909296,0.20214439395173964,-0.25650698959410057,0.16674839856632612,0.028087678164139648,0.16844346575818805,-0.25650698959410057,1.9944058450793238,0.4941126303258058,0.2477492891153021,-0.19201883176263546,0.2968354977436665,0
donchian,donchian20,SPX500_USD,index,0.23879999691846016,0.05717663774507993,0.2394331594761422,-0.3724836717178388,0.10288931649328108,0.027326978847565166,0.26559588282763724,-0.3724836717178388,0.5708645364905769,0.10711927091664998,0.18764394014589164,-0.18880393939714168,0.18825593027904095,0
donchian,donchian55,SPX500_USD,index,0.14161838050190298,0.030346720169503048,0.2142851800871658,-0.3706580296719181,-0.04436290340732596,-0.010146968523327792,0.22872643005714885,-0.3706580296719181,0.5229108744353105,0.09809829639666665,0.1876004137466115,-0.20413381642718154,0.2186017592610839,0
donchian,donchian20,NAS100_USD,index,0.4466049166467539,0.13174245230815976,0.294986569555307,-0.36268523203375846,0.3850392318448446,0.12314009730740648,0.31981181947980564,-0.36268523203375846,0.5893713523372629,0.14613538931589262,0.2479512937579427,-0.21506230575235286,0.1563419390857042,0
donchian,donchian55,NAS100_USD,index,0.10559830927954073,0.027611785620844036,0.2614794290668981,-0.572644411879615,0.6480269474949805,0.1743398663798987,0.26903181581233415,-0.374573671899357,-0.8792809068863295,-0.21788471195983966,0.24779875265505685,-0.462066569011792,0.185851624459458,0
donchian,donchian20,US30_USD,index,-0.2549755245422344,-0.05879811107723076,0.23060296153049537,-0.5231752620929944,0.12181659818737636,0.031521940739565844,0.2587655640414395,-0.404473649028653,-1.2115715200805273,-0.20991612657653125,0.17325937684849108,-0.38701890654430315,0.19322509231557894,0
donchian,donchian55,US30_USD,index,-0.8729481294801466,-0.175399226988786,0.2009274332178692,-0.5992161381653753,-1.1537577750596835,-0.24871785365128501,0.215571984889479,-0.5697275591312101,-0.3039091957163714,-0.052726961666740714,0.17349577574463745,-0.18097825870345818,0.23194108467124966,0
donchian,donchian20,UK100_GBP,index,-0.5823551906183704,-0.12379864751164653,0.21258271499253173,-0.6305550816126433,-0.452553293186598,-0.11050096903899488,0.24417227916057352,-0.5222630742132593,-1.0036156357063644,-0.14595411842145292,0.14542830265764797,-0.27183330100984837,0.20477345000788894,0
donchian,donchian55,UK100_GBP,index,-0.4827898791217101,-0.0770278092132118,0.15954727417513506,-0.37769958272141946,-0.4426643252399901,-0.07410712390034485,0.16741155696286963,-0.24112691166013,-0.562833443180655,-0.08189400887498022,0.14550309663936292,-0.24729216717096647,0.29866516330822696,0
donchian,donchian20,DE30_EUR,index,-0.7552748542487532,-0.19028052261662823,0.25193546633548913,-0.7050273582399798,-0.631059119632287,-0.17723531992088035,0.28085374952532804,-0.589207902109001,-1.097729205697978,-0.21233877444762003,0.19343456778359738,-0.38285617790397564,0.17802860059552414,0
donchian,donchian55,DE30_EUR,index,-0.40538028785494573,-0.08165952036466474,0.2014392973984082,-0.4642030230859745,0.093432391576239,0.01923994605898671,0.20592372446430732,-0.197559306214802,-1.3051267572845455,-0.25227134540829355,0.19329260089125044,-0.4567352961920189,0.2428083511507509,0
donchian,donchian20,JP225_USD,index,0.2041556149359941,0.05544098036694301,0.27156235886201124,-0.6021029439204184,-0.5533715361959927,-0.14355206944546356,0.25941354055229254,-0.5973802739070331,1.3396201646107861,0.3883840442925552,0.2899210198178798,-0.2352576029942849,0.1927424447218514,0
donchian,donchian55,JP225_USD,index,0.13293201671292615,0.03157945496882469,0.23756094092081834,-0.5579012287398791,-0.25195391817644097,-0.05018985130778345,0.19920250366035575,-0.4526829010183503,0.5796790029786588,0.16839088326981633,0.29048987871657606,-0.33093122783956264,0.2510008613408344,0
vol_regime_tsmom,tsmom252_volfilter,BTCUSDT,crypto,0.9555069826025885,0.41589488219726845,0.43526095546100907,-0.5190506307898358,0.9359569565577518,0.4358534536049036,0.4656768140362766,-0.5190506307898358,1.0093216934791687,0.382531640976954,0.3789987309777852,-0.3758673647832369,0.10737060229952734,1
vol_regime_tsmom,tsmom252_volfilter,ETHUSDT,crypto,0.9210804682994667,0.5504644301317204,0.597629033593567,-0.7933037120792954,1.6897062707236008,1.016729976146817,0.6017199520194785,-0.4462066295498185,-0.3890689364738788,-0.22895657985461393,0.5884730400983466,-0.7933037120792954,0.08309513392765383,0
vol_regime_tsmom,tsmom252_volfilter,SOLUSDT,crypto,0.4949942936408375,0.39620408437067,0.800421518915835,-0.8968062144087828,0.7446459073618016,0.6341129402094042,0.8515630502234229,-0.8873667903071643,0.08259772008676024,0.059597040338266676,0.7215337212173197,-0.895824346015004,0.05871555839216086,1
vol_regime_tsmom,tsmom252_volfilter,EUR_USD,forex,-0.21631751161037827,-0.013176595314641288,0.06091321602466656,-0.09772207734908356,-0.14871842557171802,-0.008817689155334258,0.05929116800044398,-0.08697858468795572,-0.3222546559215916,-0.020474247884577898,0.06353437416140709,-0.06052034653784544,0.8432959188732054,0
vol_regime_tsmom,tsmom252_volfilter,GBP_USD,forex,-0.023193764753927298,-0.0016116605542729496,0.06948680265458217,-0.13193753450715118,0.3946959735280151,0.027909243105120947,0.07071073681257095,-0.09115719459683236,-0.7582289617990405,-0.05103536700338724,0.06730864893672256,-0.11311387304807052,0.7071061942478728,0
