family,name,symbol,asset,sharpe_full,sharpe_is,sharpe_oos,sharpe_2022,ann_ret,ann_vol,max_dd,n_trades,exposure
BOLL_MR,BOLL_MR_20_2_3,NAS100_USD,index,0.8127590689502778,0.9780623453591311,0.48454659025802155,1.7956219082552125,0.08703543475047586,0.10708639014374434,-0.22613406303488526,524,0.18933711737279546
BOLL_MR,BOLL_MR_20_2_3,SPX500_USD,index,0.30599450343924584,0.3127811842688991,0.30186441613790055,1.328382264995473,0.027139120136003628,0.08869152821691781,-0.19088319291677114,515,0.18943847557267382
BOLL_MR,BOLL_MR_20_2_3,DE30_EUR,index,-0.02932761356182855,-0.0020638343510941703,-0.09553187598182272,0.33881762277530736,-0.0029227594421590603,0.0996589591579721,-0.19786017413615287,506,0.1889981561155501
BOLL_MR,BOLL_MR_20_2_3,XAU_USD,forex,-0.4963630054681793,-0.01610039443229664,-1.0817128753339806,0.5942408736367202,-0.04493590761083827,0.09053033186559471,-0.3513621724910896,522,0.19676113360323888
BOLL_MR,BOLL_MR_20_2_3,US30_USD,index,-0.190110188910844,-0.04297693205831658,-0.5917988975003216,0.40092676916993497,-0.016014426198626166,0.0842376007849661,-0.25263480102835123,532,0.19550015202189117
BOLL_MR,BOLL_MR_20_2_3,UK100_GBP,index,-0.32228038732622655,-0.08262092368202828,-0.9511528124779691,-0.8519691197608199,-0.02718191345691958,0.08434243759737337,-0.2380189796698008,481,0.19362282357877073
BOLL_MR,BOLL_MR_20_2_3,EUR_USD,forex,-0.5719487329389369,-0.3024215162028145,-1.008847753752237,-0.49731611346500043,-0.019509366708863853,0.034110341688521124,-0.13810772090397672,532,0.19350623240852433
BOLL_MR,BOLL_MR_20_2_3,JP225_USD,index,-0.2767570557405151,-0.4425619608520166,-0.03645940573579363,0.894362291507032,-0.030779734858761815,0.11121571869741456,-0.33755036129538973,506,0.19762965964343598
BOLL_MR,BOLL_MR_20_2_3,GBP_USD,forex,-0.4959900085714823,-0.7207741810748972,0.04891330869796185,-0.6334005509964094,-0.02154104167119259,0.04343039436063174,-0.17065285332347135,523,0.19209891435464416
BOLL_MR,BOLL_MR_20_2_3,SOLUSDT,crypto,-0.541863894384392,-0.9096247240739062,0.2765884009726493,-1.4851840120014126,-0.3242388974018671,0.5983770108363333,-0.9729307550760066,675,0.20443427489348273
BOLL_MR,BOLL_MR_20_2_3,USD_JPY,forex,-0.8286344259503119,-1.0351741687646254,-0.49726079784013755,-1.294257849529175,-0.039434258464818905,0.047589452272145324,-0.2568255714620109,512,0.19569806010654336
BOLL_MR,BOLL_MR_20_2_3,ETHUSDT,crypto,-1.3530550978112985,-1.6216805067436197,-0.8178856774527636,-2.7427520390649365,-0.5652405323975949,0.41775130466743576,-0.9872561328154271,736,0.20725092777619183
BOLL_MR,BOLL_MR_20_2_3,BTCUSDT,crypto,-1.659852048909829,-2.2528991134310092,-0.21453925759021233,-2.697359151218172,-0.5487589575176952,0.33060715132900764,-0.983714261505309,725,0.20896374536111903
RSI_TRND,RSI14_SMA50_30_70,SOLUSDT,crypto,0.3108083298007801,0.40602198575259146,0.0,0.0,0.01959244816217179,0.06303707553375429,-0.07144078599541781,1,0.00023670506548840146
RSI_TRND,RSI14_SMA50_30_70,US30_USD,index,-0.040353313199048516,0.40539807000468603,-0.15044581780736035,0.8105318895129686,-0.0003992321690146764,0.009893417352012867,-0.03706244510907941,2,0.004053917097395358
RSI_TRND,RSI14_SMA50_30_70,ETHUSDT,crypto,-0.4636151436493851,0.0,-0.7576833181687859,0.0,-0.02156549793491668,0.04651594804510067,-0.17968940163166136,1,0.003782472166714245
RSI_TRND,RSI14_SMA50_30_70,EUR_USD,forex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
RSI_TRND,RSI14_SMA50_30_70,GBP_USD,forex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
RSI_TRND,RSI14_SMA50_30_70,XAU_USD,forex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
RSI_TRND,RSI14_SMA50_30_70,SPX500_USD,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
RSI_TRND,RSI14_SMA50_30_70,NAS100_USD,index,0.14913274427007472,0.0,0.2438902689371993,0.0,1.795114373290802e-05,0.00012037023673619967,-0.0001500000000000945,1,0.00010135819987837016
RSI_TRND,RSI14_SMA50_30_70,UK100_GBP,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
RSI_TRND,RSI14_SMA50_30_70,DE30_EUR,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
RSI_TRND,RSI14_SMA50_30_70,JP225_USD,index,-0.05881099248554092,-0.07431247888391926,0.0,0.0,-0.0005492772462810531,0.009339703736781804,-0.03344957471977328,1,0.002025931928687196
RSI_TRND,RSI14_SMA50_30_70,BTCUSDT,crypto,-0.101834504200122,-0.12875665114739812,0.0,0.0,-0.0019329666870148198,0.018981451347926375,-0.06174803064102852,1,0.0020696545817870397
RSI_TRND,RSI14_SMA50_30_70,USD_JPY,forex,-0.5647252162885917,-0.5179309077289816,-0.6866489447522577,-1.0372131429788956,-0.0007110395934030735,0.0012590895056467794,-0.004536045746270534,2,0.0002010252286661976
SEAS,SEAS_DOWxHOUR,DE30_EUR,index,2.182704533077946,3.071208910591106,0.12617673707379082,4.886513994973088,0.3523766936141576,0.1614404003263111,-0.26491858907958277,2398,0.49743904937512806
SEAS,SEAS_DOWxHOUR,UK100_GBP,index,1.7642934123088825,2.681454130615291,-0.6539390325813856,4.115184645114194,0.23451101442486724,0.13292064278467666,-0.2664772724517278,2718,0.4448290329347598
SEAS,SEAS_DOWxHOUR,JP225_USD,index,1.632181593078058,2.679194104427554,0.14068615996976663,3.87801682153864,0.22595924544735227,0.13844001574679313,-0.3060016006621049,2370,0.3675040518638574
SEAS,SEAS_DOWxHOUR,XAU_USD,forex,1.2075983302303521,2.5023570415946628,-0.668516356075922,2.282183661811614,0.11104841299198229,0.09195807100097558,-0.16961225256820645,1745,0.21609311740890688
SEAS,SEAS_DOWxHOUR,SOLUSDT,crypto,1.0345736864755806,2.454005007237235,-2.2808800451577116,1.4315524606486532,1.056282678128847,1.0209835142117534,-0.9946847247682483,4225,0.7142180842670033
SEAS,SEAS_DOWxHOUR,NAS100_USD,index,1.7708600557371919,2.4107947242241603,0.3737488728661876,2.6844217587543397,0.3341110336657081,0.18867161895897014,-0.29929884082459224,2835,0.5007095073991485
SEAS,SEAS_DOWxHOUR,SPX500_USD,index,1.5935478999201151,2.3505315964483993,-0.175757419251982,2.7595768724852943,0.21047845634352239,0.13208166278156666,-0.29424802139654094,2431,0.37887695114534764
SEAS,SEAS_DOWxHOUR,US30_USD,index,1.3990782818940684,2.105682873769816,-0.312000069276062,2.1904684018449743,0.1807012217871625,0.12915733460069845,-0.30145201824047574,2807,0.36789297658862874
SEAS,SEAS_DOWxHOUR,USD_JPY,forex,1.1964844399211005,1.8704443569371982,-0.03433149736467685,2.5627343463554353,0.038626854572387376,0.032283624662042855,-0.0426590677512374,798,0.08020906623781285
