symbol,D1_q99_over_med,D1_n_5sigma,D1_max_drawup,D1_max_drawdown
BTCUSDT,7.539837656263002,3,0.17844855970428242,-0.5026069427414583
ETHUSDT,7.0803236354093695,5,0.23375019374596473,-0.5905343858695513
SOLUSDT,7.2313473102942725,5,0.37755351681090543,-0.549007773323229
EUR_USD,5.282264900874901,0,0.022890079905801136,-0.02065936752370416
GBP_USD,5.3449655047372895,3,0.03074764266248714,-0.03758814742175362
USD_JPY,6.467036610252193,4,0.03143422262996598,-0.03881177492646337
XAU_USD,6.282764692619531,3,0.05950331443651358,-0.09258147539047812
SPX500_USD,7.24012270056259,7,0.09760391352265252,-0.11275142413277717
NAS100_USD,5.838765086888413,5,0.11781812234975853,-0.11222182088867427
US30_USD,7.6208435126714456,9,0.11182363234605752,-0.11990114682229525
UK100_GBP,8.14462537983748,8,0.08824871598159945,-0.11334000559182122
DE30_EUR,7.78686383727948,6,0.09817514083227685,-0.13510297344150857
JP225_USD,7.187757126668788,5,0.08940139580806772,-0.11664564603115757
