symbol,hour,n,mean_bps,std_bps,t
BTCUSDT,0,2335,0.7968617729462942,71.08224605489661,0.541708055237643
BTCUSDT,1,2336,-0.7111451433809187,69.52873035813504,-0.4943452536590015
BTCUSDT,2,2329,-1.5315323331697923,65.51844261756202,-1.1280993488436857
BTCUSDT,3,2332,-0.90620951903689,57.290747088032624,-0.7638505703279586
BTCUSDT,4,2333,-1.0426245023615621,52.79793886773236,-0.9538241791938636
BTCUSDT,5,2334,1.031748861308268,51.59418584307038,0.9661035110089241
BTCUSDT,6,2334,1.0640462775951776,55.8451002813844,0.9205043972259783
BTCUSDT,7,2334,0.6457264209743483,55.4448272536531,0.562649513645543
BTCUSDT,8,2335,1.5511039214481608,64.81974234005202,1.1563173388691619
BTCUSDT,9,2336,-0.09956429890094304,56.490379326981724,-0.08518547868020376
BTCUSDT,10,2335,0.7395224194833866,71.97920105638786,0.49646400370158744
BTCUSDT,11,2335,0.6388390403799759,54.93643648657394,0.5619198915781269
BTCUSDT,12,2334,0.8814006157332356,72.68770970669593,0.585818106012331
BTCUSDT,13,2333,1.4474471947794882,70.81272562354411,0.9872992051159046
BTCUSDT,14,2333,-1.806998843992561,85.86150781676704,-1.0165218852897984
BTCUSDT,15,2333,1.6189354002760548,77.01478682139681,1.0153429821362232
BTCUSDT,16,2333,-0.8919932988103385,70.49300040177215,-0.6111853914908985
BTCUSDT,17,2334,0.3548596829049939,65.27599486983732,0.2626355954250298
BTCUSDT,18,2335,0.04228671935477239,64.87052584430542,0.03149923580082562
BTCUSDT,19,2335,-0.15786867752656789,66.58039468842627,-0.11457583949699368
BTCUSDT,20,2335,2.0649485623476656,69.58109103535173,1.4340405968279968
BTCUSDT,21,2335,4.224043598806391,68.92536989263635,2.961370386459801
BTCUSDT,22,2335,3.487407708506481,62.65699844110191,2.689531154118603
BTCUSDT,23,2335,-3.271869988270839,73.51534460282542,-2.1506091204051216
ETHUSDT,0,2335,1.7071756344381228,97.6305618691488,0.8449594304921717
ETHUSDT,1,2336,-1.4900867236703947,94.2545368351284,-0.7640920847448038
ETHUSDT,2,2329,-2.948046207811023,78.40920197370276,-1.8144792117273116
ETHUSDT,3,2332,-1.3428959266723197,76.70467546994144,-0.8454438956181339
ETHUSDT,4,2333,0.45470684212255597,68.9344110392403,0.31860514827684827
ETHUSDT,5,2334,1.9008161946741624,68.50640459893431,1.3404770228371687
ETHUSDT,6,2334,0.5337833150359655,72.02155460004691,0.35805762684535447
ETHUSDT,7,2334,0.9554800757873941,73.91336252961007,0.6245239547213639
ETHUSDT,8,2335,0.561117227315378,84.38271852370282,0.32132427197056246
ETHUSDT,9,2336,-0.4907485299604535,72.36092519513676,-0.327786690565125
ETHUSDT,10,2335,0.4199506963864926,88.04294302242141,0.23048740423464525
ETHUSDT,11,2335,0.8943013329559878,73.49181005444312,0.5880149617482768
ETHUSDT,12,2334,0.5964374728167124,92.72829012522233,0.31074424598109956
ETHUSDT,13,2333,0.8764689526279381,91.9043804189157,0.4606358070935154
ETHUSDT,14,2333,-2.6899980774461203,106.65018865986087,-1.2182816728410506
ETHUSDT,15,2333,2.0836659867362273,97.77773094089119,1.029308400465665
ETHUSDT,16,2333,0.6517113666499709,95.84731438777584,0.3284223592064791
ETHUSDT,17,2334,0.4955861204857616,87.13013644508653,0.2747901534672171
ETHUSDT,18,2335,-0.5523418340976238,84.62685813982554,-0.31538654578771
ETHUSDT,19,2335,1.1215376129671508,85.20557687750191,0.6360470817677263
ETHUSDT,20,2335,2.0126288251635946,87.94938825417276,1.1057942004758452
ETHUSDT,21,2335,4.858426605659366,86.15765250913202,2.7248665109143353
ETHUSDT,22,2335,4.45947489691966,82.61149354024158,2.6084750804191206
ETHUSDT,23,2335,-3.076753536324489,87.66775522658345,-1.6958844752228097
SOLUSDT,0,2112,2.0943154263426265,154.75971047424994,0.6219151551198081
SOLUSDT,1,2112,-0.09394282546643837,139.5826370548666,-0.030929947017557243
SOLUSDT,2,2108,-2.14390776093319,122.03079926794761,-0.8066254936536195
SOLUSDT,3,2110,-1.536609834403132,116.86693125742748,-0.6039669802004995
SOLUSDT,4,2110,1.744061406197033,108.16839885277696,0.7406322147157706
SOLUSDT,5,2110,3.8308240008591734,115.1819794788964,1.5277380292563816
SOLUSDT,6,2110,3.261290055317555,117.973880293398,1.2698276801060915
SOLUSDT,7,2111,2.215880829726114,119.52197662936538,0.8518100311500609
SOLUSDT,8,2112,1.6994532155591089,127.77877405516986,0.6112198545542272
SOLUSDT,9,2113,0.6594988487724623,120.18313977311531,0.25224365144469757
SOLUSDT,10,2113,2.546466652191977,121.56640915873406,0.9628844053396611
SOLUSDT,11,2112,0.5493913899838394,120.14886372179852,0.21014019838179646
SOLUSDT,12,2112,0.1349346208039262,145.9315129814596,0.042493378794393126
SOLUSDT,13,2111,1.1767165650865068,148.42503537978936,0.3642577685421058
SOLUSDT,14,2111,-1.9752002377682363,170.34922537141415,-0.532739725766661
SOLUSDT,15,2111,3.2851262746491825,152.43036522738018,0.9902040406617953
SOLUSDT,16,2111,-3.2270640824410655,136.37497907863886,-1.0872189396331073
SOLUSDT,17,2111,1.5905578226507189,140.9559843320456,0.5184537974927167
SOLUSDT,18,2112,3.0358397912419233,123.63402757237627,1.1284642073434292
SOLUSDT,19,2112,-2.527621437197471,124.63087739747992,-0.932037388866651
SOLUSDT,20,2112,-2.029135441758728,123.24810146773932,-0.7566198926995894
SOLUSDT,21,2112,1.7569967578093004,121.5769453163438,0.664150784097247
SOLUSDT,22,2112,2.572493789526902,123.12295365232626,0.9602012488099918
SOLUSDT,23,2112,-2.624062543475742,112.34715890432888,-1.07339370689503
EUR_USD,0,1658,-0.34081449326054936,8.833421009278423,-1.5710188222046537
EUR_USD,1,1658,0.20096263291926197,7.516123234996952,1.088713687322344
EUR_USD,2,1658,0.28688086572091437,6.39669765845377,1.8261566189491962
EUR_USD,3,1658,-0.14382245693968684,5.327724905140777,-1.0992011512546738
EUR_USD,4,1658,-0.22341712318037218,4.947785042709109,-1.838645042343281
EUR_USD,5,1658,0.23529623755246082,6.051233155932098,1.5833005371248947
EUR_USD,6,1657,-0.4105026035608017,8.99197061931868,-1.8583276591397293
EUR_USD,7,1657,0.19095800599682464,12.924297762635932,0.6014398085448053
EUR_USD,8,1658,0.6409321956932336,11.723194989700332,2.2261701872058803
EUR_USD,9,1658,-0.4605333297446925,10.66475587944746,-1.7583381982272246
EUR_USD,10,1658,-0.25454144754491975,9.481547831334389,-1.0931292929739254
EUR_USD,11,1658,-0.9885942610275159,9.661929603543946,-4.166261056134532
EUR_USD,12,1658,0.2630815425562389,15.327572954603278,0.6988906829330647
EUR_USD,13,1658,0.6323458475118341,15.55826110454126,1.6549538150335088
EUR_USD,14,1658,0.18704199406051383,15.464172315080315,0.4924982670042811
EUR_USD,15,1657,-0.848094830819261,13.902506755663667,-2.483204894514134
EUR_USD,16,1657,-0.1711117695980357,9.916883202545655,-0.7023699759360689
EUR_USD,17,1658,0.28218845026919,8.453514392676098,1.359233911432609
EUR_USD,18,1658,-0.027346217721686814,9.700126716972246,-0.11479213216760108
EUR_USD,19,1658,0.3863012257602368,8.573068051046558,1.8347718917613478
EUR_USD,20,1658,0.17207417882508952,5.594490379254132,1.2524126266248363
EUR_USD,21,1655,0.20118613142020284,6.17090315733512,1.3263199674702302
EUR_USD,22,1654,0.2745660193062643,7.004661154627212,1.5941434844319895
EUR_USD,23,1657,0.11997923897404918,6.038901774536851,0.8087408710078886
GBP_USD,0,1658,-0.6769394287022534,12.417046836692217,-2.219850639701276
GBP_USD,1,1658,0.32505346717330647,8.794271152351053,1.5050371284607833
GBP_USD,2,1658,0.10927576782830752,6.913287613863168,0.6436229248883775
GBP_USD,3,1658,-0.1888019184915341,5.696647187737024,-1.3495200556802025
GBP_USD,4,1658,-0.1341935042414869,5.714562296354772,-0.9561824880330695
GBP_USD,5,1658,0.20229603157187145,7.851292324104484,1.0491521594243416
GBP_USD,6,1657,-0.13066826033997359,11.306807777621454,-0.47042604072244415
GBP_USD,7,1657,-0.2356480762060183,14.793272517278602,-0.6484267085534492
GBP_USD,8,1658,0.2057368268834383,14.169098176509683,0.5912376620169805
GBP_USD,9,1658,0.29760103242842356,13.161896891562483,0.9206789470377054
GBP_USD,10,1658,-0.49932435065887437,12.043957789583274,-1.6881295972503327
GBP_USD,11,1658,-0.38670395737207947,13.34889409315107,-1.179575088547324
GBP_USD,12,1658,-0.044705737281552006,16.73101131075893,-0.10880111145375508
GBP_USD,13,1658,0.5978101122014011,17.465786406353946,1.393693823575679
GBP_USD,14,1658,0.04579426043132123,17.413160260956815,0.10708427870146223
GBP_USD,15,1657,-0.1632877798771,16.71660885731441,-0.39761866028658355
GBP_USD,16,1657,-0.10440642116801037,12.115096270805028,-0.3508016230017931
GBP_USD,17,1658,0.21626209041563013,9.814680543894884,0.8972149290227366
GBP_USD,18,1658,-0.2201732938023378,10.889824553728786,-0.8232581139315107
GBP_USD,19,1658,0.45262435144675744,9.849334634666532,1.8712132568796964
GBP_USD,20,1658,0.24306258736809946,6.6422459535926635,1.4900314213798238
GBP_USD,21,1654,0.29783669650245775,6.762778194599473,1.791104046791069
GBP_USD,22,1654,-0.312614320861723,7.922740398468048,-1.6047271336778761
GBP_USD,23,1657,0.18509300876580084,6.899326380197353,1.09205516973215
USD_JPY,0,1658,0.01211085827384829,13.604052099401109,0.036249239406896325
USD_JPY,1,1658,-0.725117777533569,12.934831047468528,-2.282653834074787
USD_JPY,2,1658,0.6250576648158366,10.32424162527854,2.4652115177666354
USD_JPY,3,1658,-0.29965074230214234,11.230042942165584,-1.0864911772868515
USD_JPY,4,1658,-0.05354793840622077,10.487719037966484,-0.2078997533174992
USD_JPY,5,1658,0.20333201463785516,8.844495946276577,0.9361058075748369
USD_JPY,6,1657,0.435528607082098,11.698319521689415,1.5154948372934625
USD_JPY,7,1657,0.21250520647923704,13.683929441985258,0.6321497972305493
USD_JPY,8,1658,-0.17363631689366377,13.758987973341215,-0.5138618040247552
USD_JPY,9,1658,0.3393457114195886,10.438381399952101,1.3237362651773452
USD_JPY,10,1658,0.12620624569342612,9.438686067092634,0.5444544719756829
USD_JPY,11,1658,0.22249589512590853,9.940656344204193,0.9113793957474058
USD_JPY,12,1658,0.29266968969541496,17.69957097215639,0.6732979168403944
USD_JPY,13,1658,-0.2425035788548698,17.31303865918422,-0.5703443144688884
USD_JPY,14,1658,-0.06552884918381005,16.078972735728236,-0.16594589175837143
USD_JPY,15,1657,0.49216066106870515,15.30914269896678,1.3086312293257696
USD_JPY,16,1657,0.45297936775509945,9.418691657410921,1.9577133212372246
USD_JPY,17,1658,0.20922423552579705,9.836438580677347,0.8660966688926751
USD_JPY,18,1658,0.10997356423397892,10.022786461748861,0.4467783152780654
USD_JPY,19,1658,0.24523164608934034,8.83808234989416,1.1298238352727472
USD_JPY,20,1658,0.5280267120533133,8.430880119114349,2.5502058783562047
USD_JPY,21,1655,-0.5004665614230233,8.226339290597588,-2.4749557969025378
USD_JPY,22,1655,-0.06968463551937398,8.968885790280758,-0.31608037952770124
USD_JPY,23,1657,-0.07443907261922356,9.992976496220873,-0.3032266320416201
XAU_USD,0,1648,-0.2482625154521283,19.535043633347755,-0.5159116910697977
XAU_USD,1,1648,1.3840594159349628,26.416715148706384,2.1269365025736997
XAU_USD,2,1648,0.4277685343262557,19.682661378034563,0.8822742791643986
XAU_USD,3,1649,-0.2797399132240492,14.39230000373634,-0.7892862924327285
XAU_USD,4,1649,-0.051604413497321575,12.104090915188834,-0.17312707724152607
XAU_USD,5,1649,-0.4247242027832574,20.667668355349473,-0.8344990635378481
XAU_USD,6,1648,0.9000175342562152,20.914876064435255,1.7469250754739565
XAU_USD,7,1648,0.37259384328031486,20.712556422588275,0.7302651466332803
XAU_USD,8,1649,0.2319880306115931,20.211168498769027,0.46610577429227695
XAU_USD,9,1649,-0.02359509276921344,18.03622987142672,-0.05312344799256
XAU_USD,10,1649,-0.2578657937946518,19.608348275470796,-0.5340267993746979
XAU_USD,11,1649,0.33975183399360803,20.690230272509258,0.6668172304278948
XAU_USD,12,1649,0.2509728326200014,30.772795172219002,0.33118456956416853
XAU_USD,13,1649,-0.38052669318382837,34.58352582690512,-0.4468133976479346
XAU_USD,14,1649,-0.1726310922122198,35.5435048738134,-0.19722823834643552
XAU_USD,15,1648,-0.8286230310190457,33.05106676833374,-1.0177711175371311
XAU_USD,16,1648,0.7033571315421325,22.526910823865197,1.2675142748810524
XAU_USD,17,1642,-0.5563305475484085,19.801005545100974,-1.13849791149653
XAU_USD,18,1636,0.40491849765372856,20.028100993617347,0.8177480059848747
XAU_USD,19,1614,0.2669653928431755,19.88517586202492,0.5393582123129175
XAU_USD,20,1599,0.6089935855498654,17.4185178417199,1.398059813908844
XAU_USD,21,553,1.7537027794702202,12.893468945377318,3.1985178400155627
XAU_USD,22,1067,1.0034759670115725,25.443427382290967,1.2882898122831312
XAU_USD,23,1646,2.728020121461423,23.555289675370148,4.698660163920234
SPX500_USD,0,1648,-0.7530929896692156,18.01876107988688,-1.6966891467616854
SPX500_USD,1,1649,0.26286622538772053,20.874740661099956,0.5113567912049942
SPX500_USD,2,1649,0.10483800956987632,16.276693462339235,0.2615549299144351
SPX500_USD,3,1651,-0.008920865081203374,15.415581919165971,-0.02351367896053862
SPX500_USD,4,1649,0.8798086187484119,15.259837911880563,2.341254468539765
SPX500_USD,5,1649,0.001175047707795212,14.692870371892997,0.00324757493190242
SPX500_USD,6,1647,0.7176515593383168,16.71445896756577,1.7424812317018143
