symbol,session,open_hour,open_avg_range_bps,adj_avg_range_bps,other_avg_range_bps,ratio_open_vs_adj,ratio_open_vs_other
EUR_USD,Asia,0,10.972143296971604,9.019091694425816,12.955536618515426,1.2165463739273055,0.8469076673590462
EUR_USD,London,7,17.679986327547894,15.231466953837336,12.663938693455451,1.1607540088641095,1.3960890648250426
EUR_USD,NY,12,20.10019152639907,18.27921119777395,12.558550443125483,1.0996202904448567,1.600518437014509
GBP_USD,Asia,0,12.00463652938814,10.116099611775537,15.034987158375777,1.186686271397948,0.7984467431154757
GBP_USD,London,7,20.74846753607911,18.087785518690062,14.654860769352986,1.1470982732872288,1.4158078921820532
GBP_USD,NY,12,22.502011719532494,21.508688058305058,14.578435873940036,1.0461824383958132,1.543513440955377
USD_JPY,Asia,0,19.776369076863535,15.266054091050432,14.703768858670431,1.295447334256285,1.3449863954575105
USD_JPY,London,7,18.477902811063895,16.668231644152975,14.760336234477599,1.1085700754312309,1.2518619167971732
USD_JPY,NY,12,21.307107324085578,18.479184323680087,14.637197564632709,1.1530328910016694,1.4556821570523248
XAU_USD,Asia,0,24.705280831731883,27.620318478997827,29.592546287737633,0.8944603897495785,0.8348480928783442
XAU_USD,London,7,30.240012007349087,29.139435321065456,29.340132158409062,1.0377693209960046,1.0306706133456223
XAU_USD,NY,12,42.20542060200755,40.13394674234285,28.794072696600825,1.0516140082848922,1.4657676615156268
SPX500_USD,Asia,0,22.180116377324733,20.398874218119097,29.152648582743936,1.0873206109395717,0.7608268015295738
SPX500_USD,London,7,26.31103217772197,23.550976885863168,28.963717199557163,1.117194938674309,0.90841351600147
SPX500_USD,NY,12,31.488699185338458,34.41788309260718,28.72731974859708,0.9148935482351646,1.0961238103974609
NAS100_USD,Asia,0,27.225981493407048,25.470015937618292,37.64435278876866,1.0689424600318078,0.7232421193738794
NAS100_USD,London,7,32.64603158292789,29.216854517920016,37.39638431253489,1.1173698237400813,0.8729729406483093
NAS100_USD,NY,12,39.512312033159134,46.96456832786468,37.082982459584954,0.8413217333824821,1.0655106308189153
US30_USD,Asia,0,20.335384279805936,18.750338598742797,27.76691746692825,1.0845342430866511,0.7323601657989718
US30_USD,London,7,25.118408533859373,22.373890895967183,27.548002937003577,1.122666086585185,0.9118050622870859
US30_USD,NY,12,29.184427482635094,35.10622669007617,27.362430576274757,0.8313176958686065,1.066587538752502
UK100_GBP,Asia,0,25.395181777203486,23.893985755633505,28.05800544483338,1.062827359023433,0.9050957605356005
UK100_GBP,London,7,43.88975128752004,35.582998721034826,27.14259435909177,1.233447232247312,1.6170064919685394
UK100_GBP,NY,12,30.326738895361476,32.33103293703776,27.858005379125668,0.9380071139211823,1.088618459313159
DE30_EUR,Asia,0,25.244164228237615,26.21999564107492,33.38480075385067,0.9627829300128252,0.7561574027164414
DE30_EUR,London,7,52.139015122101526,42.02172708500026,32.00136880376613,1.2407632607921215,1.6292745301558935
DE30_EUR,NY,12,38.15994125979253,38.956481678701465,32.720623416880024,0.9795530708989971,1.1662351530902209
JP225_USD,Asia,0,70.37190071517324,47.11748963287204,34.90222345739708,1.4935409603417733,2.0162583854026304
JP225_USD,London,7,36.08080694773374,37.26825614486908,36.46885056771592,0.9681377848075453,0.9893595873206463
JP225_USD,NY,12,30.97220804253756,32.50224522265534,36.70240130386706,0.9529251850253322,0.8438741592440232
