ts,corr_90d_d1
2020-06-09 00:00:00+00:00,-0.24296447130586402
2020-06-10 00:00:00+00:00,-0.24166366078462617
2020-06-11 00:00:00+00:00,-0.24269129439495365
2020-06-15 00:00:00+00:00,-0.2447947258092805
2020-06-16 00:00:00+00:00,-0.2445268399121526
2020-06-17 00:00:00+00:00,-0.24545697380578152
2020-06-18 00:00:00+00:00,-0.24400267154643898
2020-06-22 00:00:00+00:00,-0.2463373979410456
2020-06-23 00:00:00+00:00,-0.2440904301580945
2020-06-24 00:00:00+00:00,-0.24534983684817702
2020-06-25 00:00:00+00:00,-0.24312032646601073
2020-06-29 00:00:00+00:00,-0.24258393815196083
2020-06-30 00:00:00+00:00,-0.2426816878561396
2020-07-01 00:00:00+00:00,-0.24529852182360032
2020-07-02 00:00:00+00:00,-0.2475161026998912
2020-07-06 00:00:00+00:00,-0.24847833453144832
2020-07-07 00:00:00+00:00,-0.24865646167316374
2020-07-08 00:00:00+00:00,-0.2477998788230497
2020-07-09 00:00:00+00:00,-0.24890770569712864
2020-07-13 00:00:00+00:00,-0.24868902203703624
2020-07-14 00:00:00+00:00,-0.2501482234343474
2020-07-15 00:00:00+00:00,-0.24913355307348337
2020-07-16 00:00:00+00:00,-0.2492853152061405
2020-07-20 00:00:00+00:00,-0.2511707180207506
2020-07-21 00:00:00+00:00,-0.25030905592133695
2020-07-22 00:00:00+00:00,-0.2506456981834811
2020-07-23 00:00:00+00:00,-0.2517219844651944
2020-07-27 00:00:00+00:00,-0.2540441642532046
2020-07-28 00:00:00+00:00,-0.2584076691453332
2020-07-29 00:00:00+00:00,-0.2584841504244723
2020-07-30 00:00:00+00:00,-0.2662367494231462
2020-08-03 00:00:00+00:00,-0.2701278506515862
2020-08-04 00:00:00+00:00,-0.29810386491029667
2020-08-05 00:00:00+00:00,-0.29575743364663376
2020-08-06 00:00:00+00:00,-0.29170753748443734
2020-08-10 00:00:00+00:00,-0.28943879514461585
2020-08-11 00:00:00+00:00,-0.2947203149419314
2020-08-12 00:00:00+00:00,-0.29243831295579165
2020-08-13 00:00:00+00:00,-0.2920935558769042
2020-08-17 00:00:00+00:00,-0.30147992887682656
2020-08-18 00:00:00+00:00,-0.3421563420825527
2020-08-19 00:00:00+00:00,-0.052911064905053505
2020-08-20 00:00:00+00:00,-0.023244059353002847
2020-08-24 00:00:00+00:00,-0.0036597184491173195
2020-08-25 00:00:00+00:00,-0.009309692869349887
2020-08-26 00:00:00+00:00,0.0702774405991375
