symbol,H1_n,H1_ann_mean,H1_ann_vol,H1_skew,H1_ex_kurt,H1_sharpe
BTCUSDT,56018,0.3714602870428935,0.6193938453172554,-0.9395750249456103,53.87454242034459,0.5997158187011536
ETHUSDT,56018,0.43808993316586803,0.799029092559964,-0.903091055905768,28.82710456796719,0.5482778252319906
SOLUSDT,50672,0.5839477160675645,1.219856990697319,0.2842033047593925,19.32319636453136,0.47870178268499874
EUR_USD,39780,0.0051590980503956494,0.07698157003624687,0.020832390497471324,15.02720101720208,0.06701731398783478
GBP_USD,39779,0.002049066400496222,0.0908771021185103,-0.7522343449740891,41.09608193583044,0.02254766440311985
USD_JPY,39781,0.058036227030900854,0.09220035524360672,-1.62398423446509,42.390569714466146,0.6294577377447269
XAU_USD,37783,0.17424850382717003,0.1792178192439459,-1.089912850906243,29.836527939785242,0.9722722024085575
SPX500_USD,37708,0.13410664394860283,0.20535917396676973,0.07543100101009816,49.99424944766196,0.6530345898757041
NAS100_USD,37707,0.19456527656099237,0.25053159714610806,-0.0073872006618088725,34.07211122267783,0.7766097321749138
US30_USD,37710,0.09134175132080637,0.1965395037292069,-0.24737998562839064,57.536255024895844,0.46475008630660575
UK100_GBP,32145,0.06073156557446286,0.19315890399579064,-1.570226433510362,81.42945416496136,0.31441245688465047
DE30_EUR,33212,0.1148149763572165,0.22392460474769155,-0.7551973875850121,52.18082950798016,0.5127394396278381
JP225_USD,37765,0.15841919441655558,0.23211018282827187,-0.22603575991414226,33.48520563149985,0.6825172100862243
