symbol,session,bars,cum_log_ret,cum_pct,avg_bar_ret_bps,avg_bar_vol_bps,pct_of_daily_abs_move
BTCUSDT,Asia,16333,-0.30216393272635855,-26.078312688122608,-0.1850021017120912,60.97884967111537,26.353115116002584
BTCUSDT,London,18675,0.9333199969191206,154.2937723911007,0.4997697439995291,67.38625507367419,33.659538910865834
BTCUSDT,NY,18670,0.34726695897959026,41.51944738191675,0.1860026561219016,71.99376522480661,38.256023217235864
ETHUSDT,Asia,16333,-0.2749034080737385,-24.035450469699647,-0.16831164395624715,80.2564194995094,26.786556207539086
ETHUSDT,London,18675,0.2623810758549645,30.00218549874214,0.14049856806156064,86.15035564485304,33.34903113985447
ETHUSDT,NY,18670,0.6028527127677501,82.73242031861314,0.3228991498488217,92.98184331383997,37.640760074937255
SOLUSDT,Asia,14772,1.5107512848021372,353.0132936192108,1.022712757109489,125.85013196209518,28.305312208357215
SOLUSDT,London,16895,1.4800872228103152,339.33288626974615,0.8760504426222641,135.35181712406973,33.40439134830233
SOLUSDT,NY,16891,0.3152976901215645,37.066728433966034,0.18666608852144012,143.5427928786809,36.81901507939413
EUR_USD,Asia,11605,-0.06551907851579043,-6.34188219896199,-0.05645762905281382,7.031465932320732,21.607753449392934
EUR_USD,London,13263,0.03491339697515181,3.553002488375401,0.02632390633729308,12.840845216239417,46.67726026677891
EUR_USD,NY,13262,0.11689247558679691,12.399856590650927,0.08814091056160225,12.487917344566585,43.57502708144607
GBP_USD,Asia,11605,-0.08188845990841824,-7.862527681393294,-0.07056308479829232,8.736263368485247,21.22768550061878
GBP_USD,London,13263,-0.0031995688837386377,-0.319445571798016,-0.0024124020837960024,15.01785095490819,47.48228646586396
GBP_USD,NY,13262,0.12933710457640551,13.807370936364949,0.09752458496185003,14.25700546425617,42.626806285086026
USD_JPY,Asia,11605,0.03273721057221746,3.3278968771001116,0.02820957395279402,11.407466763116865,28.62623920320188
USD_JPY,London,13263,0.11795440325654027,12.519280506997553,0.0889349342204179,13.894710701622005,40.85507021736734
USD_JPY,NY,13262,0.24764496288057458,28.100504710635967,0.18673274233190662,13.553774879627666,38.255378600134584
XAU_USD,Asia,11539,0.2813227727866492,32.488117051550326,0.24380169233612028,19.589698862127282,26.227502931937618
XAU_USD,London,13191,0.05944017013884206,6.12422651027047,0.04506115543843686,25.931626388089523,42.104687355259195
XAU_USD,NY,13135,-0.05249071423297558,-5.113686806312545,-0.03996247752796009,27.852448070005725,43.93120555123972
SPX500_USD,Asia,11542,0.19852328724376367,21.960042821602777,0.1720007687088578,16.868127943824245,18.774972462955013
SPX500_USD,London,13183,0.11817103834234377,12.543658771483113,0.08963895800830143,27.19269220988067,37.62321532660921
SPX500_USD,NY,13072,0.6794447748021506,97.27820897683375,0.5197710945548888,34.91506371833359,51.086970004249046
NAS100_USD,Asia,11538,0.3385792035641071,40.29528634204691,0.293447047637465,19.796216687453423,18.238743244804734
NAS100_USD,London,13184,0.029093352923318605,2.9520698756099195,0.0220671669624686,33.656304777794176,38.47421851088944
NAS100_USD,NY,13071,0.7439634713874632,110.42591793433236,0.5691710438279116,43.6689125995338,52.52871873336571
US30_USD,Asia,11545,0.07229600321645258,7.497349258640451,0.06262105085877226,15.944804114618766,18.022292729805837
US30_USD,London,13182,0.05597162160700009,5.75676712397617,0.04246064452055841,26.82245765698683,38.93332825854669
US30_USD,NY,13070,0.5426072521274001,72.04867623037059,0.4151547453155318,33.63177838517275,52.27558941340828
UK100_GBP,Asia,10583,-0.27802541417298876,-24.272242431353085,-0.2627094530596133,23.83293698507931,25.45604383263897
UK100_GBP,London,12875,0.21501308500709015,23.9878120673918,0.16700045437443897,27.426019190985,49.459484876366986
UK100_GBP,NY,12818,0.47714813856890714,61.1472147550979,0.3722485087914707,23.386256549017936,41.2832619543773
DE30_EUR,Asia,11369,-0.15121046436281738,-14.033324959656523,-0.13300243149161525,26.498105372116537,27.148246698177903
DE30_EUR,London,13014,0.15929357303703462,17.26821640161478,0.12240170050486755,32.56606091758482,49.172193237050756
DE30_EUR,NY,13022,0.6856706573559901,98.51027129427463,0.5265478861588005,28.089979280704437,40.35398272727424
JP225_USD,Asia,11554,0.2219806282107335,24.854719103693903,0.19212448347821837,33.394113036190966,35.79472607909528
JP225_USD,London,13203,0.15265511317604386,16.49231430098159,0.11562153539047479,26.884318297920366,31.951861200207883
JP225_USD,NY,13079,0.8369934751169392,130.9413220385943,0.6399521944467766,28.154192213720638,33.62295748577271
