symbol,bucket,n,mean_bps,std_bps,t
BTCUSDT,last3,231,19.1848576046672,265.5505945508871,1.098037802392075
BTCUSDT,first3,231,13.940881328621906,288.6229784933291,0.7341170590166026
BTCUSDT,middle,1872,8.532507196696042,336.69431500285356,1.096462547840489
ETHUSDT,last3,231,37.51005701743213,324.6715220024994,1.7559393742762233
ETHUSDT,first3,231,41.762749316911304,435.63462068586955,1.4570440596597714
ETHUSDT,middle,1872,5.0977222732422405,447.1026270678912,0.4933122177730022
SOLUSDT,last3,210,44.123981085405205,447.95283605443507,1.4274208844893705
SOLUSDT,first3,210,48.11461000386168,623.4610437589062,1.1183488488040352
SOLUSDT,middle,1692,7.817408962380712,623.1902223736521,0.5159913020974339
EUR_USD,last3,231,-0.8972438323754024,45.68007390104604,-0.29853116364377785
EUR_USD,first3,231,0.9060990451902964,52.947066023540714,0.2600996473265645
EUR_USD,middle,1195,0.3139459899135506,46.050939550916326,0.23566788131627994
GBP_USD,last3,231,1.1677117112504565,50.389866440450625,0.3522073530934027
GBP_USD,first3,231,-0.3425684653998416,56.584540933127556,-0.0920143526964161
GBP_USD,middle,1195,0.026086377314431804,56.03783437280404,0.016092235552848024
USD_JPY,last3,231,-0.9185280319927982,62.11714825731759,-0.22474337338586384
USD_JPY,first3,231,-0.8143281547531026,62.732390688380434,-0.1972938745939566
USD_JPY,middle,1196,3.5360845491304094,58.8773109598973,2.077018016526538
XAU_USD,last3,231,0.07108655083808525,117.40545454767066,0.009202485846312303
XAU_USD,first3,231,16.415719574844896,115.50219957660231,2.16010896663648
XAU_USD,middle,1186,5.908138064374226,107.81869868740728,1.8871172923918311
SPX500_USD,last3,231,0.385929199578546,119.40949426226416,0.04912185623323849
SPX500_USD,first3,231,8.974556031502136,108.11189113063416,1.2616691939696665
SPX500_USD,middle,1189,5.152026903598233,130.1405450959874,1.365074732895363
NAS100_USD,last3,231,5.760964484795399,153.43974266544956,0.5706414655246884
NAS100_USD,first3,231,8.010349788448881,145.47377025366228,0.8368984744257784
NAS100_USD,middle,1189,7.4080972816736965,157.07933700301191,1.6262171790170727
US30_USD,last3,231,-1.6243490046449074,112.43210307390939,-0.21958112320051265
US30_USD,first3,231,10.568433040391392,100.46134473414054,1.5988863796731803
US30_USD,middle,1189,2.9645622405277408,126.557501328344,0.8077251548087547
UK100_GBP,last3,231,-6.890193004037949,108.633461373495,-0.9639927320871104
UK100_GBP,first3,231,16.624351892581675,99.24554759980839,2.545890266956937
UK100_GBP,middle,1150,0.7756747081680847,115.5554769252373,0.22763446486245117
DE30_EUR,last3,231,-1.8138524119880697,120.11635824983604,-0.22951220227355365
DE30_EUR,first3,231,13.651226087687292,125.86310626901097,1.648462998937025
DE30_EUR,middle,1165,2.911944620484095,137.0639759069483,0.7251414796734473
JP225_USD,last3,231,-3.7689943736007385,134.08056097455997,-0.4272338558593246
JP225_USD,first3,231,3.0210980338506594,143.42767321153053,0.32013846272016455
JP225_USD,middle,1189,8.405262131262424,144.25912597369916,2.0090876908585167
