symbol,H1_acf_abs_lag1,H1_acf_abs_lag5,H1_acf_abs_lag24,H1_acf_abs_lag168
BTCUSDT,0.29334452541626926,0.20439936702708164,0.1739503816434218,0.14155641220252047
ETHUSDT,0.2812205223920689,0.20816322820150399,0.18163564377685754,0.14606987150658726
SOLUSDT,0.31714471759625995,0.24483533730264692,0.22623090289475403,0.1464441240816902
EUR_USD,0.2522096116913371,0.11999442521945715,0.2147982108365281,0.18926658989749454
GBP_USD,0.28990934161066173,0.15891914019955766,0.23475026528286067,0.19847595819659206
USD_JPY,0.24972801836391473,0.14330630251986667,0.178821738528191,0.1282758252233519
XAU_USD,0.2991052857037917,0.17021994479035474,0.2021100149641038,0.0721794773061022
SPX500_USD,0.37187022504736766,0.2696734022050446,0.3124898822173959,0.11932837054041377
NAS100_USD,0.32826104125605715,0.20779552084252317,0.26706154854544895,0.06708780798010038
US30_USD,0.37129381844585047,0.27024910054621004,0.31950638322556646,0.12865215532336338
UK100_GBP,0.3136898329541578,0.23695280598640614,0.2248356235358201,0.15621865996299988
DE30_EUR,0.3035683596088521,0.23574227609616424,0.2208188895724505,0.18722943902324468
JP225_USD,0.26946524695785895,0.1875209900176989,0.22688598712313274,0.0976703425141029
