a,b,corr_full,corr_2020_2022,corr_2023_2025,delta
UK100_GBP,JP225_USD,0.6493250366550606,0.7831664866350442,0.45829930289606946,-0.3248671837389747
BTCUSDT,SOLUSDT,0.5845722107274155,0.5077451752993349,0.7134080605402646,0.20566288524092968
SOLUSDT,DE30_EUR,-0.053848553988116235,-0.1355229107368217,0.06720131729602305,0.20272422803284476
