symbol,D1_lag1,D1_lag5,H1_lag1,H1_lag5,H1_lag24
BTCUSDT,-0.07765584023567691,0.001367841006192809,-0.021332786163773758,-0.004211021145724696,-0.02958663029572174
ETHUSDT,-0.07508330636256438,-0.037103912444439,-0.00548218348479444,-0.005970648665593538,-0.03628399229379646
SOLUSDT,-0.047886682386122155,-0.019407229371052406,-0.02318741505429551,-0.007743057973039096,-0.030496896609034287
EUR_USD,-0.010610122004117506,-0.04198274750138526,-0.016228704697021572,0.007340318704731766,-0.0015439419036231885
GBP_USD,0.052456240516724234,-0.09329342093537249,-0.03159655213317964,0.006323045814778508,-0.007765293382072056
USD_JPY,0.00689845345094262,0.0008077699117083225,0.0047425658578611534,-0.01033749166770214,-0.02218016411514009
XAU_USD,-0.049697755797237585,-0.05702499312070593,-0.0089247572251216,-0.007517818893521636,-0.00027804027497981806
SPX500_USD,-0.08856130448184947,0.0024946415050095595,-0.021407788465311814,-0.011786870577931841,-0.01180046632664481
NAS100_USD,-0.10186780273292136,0.014427855814896058,-0.010991909712864139,-0.0064351702983377074,-0.012060188449138363
US30_USD,-0.06473647741859775,-0.018414295197084724,-0.020893529880481262,-0.01913904871898081,-0.013329827659737324
UK100_GBP,-0.10541025683348242,-0.06683672316429855,0.0037190157795358417,-0.0068266408235267,-0.007461069390902451
DE30_EUR,-0.08585074431504346,-0.09998828760737126,0.004492702690523839,0.008330532875710605,-0.0019170821973961507
JP225_USD,-0.06144483672319293,-0.03859095392320711,0.004899651043950906,-0.02498629757590125,0.001117388262821142
