label,FULL_sharpe,IS_sharpe,OOS_sharpe,YR2022_sharpe,OOS_ret,OOS_vol,OOS_dd,FULL_dd
EW_baseline,3.0574920347941705,3.2044283082361757,2.8195922114213245,2.3385194009459536,0.4781873408807329,0.169594503397952,-0.09215714008914488,-0.0921571400891451
V1_shrink_a=0.1,3.1327313358343893,3.317812473054322,2.835600623353128,2.897218383755141,0.48625679744157146,0.17148282217069327,-0.10084866307855767,-0.10084866307855811
V1_shrink_a=0.2,3.1685090799064244,3.396714828101477,2.800656795417611,3.3881322041450015,0.4820230531732229,0.17211071844358122,-0.11769221628627036,-0.11769221628627036
V1_shrink_a=0.3,3.201118855590328,3.4588006031698595,2.7836018352094274,3.7056403250683148,0.4811495448499365,0.1728514253597396,-0.11983463091862334,-0.1198346309186229
V1_shrink_a=0.5,3.1175477037441532,3.4569838064069907,2.570118872447908,4.16724820419847,0.4526384958165511,0.17611578229665145,-0.13471197461104745,-0.134711974611047
V2_bucket_sharpe,2.8653932906417072,3.00015775701045,2.6476470785566493,2.668168387587721,0.44778028491266425,0.16912385662698265,-0.10852905977493366,-0.12277028881788243
V3_bucket_invvol,2.511052561012191,2.818401490735589,1.9967548638599877,1.833193462029502,0.33417257406784606,0.16735783651571876,-0.15769524518116618,-0.15769524518116684
V4_risk_budget,1.1072673392288892,1.687187133271742,0.0720877348213234,0.8407700803207145,0.012604628926864285,0.1748512275785348,-0.2180155863063199,-0.2765108844549454
V5_mom_filter,2.873885181717938,3.228093690891211,2.3222304187402,4.079070563658959,0.4167278026329319,0.1794515304209153,-0.12507836552620533,-0.12517459564539446
V6_bayes_sharpe,3.1478461813225396,3.4372440642373534,2.6803135049709628,3.8962537115973737,0.46935656847343377,0.17511256336356018,-0.12528676197045663,-0.1252867619704564
