name,FULL_sharpe,FULL_ret,FULL_dd,IS_sharpe,IS_ret,IS_dd,OOS_sharpe,OOS_ret,OOS_dd,2022_sharpe,2022_ret,2022_dd,2020_sharpe,2020_ret,2020_dd,2021_sharpe,2021_ret,2021_dd,2023_sharpe,2023_ret,2023_dd,2024_sharpe,2024_ret,2024_dd,2025_sharpe,2025_ret,2025_dd,raw_is_vol,scale
1_synthetic_put_SPX,-0.3412132114919718,-0.014994629624897162,-0.16622532761768227,-0.2962445378831321,-0.014812226894156606,-0.13454884125447364,-0.4888295888421775,-0.015368630635877695,-0.04927071916828174,0.31446001158122067,0.016677265751419063,-0.03464018253372514,-0.30624980422401077,-0.025113096764141377,-0.10122443908928669,-1.0308782664745304,-0.009382038756659047,-0.009478057395937434,-2.0720975696520534,-0.041871734188186335,-0.04504333131523586,-1.4403735753276923,-0.02258956704472454,-0.022381742133395055,-0.2889708307898012,-0.012859339636916588,-0.04644557904135582,0.16969201750192167,0.29465145583193847
2_convexity_lottery,-0.4954729610412097,-0.021651219601077562,-0.171676033606888,-0.5769109555509871,-0.028845547777549357,-0.14714113931771466,-0.3186487508576156,-0.009715480683546003,-0.05430843160110932,-1.244779374708313,-0.07928667337539798,-0.09869387124491058,-0.513433601908565,-0.0370010745001717,-0.11439998181591637,-0.827890252897477,-0.007718719839376904,-0.01242353042988198,0.30036795178649506,0.007914930435296718,-0.01991182873783548,-1.2292464194321586,-0.0291782680682394,-0.03261933799222594,-0.4972181886092622,-0.01680554347700357,-0.034356130242839455,0.04513836606111835,1.1077051378487845
3_tail_short_SPX,-0.8409906651285004,-0.05060318969770892,-0.28922115930690506,-0.5964192229379777,-0.029820961146898882,-0.12653510093660558,-1.153813665308212,-0.08560155711749104,-0.21010206843828516,-0.5153473546635771,-0.04605874321629217,-0.09228062870206588,0.0,0.0,0.0,-0.9746993508958985,-0.040442690243988874,-0.04635528503410591,-1.7490182537461778,-0.03395034142186169,-0.04104715759063571,-1.3176907453101134,-0.061131656474186225,-0.0990108134841382,-0.941277564692989,-0.09591496589206203,-0.15140093167554902,0.07516867156392402,0.6651707281733669
3_tail_short_NAS,-0.6741917984113863,-0.03987074464645461,-0.241436337205294,-0.5622843700076564,-0.028114218500382815,-0.12028982404565436,-0.8298190702645483,-0.059720995699504356,-0.14592638984436057,-0.5670882390477906,-0.04750135522788721,-0.08869839842049065,-0.24378633481508302,-0.006820761474001292,-0.020136142064520968,-0.5924812149738138,-0.025753541891068092,-0.04311324001420369,-1.6867997197478477,-0.033429559218273404,-0.04176657149151086,-1.7272831974361218,-0.09195526699627116,-0.09708094972612014,0.05370705624809141,0.004978948318204137,-0.08103298094535327,0.09516517879608528,0.5254022598658408
3_tail_short_US30,-0.686283372484861,-0.04145704394256113,-0.2644453564386603,-0.6968821367005121,-0.03484410683502561,-0.134366318833135,-0.7051565930968976,-0.05271002490198266,-0.18827254192675746,-0.039821036344455295,-0.0031222571698571932,-0.04531438217635286,0.0,0.0,0.0,-1.8707664254278622,-0.09609297533035545,-0.09180957279068636,-1.1587785873322727,-0.04153101312793209,-0.041915104019821015,-0.6874984567502517,-0.0381451508520478,-0.09410202268543211,-1.1747517269044945,-0.11621529217487613,-0.1504399019756253,0.06478076810253962,0.7718340097612989
4_crash_momentum_SPX,-0.06447337595443786,-0.0028065704749681607,-0.0983316633093384,0.03970470838643535,0.0019852354193217675,-0.07265887475504273,-0.3630022235522205,-0.01083552800628554,-0.041742490911347296,0.2792644856808259,0.003930869479821903,-0.005576670678836382,0.040868704747280396,0.004047923416857441,-0.06906723545398408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5624821842030087,-0.025998053479727567,-0.041742490911347296,0.12280772030293198,0.40714052729473454
4_crash_momentum_NAS,-0.31208986248421494,-0.014584541119674065,-0.1416349950526299,-0.1277454724638446,-0.006387273623192233,-0.07522325002532482,-0.6953664804514587,-0.028364484944219125,-0.07821740882436612,-1.4929046834951072,-0.05103621267286881,-0.05630105627512294,0.2664758880968541,0.025048942598666364,-0.05202485399603418,0.0,0.0,0.0,0.0,0.0,0.0,-1.5208016817872285,-0.03153059809371863,-0.031145720591350567,-0.6107377758028999,-0.03643842101036347,-0.05469383340154599,0.11430856592600916,0.43741253855257467
5_range_exit_SPX,-0.5822639527515454,-0.03623321657675366,-0.25131017194041205,-0.37515192890081817,-0.01875759644504091,-0.154214325983982,-0.8348623072634556,-0.06563406208013119,-0.16423204438382666,-0.8247359241186522,-0.08247291550898359,-0.15421432598398166,0.0,0.0,0.0,1.0943845026107186,0.007737918357084444,-0.0011779734224528493,-0.2207958824676079,-0.0009735668016361123,-0.00422770406668449,-1.716182264086635,-0.05974266688704595,-0.0655513841965284,-0.8205219901741375,-0.09534584555119942,-0.10954584896739428,0.05519669405365979,0.9058513531877871
6_risk_off_coordinator,-0.09010257667665746,-0.003993250508155678,-0.10582525260927977,0.07645961542609346,0.0038229807713046735,-0.09129400585487846,-0.520969301808418,-0.0170871282974181,-0.07094176799737872,0.9406092345582824,0.03559590941590012,-0.01706163745549294,-0.0012092066589767104,-0.00010878824929879476,-0.07927219878951808,-0.31194578180377663,-0.005996923937681352,-0.017371225566194415,-1.2752462131998425,-0.014059700418563168,-0.013859679630245036,-0.08941770777233754,-0.0017207114080621706,-0.011453696179678508,-0.7217079323004154,-0.0315697067066773,-0.062161792496537416,0.14677188919839732,0.3406646890837049
7_beta_neutral_safehaven,1.3826409919362272,0.08143353739829036,-0.05831800619062255,1.0281615159916346,0.051408075799581725,-0.05831800619062255,1.850713071850512,0.1320362241310024,-0.058223222459817814,1.0866734655876253,0.0538708962613109,-0.027818833850679847,1.0045682057894556,0.06556425130532242,-0.05309305174668344,0.3254159023284811,0.013525272394370425,-0.0355990721005951,1.85111347515364,0.07418378355597842,-0.019543541414544507,2.1521035414836054,0.11873237937047411,-0.03917385139753726,2.6803068106501606,0.17569552092844395,-0.031499559260977916,0.07127764486239642,0.7014822122213278
