period,base_sharpe,blend_sharpe,base_ret,blend_ret,base_dd,blend_dd,delta_sharpe,delta_ret
FULL,2.1424485548873182,2.1709535015694446,0.15951363495044996,0.15560432613973157,-0.0647795150472823,-0.06091310104295378,0.02850494668212633,-0.0039093088107183815
IS,1.7706580118794348,1.7881083887430698,0.1272465514914098,0.12344934605519511,-0.0647795150472823,-0.06091310104295378,0.01745037686363493,-0.0037972054362146734
OOS,2.719276749217625,2.7626744057652117,0.213597680127966,0.20949663191726361,-0.05370856520156719,-0.05223160539308891,0.04339765654758665,-0.004101048210702396
2020,2.993619344068279,2.985535530983822,0.25304952551625753,0.24366628040142232,-0.05575502860065895,-0.054195822923629344,-0.008083813084457159,-0.00938324511483521
2021,1.3398152802582455,1.3457712987857247,0.09492640984167161,0.09085077936804514,-0.061490563900467254,-0.05863822914214811,0.005956018527479179,-0.004075630473626468
2022,0.557829970212226,0.5872366164411744,0.04242366188427964,0.04297382405796855,-0.042642566297909856,-0.04158355861759355,0.029406646228948397,0.0005501621736889103
2023,2.304269021202009,2.356125259005779,0.11928973147191778,0.11699367375548561,-0.039027203872903815,-0.036162302972253646,0.05185623780376991,-0.0022960577164321677
2024,1.8039219785072673,1.8651941007590267,0.1341862452121152,0.13339728721053032,-0.05370856520156719,-0.05223160539308891,0.061272122251759376,-0.0007889580015848774
2025,2.7529444173147835,2.8286399822879895,0.19367390657484357,0.19275085329239608,-0.033043520464746345,-0.03194934522810333,0.07569556497320606,-0.0009230532824474891
