name,FULL_sharpe,FULL_ret,FULL_dd,IS_sharpe,IS_ret,IS_dd,OOS_sharpe,OOS_ret,OOS_dd,2020_sharpe,2020_ret,2020_dd,2021_sharpe,2021_ret,2021_dd,2022_sharpe,2022_ret,2022_dd,2023_sharpe,2023_ret,2023_dd,2024_sharpe,2024_ret,2024_dd,2025_sharpe,2025_ret,2025_dd,raw_is_vol,scale,family,asset_class
1_vrp_inv_vol__SPX500_USD,0.3562386067025747,0.018288379859101433,-0.10520290063156801,-0.10227022400663664,-0.005113511200331834,-0.10520290063156801,1.074657123244999,0.05752069153841713,-0.07669162282205255,0.0,0.0,0.0,0.8667767266445493,0.021595529087871084,-0.016895498711035017,-0.434199195266134,-0.04223371695181426,-0.10520290063156745,0.0,0.0,0.0,1.25800662126296,0.04968787022570122,-0.027990136725757342,0.1880371171442552,0.012804224199477805,-0.07669162282205255,0.08228485675364175,0.607645221400803,1_vrp_inv_vol,index
2_real_vs_impl__SPX500_USD,0.1009424773070053,0.005139296312817976,-0.12107288955619477,0.2632581438720538,0.013162907193602687,-0.08809572636100738,-0.1573009475495947,-0.008259558054174762,-0.10871668095562015,-0.4946199354738883,-0.031714320507833724,-0.06997976342655887,2.304892995059707,0.11999647965048234,-0.026152660030818287,-0.24844454266957855,-0.011569149562086767,-0.03642793305206671,-0.7359841485171633,-0.023388604766611705,-0.058686802400590765,0.0686773144975692,0.0032822587374344457,-0.07418669155496771,-0.6756262680813729,-0.03870180334594019,-0.07556378147994336,0.05730293695524947,0.8725556255353426,2_real_vs_impl,index
3_vol_of_vol__SPX500_USD,-0.029927071802216747,-0.0017181443172360087,-0.18475265978623956,0.005914735175878305,0.00029573675879391524,-0.18475265978623956,-0.07477500253916712,-0.005094996219884894,-0.09988734261441878,0.0,0.0,0.0,0.45023214028437214,0.015876340471659842,-0.02626099271245197,-0.3242392181029343,-0.029276632783085763,-0.1639381547011095,0.5569012478329252,0.01463442772774306,-0.015527344535786636,-0.8851390928926026,-0.04471424900315902,-0.09112345840275293,0.37002047186731707,0.03319942433418027,-0.06694353061090086,0.08568422220982788,0.583538003969476,3_vol_of_vol,index
4_term_struct__SPX500_USD,-0.4429486157157192,-0.020476521676202147,-0.1714159795455107,-0.45847439035983356,-0.022923719517991676,-0.14328128609602964,-0.4199369192259235,-0.01647671934874768,-0.061255012223715544,-1.290222428901375,-0.11464129510149706,-0.14328128609602964,1.2725261815496902,0.03976203030006746,-0.014454602239026282,-0.3089068290507684,-0.008866244035548417,-0.03608191803512617,-0.46821796433413104,-0.007843907672945297,-0.015288894496996774,-1.7435449553387303,-0.04851274723536093,-0.05722268296474531,0.25993854674133526,0.013736184051571987,-0.03838795848433307,0.12962035993995477,0.3857418697430092,4_term_struct,index
1_vrp_inv_vol__NAS100_USD,0.07978401352754501,0.004201688234508844,-0.13574111328705696,-0.3175259802982951,-0.015876299014914757,-0.13574111328705696,0.6645827311554848,0.03780884606871241,-0.07468038364839236,0.0,0.0,0.0,0.6300415681733943,0.01356936950909841,-0.0160422348491035,-0.7922142085547282,-0.07764628824796489,-0.13372320944081895,0.0,0.0,0.0,1.0029032140098804,0.051026901304619454,-0.04277920919085665,0.0913552122741143,0.006374909031587789,-0.07468038364839236,0.08549319122319708,0.5848418954143962,1_vrp_inv_vol,index
2_real_vs_impl__NAS100_USD,0.570638611964221,0.02870553357474886,-0.06148721493806841,0.6794920152269965,0.033974600761349824,-0.06148721493806841,0.3932327409221574,0.020022903801133276,-0.0590569566938689,-0.5940376563376166,-0.036021312374271613,-0.06148721493806841,1.3252478680631952,0.0695996222729528,-0.048103712149175526,1.4140557153376674,0.04907105539132792,-0.010980467959976647,1.121022836229706,0.054923989935322826,-0.030125233554617936,-0.22141462894088912,-0.011274625851408022,-0.0590569566938689,0.8514186458826613,0.0377027450625428,-0.019457884821264537,0.05077684225878572,0.9847008552673182,2_real_vs_impl,index
3_vol_of_vol__NAS100_USD,-0.3188715606525944,-0.016896841059292747,-0.15018669578895893,-0.32224250082493655,-0.01611212504124683,-0.14007919388010326,-0.3166248429722834,-0.018287170029331612,-0.0761969929372277,-0.34293408328534,-0.0027612754302927707,-0.008784990652533131,0.779963607843598,0.029267058054267218,-0.021644873046706037,-0.9893137820183303,-0.08739335108665348,-0.14007919388010337,-0.1472294175970004,-0.004129639288273948,-0.034291447985087875,-0.19942657820645393,-0.009908997596157825,-0.047197929304092834,-0.10188953274201773,-0.007157309383109828,-0.05608184205853106,0.12517690434959286,0.3994347061048936,3_vol_of_vol,index
4_term_struct__NAS100_USD,-0.5590439868648478,-0.024812057692963713,-0.2030910081241316,-0.7078353944477678,-0.03539176972238839,-0.15992776701725042,-0.2189039462789722,-0.00722752854851568,-0.05187093725733205,-0.8847930098343025,-0.07426534480349872,-0.10158645465481042,-0.08549782427186303,-0.00332093868719435,-0.03862846036146905,-1.2657845207938887,-0.0425234028214951,-0.06140883395296326,-1.2040323634649235,-0.022176154701137357,-0.02478658875730555,-1.1860320616584816,-0.0374033630282879,-0.051851011171143435,0.5406620297318667,0.0199381845794756,-0.026532574242818963,0.14207355976435923,0.3519303667968139,4_term_struct,index
1_vrp_inv_vol__US30_USD,0.6054724949231312,0.03199130465603623,-0.08823993425236487,0.4670568427992819,0.023352842139964095,-0.08823993425236487,0.8120857641247043,0.04658925339588169,-0.08565530354875717,0.0,0.0,0.0,1.1489479045988196,0.029753967660016995,-0.01818391370410577,0.6649469469872195,0.06449836197413171,-0.08823993425236465,0.0,0.0,0.0,1.2651071932866291,0.05677258039460058,-0.03036593978058988,0.015161056301725852,0.0010344826800436828,-0.0724745836076045,0.07196669471221406,0.6947658246629755,1_vrp_inv_vol,index
2_real_vs_impl__US30_USD,-0.005841319916204985,-0.0002867761306097471,-0.14440351678311614,-0.1824758099981611,-0.009123790499908056,-0.1296216516344234,0.30424333173120177,0.014495082356549248,-0.10243350889677083,-0.7908701640150534,-0.04917847524134075,-0.08526970835771097,1.824400910413496,0.10262183346630757,-0.03280194882900711,-1.9654283851450651,-0.08915079700355948,-0.08529609166465868,-0.02373854888770513,-0.0007095609265835183,-0.04574007895225174,0.5992055912806691,0.02010051616122414,-0.03647554517938134,-0.9030932165177081,-0.050088766007117674,-0.08579540058366375,0.0580388874455833,0.8614913586494835,2_real_vs_impl,index
3_vol_of_vol__US30_USD,-0.3379079876848227,-0.021821910371851674,-0.20495212230980864,-0.5818900850293535,-0.02909450425146768,-0.20495212230980864,-0.1167462313143831,-0.00975602703516724,-0.09702955702007199,0.0,0.0,0.0,-0.4715739935942632,-0.019707497413483568,-0.04291567451281242,-1.38410230044537,-0.11913467308948648,-0.1703879428200782,0.7186937751471185,0.021475919047732755,-0.02551939407425441,0.7008077121368903,0.041635509085829005,-0.06452798826915929,-0.3699267494459013,-0.03923323781219709,-0.08399389160687698,0.06413850997069315,0.7795628558076347,3_vol_of_vol,index
4_term_struct__US30_USD,-0.30815085595085173,-0.013507990362441458,-0.13684908655894346,-0.3985172712515582,-0.019925863562577913,-0.13684908655894346,-0.09136249211658326,-0.002833760683085522,-0.03653684576913241,-1.1492362461227832,-0.10513556021444788,-0.13684908655894346,1.6473507192208312,0.044295098426151515,-0.012155299140527376,0.3307835761425924,0.008692007715432508,-0.020997659189110007,-1.987850912656823,-0.027474957249246715,-0.02839022336360586,0.09523237366010465,0.0017007841441175407,-0.013671459462493485,0.16650374724316308,0.007195604678959373,-0.03653684576913163,0.13362008942239267,0.3741952292962676,4_term_struct,index
1_vrp_inv_vol__DE30_EUR,0.27279938527287406,0.01674509026912144,-0.11169853589181689,-0.04592649997796271,-0.002296324998898136,-0.11169853589181689,0.6337292544492595,0.04867580537020476,-0.10205961325278323,0.0,0.0,0.0,1.1186799645005965,0.033640720348203194,-0.020771610602344115,-0.4469439939101869,-0.042815525896808135,-0.11169853589181733,0.0,0.0,0.0,1.2331790845567265,0.06359114676200932,-0.04242717604067159,0.12029635935721944,0.010025317542234234,-0.10205961325278401,0.06378466401784882,0.7838874872180644,1_vrp_inv_vol,index
2_real_vs_impl__DE30_EUR,-0.44394665500098573,-0.022560607789398314,-0.17371430755704376,-0.1770761404682217,-0.008853807023411086,-0.13885380855679608,-0.8727795695667484,-0.0455939153305562,-0.1392059083979661,-1.4333090276331601,-0.09114716776555608,-0.13885380855679608,1.5591428821503983,0.07416764279448028,-0.032190615463996375,-0.9155864120074485,-0.04076109678897376,-0.046940894219740015,0.5470731742262588,0.02271697950302916,-0.020472794389030935,-1.393035237340034,-0.05777624613279187,-0.07579133182392672,-0.8684176093488013,-0.04808848799585376,-0.07806531533988659,0.0594699881872708,0.8407602140856354,2_real_vs_impl,index
3_vol_of_vol__DE30_EUR,-0.22259386647139554,-0.012911557758595867,-0.16076690115377656,-0.11449958868740487,-0.0057249794343702445,-0.11203570664571527,-0.35979174305197925,-0.024993066651402968,-0.08885351645008344,1.1852605725877527,0.01783135742862286,-0.0064506872097764845,-0.13957717255476335,-0.004970732488293602,-0.031337399530495524,-0.20785321619862399,-0.017572425969154103,-0.10438302241640307,-0.486531043864639,-0.018506837428856556,-0.03890719151196054,-1.5240269361051662,-0.06525197922457124,-0.06365440479441631,0.5460664593071771,0.045688865126597075,-0.05237754973779363,0.08354992361528847,0.598444592603442,3_vol_of_vol,index
4_term_struct__DE30_EUR,-0.2731439626429384,-0.011371185470808733,-0.12301959164607235,-0.43718003588609544,-0.021859001794304778,-0.11437534284954254,0.28657067622047977,0.006121343228172838,-0.029851075681587402,-0.4869320050676204,-0.04341452849138202,-0.10788074082469157,-0.31838580751917495,-0.007574645877423366,-0.029588123287813572,-0.556635784267957,-0.019871401121070293,-0.05308659796071635,-1.0735453705593334,-0.01714305665194348,-0.020909851862083384,-0.04812954000283165,-0.0006980755041807659,-0.018786839749898587,0.13141663478274326,0.0029004102636973183,-0.01486937208049044,0.15732528152056624,0.3178128748078152,4_term_struct,index
