strategy,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,y2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,n_trades,exposure,gate_rate,vol_scale,survived
ADX_FILTER,BTCUSDT,crypto,1.4188636026492099,-0.18149680573233967,0.8605054230220264,-0.10000591075953705,0.1274852358472224,-0.014524905911967445,0.07433026201530296,-0.14623097456670753,648,0.5357601713062099,0.5357601713062099,0.0,False
MULTI_SLOPE,BTCUSDT,crypto,-0.009791009255227384,-0.10167528307697317,-0.050275308594530874,-1.5396710641363018,-0.0002476609980210072,-0.0034707404973908693,-0.0014540727678065536,-0.06712103583620121,102,0.07066381156316917,0.07066381156316917,0.0,False
ACCEL,BTCUSDT,crypto,1.4372735273489634,0.5771591152642355,1.1266809426342952,-0.6536670430430648,0.10269566378589147,0.03881008922948885,0.07878303330953351,-0.10229667446342439,625,0.484796573875803,0.484796573875803,0.6997732301265962,True
LOW_PULLBACK,BTCUSDT,crypto,-0.13468716532328337,0.0,-0.10653782870711045,0.0,-0.002418911252272772,0.0,-0.0015135029291522568,-0.02884047644680232,13,0.010278372591006424,0.010278372591006424,0.0,False
HURST,BTCUSDT,crypto,0.8781025064444788,0.22161448066660436,0.6314774751630439,1.088086727557889,0.06989375746002337,0.017732847654878495,0.05036971670212332,-0.15304787212289495,726,0.5516059957173447,0.5516059957173447,0.6281694806197256,True
BREAKOUT_DECAY,BTCUSDT,crypto,1.1904506771201502,0.625707958121771,0.9852751734181182,-1.6956442321796037,0.07881433024017252,0.039391594577106656,0.06405823988920055,-0.12240759603421758,401,0.3297644539614561,0.3297644539614561,0.755224762738239,True
VOLVOL_GATE,BTCUSDT,crypto,0.5886457340543664,0.42520437069836947,0.5131578920600076,0.16949479677285087,0.04392550037773164,0.04104355380799126,0.0428467760514134,-0.1262773897473699,661,0.5588865096359743,0.5588865096359743,0.6700501178044459,True
VANILLA,BTCUSDT,crypto,0.816268421540867,0.24374900901695953,0.6053965052292151,-0.007166794417670664,0.08962582740698355,0.026063797693931214,0.06583430108184105,-0.14723837871374645,1136,0.9730192719486082,0.9730192719486082,0.4553756685750074,True
ADX_FILTER,ETHUSDT,crypto,0.6750418245169342,1.2352930654752812,0.8712641897420638,0.3964019384953412,0.05997595914983296,0.09965944364517354,0.07482964884958784,-0.11851627158834444,666,0.5558886509635974,0.5558886509635974,0.5627603410480967,True
MULTI_SLOPE,ETHUSDT,crypto,0.841163036491383,0.690558854759324,0.7838247509328199,0.5701637349074962,0.02849180658828712,0.01503298526862938,0.02345411501082208,-0.03296688956596161,108,0.07623126338329765,0.07623126338329765,1.4761490007397113,True
ACCEL,ETHUSDT,crypto,0.9395277857948366,0.6146459593879486,0.8212439345885554,-0.4122662443107179,0.06965939827420789,0.043472734649574726,0.05985762353847797,-0.1256831815096221,632,0.4813704496788009,0.4813704496788009,0.6743725965708682,True
LOW_PULLBACK,ETHUSDT,crypto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,False
HURST,ETHUSDT,crypto,0.1558948313652333,0.5851592346776907,0.31923181065647815,0.13230012511721467,0.011212506942565904,0.04323216627684039,0.023197595704088764,-0.1373951456802196,683,0.5164882226980728,0.5164882226980728,0.0,False
BREAKOUT_DECAY,ETHUSDT,crypto,1.1057491391695102,0.7855271159121165,0.9972874439523596,-1.0388237662781592,0.07925216678125138,0.043382243823907235,0.06582590868072942,-0.082558963406412,385,0.3147751605995717,0.3147751605995717,0.697614452751528,True
VOLVOL_GATE,ETHUSDT,crypto,0.604695368410738,0.7548549553872292,0.6619234312826534,0.39779091661333765,0.04830453012434392,0.06221794389773332,0.05351237750676033,-0.13989006450710917,596,0.5049250535331906,0.5049250535331906,0.625919936343601,True
VANILLA,ETHUSDT,crypto,0.5420293360423888,0.686213731796464,0.5964459307961143,-0.11902275029345805,0.05739215856765309,0.07366584638793408,0.06348346612864905,-0.18389855101330888,1136,0.9730192719486082,0.9730192719486082,0.4722154990942291,True
ADX_FILTER,SOLUSDT,crypto,1.6723034710792233,-0.4379435646487336,0.8551021981582877,1.1562630256144073,0.13747285340912174,-0.03201768681820269,0.06728628327239249,-0.15528270218386453,531,0.486038807382868,0.486038807382868,0.0,False
MULTI_SLOPE,SOLUSDT,crypto,-0.49317687754164335,-0.5266332643483698,-0.5053730309439494,-1.5301631029051221,-0.013918225572688746,-0.013283727836170637,-0.013655478048101266,-0.10577711110009136,102,0.07998106956933271,0.07998106956933271,0.0,False
ACCEL,SOLUSDT,crypto,1.5143679744035006,0.638536454146161,1.167706069708204,-0.35520840524802805,0.11721709927532141,0.04552821985457213,0.08753050699271109,-0.07953297842008689,589,0.5011831519167061,0.5011831519167061,0.6459671770440799,True
LOW_PULLBACK,SOLUSDT,crypto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,False
HURST,SOLUSDT,crypto,0.12994225336515874,0.3063006683895513,0.1997622232401981,-0.013199307229168466,0.011402023569733645,0.02499639938293002,0.017031497699665905,-0.19823386011723376,724,0.6341694273544723,0.6341694273544723,0.0,False
BREAKOUT_DECAY,SOLUSDT,crypto,1.4598055665732432,0.1944612596643448,1.0133255913334545,-2.030645113867241,0.10667073794343773,0.010555517991709723,0.06686912059475718,-0.13451373581767168,300,0.2711784193090393,0.2711784193090393,0.6842577424313436,True
VOLVOL_GATE,SOLUSDT,crypto,0.7853854528644955,-0.05519975453281754,0.41462000479933514,0.9705237183846326,0.06528296216518312,-0.005106459996502785,0.03613447925393127,-0.14881920555054207,647,0.608140085186938,0.608140085186938,0.0,False
