name,FULL_sharpe,FULL_ret,FULL_dd,IS_sharpe,IS_ret,IS_dd,OOS_sharpe,OOS_ret,OOS_dd,2020_sharpe,2020_ret,2020_dd,2021_sharpe,2021_ret,2021_dd,2022_sharpe,2022_ret,2022_dd,2023_sharpe,2023_ret,2023_dd,2024_sharpe,2024_ret,2024_dd,2025_sharpe,2025_ret,2025_dd,raw_is_vol,scale,family,asset
T1_st_lt_ratio__SPX500_USD,-0.7760122486368548,-0.038148299208388775,-0.2544840259991644,-0.8451432668672673,-0.042257163343363366,-0.1771127504040868,-0.6574896819986389,-0.03144990546836174,-0.09470240525503715,-2.6480075333884128,-0.15299651916309226,-0.15871516451241774,0.3118377184578743,0.015746612113132538,-0.030513388796277296,0.1635139124455526,0.008836614907935898,-0.06254213110970164,-1.189817097356295,-0.040979163807001465,-0.04954718534254854,-1.5156850982522,-0.06909943709294987,-0.07923760107657019,-0.11819818920200553,-0.006197098609674924,-0.049731436164084486,0.08156023626211832,0.613043834734735,T1_st_lt_ratio,SPX500_USD
T2_vol_cone__SPX500_USD,-0.08454469297634978,-0.004332029855038721,-0.09448582695101415,0.18544873961615185,0.009272436980807593,-0.09056576320208976,-0.5083355249363138,-0.027110428706015016,-0.08928188178990626,1.0107040582387767,0.011856844999852886,-0.007183322358090494,-0.7462164534556652,-0.03305348930131745,-0.051940631922705816,0.3106190326190971,0.024557639690341745,-0.05459067088500891,0.8180431797176394,0.03405847447403455,-0.03285140413757681,-1.1591764218075349,-0.03652712202978437,-0.046507032007195415,-0.3722902247010467,-0.02841923245978371,-0.0892818817899067,0.0997948223656448,0.5010279973925073,T2_vol_cone,SPX500_USD
T3_vov_regime__SPX500_USD,0.4648548644101487,0.022169945555462235,-0.08429221537750997,0.5404144924090265,0.027020724620451325,-0.07732088234448864,0.3241512592871355,0.014157041782261539,-0.04416886600021963,0.22057726452393434,0.01199361418592431,-0.06124727143535158,1.7956170387913293,0.06695077888554732,-0.022973536173811815,0.5855392326726725,0.03891046886051833,-0.06346827758284568,-0.24806099872447496,-0.00892330618891266,-0.028612187239953957,0.10592799029639213,0.00370798819243005,-0.04416886600021963,0.37875952702468,0.0199195611631232,-0.02917023861606549,0.18099414818039056,0.2762520252873963,T3_vov_regime,SPX500_USD
T1_st_lt_ratio__NAS100_USD,-0.6842360194739153,-0.036158780360312795,-0.2375907967555383,-0.8921125557682454,-0.044605627788412275,-0.1898193683772812,-0.3867169477275367,-0.02219436769460971,-0.08583698810108276,-1.4603895528564217,-0.08544111052127074,-0.11883723739123675,-0.8999000117895649,-0.05120947005792299,-0.06044365388762252,-0.2424902384275454,-0.01234883646315976,-0.06996232969795158,-1.0764148114293917,-0.03040357445517569,-0.043756985260078096,-0.32491539566621414,-0.018559942275498856,-0.08583698810108276,0.07735205107684684,0.004594112299491706,-0.050293662661786254,0.08605136364172565,0.5810483167724653,T1_st_lt_ratio,NAS100_USD
T2_vol_cone__NAS100_USD,0.3331673929669926,0.016215347815587623,-0.08233606189131804,0.5857807307574567,0.02928903653787284,-0.06623659201755505,-0.1201553653406373,-0.005580761539556256,-0.08233606189131837,1.1782148097028255,0.007120193139552985,-0.0027262524361142404,1.2555893107048632,0.04978708629174145,-0.020162782153389847,0.1721277707803368,0.014023960260856788,-0.06623659201755494,1.1031805785453495,0.04735163368720964,-0.026128477252012394,0.43071730960436555,0.016616348480434414,-0.03430591794635174,-0.4954420229678759,-0.030052235857027022,-0.05557638038234203,0.12562670633103484,0.3980045442586597,T2_vol_cone,NAS100_USD
T3_vov_regime__NAS100_USD,0.8027197607642108,0.03840545372096856,-0.05257985372107632,0.8957633382649453,0.04478816691324727,-0.05257985372107632,0.6325558161701458,0.027904387302254096,-0.04986929482931002,0.5363466518778979,0.02640389276513381,-0.05257985372107632,1.2627582220631044,0.050711500950102656,-0.024144141122764973,0.9478275670378853,0.0643019054456243,-0.038879293549075156,1.0368340752879581,0.03923750699231977,-0.02473272989958042,-0.19876838152218687,-0.0077088903466341115,-0.04986929482931002,1.036472634334948,0.05219250318610438,-0.018020245905147392,0.23668638849543888,0.21125000181818035,T3_vov_regime,NAS100_USD
T1_st_lt_ratio__US30_USD,-0.4309816311011376,-0.020695310430844837,-0.14780102740839696,-0.26396284239025514,-0.013198142119512757,-0.1299051680350669,-0.7470859076360518,-0.033332143962492025,-0.0871799368517987,-0.9781507927397031,-0.061975662633083024,-0.1299051680350669,1.091387363462505,0.05123340683058133,-0.025742789489262785,-0.3245103119265053,-0.01680115840783531,-0.04397947432195348,-0.7502336607088851,-0.025279426528608824,-0.03423595112444855,0.13453128127499409,0.004904587362210263,-0.04947816732674182,-0.8720214679597926,-0.0477741413828539,-0.052996807581566774,0.0848705068682264,0.5891328076740739,T1_st_lt_ratio,US30_USD
T2_vol_cone__US30_USD,-0.42753818416543576,-0.022626991455296157,-0.17871509486992987,-0.5215434288779169,-0.026077171443895847,-0.1494295862603814,-0.2944627753625934,-0.016959206799426415,-0.09751444497189965,1.004862102100132,0.011343783053647614,-0.0071010013831382945,-1.5991466031736998,-0.07926666155704948,-0.09926659374445856,-0.5191367516457287,-0.03862848298993522,-0.09650679060315515,0.027436718991567483,0.0012126982116041336,-0.036547803747800645,-0.28921120526538946,-0.008937482587886904,-0.047652013590266384,-0.3792431918117503,-0.031728702001908915,-0.0975144449718991,0.08150752993393898,0.6134402556490731,T2_vol_cone,US30_USD
T3_vov_regime__US30_USD,0.2119121824870992,0.01013932646378072,-0.10947550703748943,0.018562223951057635,0.0009281111975528817,-0.10947550703748943,0.5802208876085717,0.02559505773536748,-0.04195116965601986,0.10118482216641592,0.00630458122198407,-0.06770229781914427,0.9207888411351528,0.03592256176187454,-0.038182552821642846,-0.3000334377199529,-0.01765400995877519,-0.08266662193267349,-0.6077886790801283,-0.020937657641351456,-0.045003814642475826,1.692681377820698,0.05838521661545043,-0.017962283369612586,0.3019780326138289,0.01576956675220218,-0.02998184737600118,0.16561698607920222,0.3019014002349297,T3_vov_regime,US30_USD
T1_st_lt_ratio__DE30_EUR,-0.4969593224554159,-0.023103702452789445,-0.18372067934402692,-0.4662003822726482,-0.02331001911363241,-0.13606678161477048,-0.5707771132307651,-0.022864668555220274,-0.06317164152724675,0.07473594031345608,0.004617463824185581,-0.0845553253347695,0.3333380099730587,0.01358974553680336,-0.034873847000229885,-1.7365636631609302,-0.09856054998825348,-0.1295034336569756,-0.37427877262564807,-0.013714091590668928,-0.044734503181788066,-0.8542540262748719,-0.030717345910714504,-0.052613451527258714,-0.3157032840171745,-0.013386375957910548,-0.05118806585650759,0.09180883558349512,0.5446098916539218,T1_st_lt_ratio,DE30_EUR
