sleeve,scale_factor,FULL_sharpe,FULL_ret,FULL_vol,FULL_dd,IS_sharpe,IS_ret,IS_dd,OOS_sharpe,OOS_ret,OOS_dd,Y2022_sharpe,Y2022_ret,Y2024_25_sharpe,Y2024_25_ret,survivor
S1_skew_tercile,0.1443,-0.0011,-0.0000,0.0444,-0.1251,0.1305,0.0065,-0.0999,-0.3340,-0.0110,-0.0457,-0.7634,-0.0395,-0.3340,-0.0110,False
S2_skew_flip,0.9510,-0.3626,-0.0169,0.0465,-0.2648,-0.5240,-0.0262,-0.2648,-0.0313,-0.0013,-0.0967,2.3263,0.1202,-0.0313,-0.0013,False
S3_skew_vol,1.3993,-0.4364,-0.0202,0.0464,-0.1852,-0.5633,-0.0282,-0.1606,-0.1767,-0.0070,-0.0719,0.0000,0.0000,-0.1767,-0.0070,False
S4_monthly_skew_rank,0.1130,0.0275,0.0012,0.0437,-0.1154,0.0918,0.0046,-0.1041,-0.1461,-0.0045,-0.0594,-0.5469,-0.0254,-0.1461,-0.0045,False
S5_spx_nas_div,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,False
COMBINED,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,True
