strategy,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,y2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,n_trades,exposure,gate_rate,vol_scale,survived
VANILLA,BTCUSDT,crypto,0.816268421540867,0.24374900901695953,0.6053965052292151,-0.007166794417670664,0.08962582740698355,0.026063797693931214,0.06583430108184105,-0.14723837871374645,1136,0.9730192719486082,0.9730192719486082,0.4553756685750074,True
R2_FILTER,BTCUSDT,crypto,0.8439898586545099,0.07198702459671155,0.5818403666214658,-0.006860729586981095,0.056230864483924003,0.00407868623177066,0.03671009198183321,-0.08703680296918492,371,0.3083511777301927,0.3083511777301927,0.7504685072873106,True
HIT_FILTER,BTCUSDT,crypto,0.9609509182014073,-0.37259899274650354,0.5715953970701484,-0.8512839434495462,0.03962452458824125,-0.010205760790950997,0.02097284603517314,-0.06376332302013943,124,0.09593147751605996,0.09593147751605996,0.0,False
DD_FILTER,BTCUSDT,crypto,0.8367733564635012,0.21991322177480987,0.5986897736907867,0.0,0.041576765053134054,0.01146288804502974,0.030305018370014935,-0.06752840007266603,188,0.15674518201284796,0.15674518201284796,1.006299258003991,True
COMBO_GATE,BTCUSDT,crypto,0.9788314890172799,0.10905415876744715,0.6345740888743325,-0.30520998232109875,0.05633160179787122,0.006848848181940527,0.03781000579773271,-0.08859267033466967,343,0.2792291220556745,0.2792291220556745,0.8688120502320512,True
Q_WEIGHTED,BTCUSDT,crypto,0.8717677786861974,0.2823302616471362,0.646379773966996,-0.3078392199725578,0.06007623812239261,0.02011376917717766,0.04511812340799523,-0.09081356281788688,812,0.6663811563169165,0.6663811563169165,0.725551237837292,True
ANTI_QUALITY,BTCUSDT,crypto,-0.6279440526825978,0.5415685002646178,-0.19193834787334021,-1.135414830155919,-0.03654152155142868,0.031304788186245935,-0.011146371782380444,-0.24477296324512987,392,0.30663811563169163,0.30663811563169163,0.0,False
VANILLA,ETHUSDT,crypto,0.5420293360423888,0.686213731796464,0.5964459307961143,-0.11902275029345805,0.05739215856765309,0.07366584638793408,0.06348346612864905,-0.18389855101330888,1136,0.9730192719486082,0.9730192719486082,0.4722154990942291,True
R2_FILTER,ETHUSDT,crypto,0.6459353040807894,0.043175799149774416,0.4343742654899844,0.3417831619284587,0.04431575988442497,0.002666104906448858,0.028726124573610786,-0.1429002107991999,394,0.32676659528907925,0.32676659528907925,0.7287873498788939,True
HIT_FILTER,ETHUSDT,crypto,0.3168713058925301,-0.27895195690307234,0.19773281941770054,0.08625479314690475,0.017066115726440626,-0.005221777731578399,0.008723666526308453,-0.07292742791006424,172,0.1323340471092077,0.1323340471092077,0.0,False
DD_FILTER,ETHUSDT,crypto,-0.4278190953237447,0.12255659466621256,-0.23653000187285375,0.0,-0.01070243808025075,0.002721322019868792,-0.005677870059906218,-0.07210904501576954,51,0.041541755888650965,0.041541755888650965,0.0,False
COMBO_GATE,ETHUSDT,crypto,1.2446746538790197,0.6335176387220811,1.0297871328798973,1.3259320448235075,0.08622934347367318,0.0393397011732969,0.06867835958907838,-0.05654521958669034,344,0.28394004282655244,0.28394004282655244,0.721723373818237,True
Q_WEIGHTED,ETHUSDT,crypto,0.735063575589232,0.7217126647351615,0.7295990035642965,-0.1467529863696388,0.056480977280867456,0.05039915203942896,0.05420452534895428,-0.09978403996148177,793,0.654389721627409,0.654389721627409,0.6507178265824994,True
ANTI_QUALITY,ETHUSDT,crypto,-0.12281049037187555,-0.3308474850161804,-0.20392576870405887,-0.05287554715919963,-0.006279784310534897,-0.018116312307746876,-0.010710244897071628,-0.12984199300942978,400,0.31862955032119916,0.31862955032119916,0.0,False
VANILLA,SOLUSDT,crypto,1.441696376578096,-0.1558177597062202,0.7923099464473949,1.055051108743112,0.1533861919230918,-0.016031902598910453,0.08322962178265074,-0.16309364047074437,1025,0.9701845716990062,0.9701845716990062,0.0,False
R2_FILTER,SOLUSDT,crypto,1.2268548499210385,0.033942167138607544,0.7901717012767222,1.3006658379623746,0.07973530713515832,0.001770877910490094,0.04744998977993602,-0.06958150833289711,326,0.29910080454330334,0.29910080454330334,0.7693297323363992,True
HIT_FILTER,SOLUSDT,crypto,-0.6582639459162014,-0.9310785116044816,-0.7826257087991916,-0.5014150494809723,-0.01122015961527184,-0.023337303803669034,-0.016237907445299075,-0.09720395487478317,71,0.0506389020350213,0.0506389020350213,0.0,False
DD_FILTER,SOLUSDT,crypto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,False
COMBO_GATE,SOLUSDT,crypto,0.9239105971071475,0.21793470209766175,0.6309964118098755,0.10798813457640456,0.055152097314987214,0.013044621058227665,0.03771525788069255,-0.14163340058082874,312,0.2806436346426881,0.2806436346426881,0.8376024141298439,True
Q_WEIGHTED,SOLUSDT,crypto,1.215586852415385,-0.00151303501590445,0.7306259867637055,0.4119439471426557,0.08581032174718707,-9.983176362933056e-05,0.05023465477039373,-0.12336325271222626,743,0.6696639848556555,0.6696639848556555,0.0,False
ANTI_QUALITY,SOLUSDT,crypto,-0.43688854569781055,-0.04971537423253134,-0.2728975803013123,-0.6033260594207767,-0.02447595563846177,-0.002893673207585429,-0.015538664049717424,-0.17299401245349444,352,0.3005205868433507,0.3005205868433507,0.0,False
VANILLA,EUR_USD,forex,0.20327049173804318,-0.13825387649070295,0.07137943809243748,1.3278873299316443,0.020118003960289024,-0.014408315261666515,0.007207076386337019,-0.1934753429992655,784,0.9620024125452352,0.9620024125452352,0.0,False
R2_FILTER,EUR_USD,forex,-0.3641977811907184,0.2366363573228186,-0.14206942130628347,0.13372260420116056,-0.019669424880432603,0.012548025275309368,-0.007621886221469984,-0.14639065330525924,230,0.2677925211097708,0.2677925211097708,0.0,False
HIT_FILTER,EUR_USD,forex,0.09554194257136758,-0.4648790627174157,-0.11817997367572643,-1.0518252436347642,0.0025307219701063625,-0.01271097150536604,-0.003168825650395984,-0.06693281611129454,65,0.06634499396863691,0.06634499396863691,0.0,False
DD_FILTER,EUR_USD,forex,0.20327049173804318,-0.13825387649070295,0.07137943809243748,1.3278873299316443,0.020118003960289024,-0.014408315261666515,0.007207076386337019,-0.1934753429992655,784,0.9620024125452352,0.9620024125452352,0.0,False
COMBO_GATE,EUR_USD,forex,-1.0659070708004106,-0.6005209116539484,-0.8285663842512679,0.9681949955275141,-0.037303977520544505,-0.03158417494539039,-0.0351650887409332,-0.17024211647513854,163,0.17913148371531967,0.17913148371531967,0.0,False
Q_WEIGHTED,EUR_USD,forex,-0.5104516355618008,-0.21731739433054043,-0.3781814084685643,0.9467903037189479,-0.02578344772763363,-0.014406889694422291,-0.021529246291812756,-0.14196703270943056,576,0.6574185765983113,0.6574185765983113,0.0,False
ANTI_QUALITY,EUR_USD,forex,-0.33844165980154184,0.29500003637969197,-0.1363840698981509,-1.0761594485599335,-0.022063536164889142,0.014978022455412148,-0.008212048622918819,-0.1526544118441967,284,0.304583835946924,0.304583835946924,0.0,False
VANILLA,GBP_USD,forex,0.49983197706177485,-0.5782604051454762,0.08895835980245476,1.1804425095803002,0.04971777059141286,-0.05929022686621814,0.008954828236930817,-0.20528649652078812,797,0.9620024125452352,0.9620024125452352,0.0,False
R2_FILTER,GBP_USD,forex,-0.27960476654119926,0.23807250192159093,-0.07881837213003534,0.28203286202594624,-0.014818665035796994,0.013380301200553914,-0.004273816382879288,-0.09363625649125495,211,0.24668275030156817,0.24668275030156817,0.0,False
HIT_FILTER,GBP_USD,forex,-0.4343635761125943,0.8499980251723082,0.05695902893222765,-0.8010003378623962,-0.01652548239675131,0.03354698550727403,0.0021988421511954415,-0.08050395402918153,102,0.10675512665862485,0.10675512665862485,0.0,False
DD_FILTER,GBP_USD,forex,0.8343846463567192,-0.5782604051454762,0.27808747548182133,2.300149160493099,0.0787565312780518,-0.05929022686621814,0.027134703745212617,-0.19882150740627702,751,0.905307599517491,0.905307599517491,0.0,False
COMBO_GATE,GBP_USD,forex,-0.44774692791252974,-0.16019215948552626,-0.3352264719125048,-0.525965454546676,-0.02556758980908298,-0.00981535848034325,-0.019677129360458956,-0.14622484457688112,259,0.29010856453558503,0.29010856453558503,0.0,False
Q_WEIGHTED,GBP_USD,forex,0.2585736468952559,-0.30527167026326085,0.044732294709606026,0.8198561103051933,0.017588485556203983,-0.021238864005330812,0.003069211293145125,-0.1261828370249619,600,0.6857659831121834,0.6857659831121834,0.0,False
ANTI_QUALITY,GBP_USD,forex,-0.6887006607515312,0.3549873000633752,-0.2808418481057471,-0.6023514612200709,-0.03501413682808085,0.01936162921664404,-0.01468061755924524,-0.15793447870711108,261,0.2762364294330519,0.2762364294330519,0.0,False
VANILLA,USD_JPY,forex,1.4143732035113095,0.06546675938587496,0.903106324385945,2.603867727146086,0.1443163934422165,0.006820501601301491,0.09293155140402042,-0.10354086973541932,798,0.9620253164556962,0.9620253164556962,0.49002513497457134,True
R2_FILTER,USD_JPY,forex,-0.1603071577908373,-0.3884970176283644,-0.2441482925572674,0.5089951988443898,-0.00976066854055389,-0.023034426551235256,-0.014721325542737407,-0.1656253994922684,247,0.28812537673297167,0.28812537673297167,0.0,False
HIT_FILTER,USD_JPY,forex,0.27914281180207023,-0.4661000550830842,0.026211696833705268,1.2405691334821443,0.015276002994138383,-0.021951536306724594,0.0013633602174445648,-0.13724964654314697,189,0.21518987341772153,0.21518987341772153,0.0,False
DD_FILTER,USD_JPY,forex,1.4534946810335272,0.2378057906210722,0.9977874895159616,2.5797686749047237,0.14439262721342197,0.023699607607263532,0.09928733959689501,-0.10354086973541887,745,0.8975286317058468,0.8975286317058468,0.5033133301484863,True
COMBO_GATE,USD_JPY,forex,0.3753118786968143,0.053377684597659104,0.26322141737704574,0.8979834911069238,0.026593446524409228,0.0033664654253124596,0.017913079868930013,-0.11508254048517574,305,0.35201928872814947,0.35201928872814947,0.0,False
Q_WEIGHTED,USD_JPY,forex,1.0003375416883054,0.3192308659880973,0.7665167085974325,1.939736584242794,0.07955371036070023,0.021958283965296258,0.058029198989301534,-0.07683176974619121,589,0.6962025316455697,0.6962025316455697,0.6287183445955747,True
ANTI_QUALITY,USD_JPY,forex,-0.8438966782221248,0.37516852516754445,-0.2773097509860598,-0.7030887767686456,-0.037741312160796445,0.024048432852893264,-0.01464930377713905,-0.1399567869966193,232,0.26582278481012656,0.26582278481012656,0.0,False
VANILLA,XAU_USD,forex,0.0148122108632852,1.8847210757377069,0.7638725397335965,-0.291912856647003,0.0014983645445953986,0.21417279794281985,0.0810739408979638,-0.1825648117141634,793,0.9617950272892662,0.9617950272892662,0.0,False
R2_FILTER,XAU_USD,forex,-0.345232948598093,1.3108395182206398,0.48632629697300445,-0.34844627565445807,-0.017814697927910524,0.11996241875879968,0.033736836939099915,-0.133208947143716,230,0.26864766525166767,0.26864766525166767,0.0,False
HIT_FILTER,XAU_USD,forex,-0.9304491683211678,1.4723283181546445,0.26402468522927697,-2.764301026104712,-0.044243604622578446,0.11761152072587182,0.016317106317381404,-0.19535314649804736,164,0.1795027289266222,0.1795027289266222,0.0,False
DD_FILTER,XAU_USD,forex,0.06915834850937763,1.9605669446048049,0.8278212033918911,-0.09779405435213491,0.0067105708283681465,0.2142947443009888,0.08438154416530384,-0.16137498353734503,695,0.8399029714978775,0.8399029714978775,0.0,False
COMBO_GATE,XAU_USD,forex,-1.017823994133203,1.527252172839209,0.3127260250022885,-0.29442772344519497,-0.05112356868110096,0.1442656791064715,0.021984476124800933,-0.17235181905473052,247,0.2862340812613705,0.2862340812613705,0.0,False
Q_WEIGHTED,XAU_USD,forex,-0.5237786282424554,1.9830197796232534,0.6716361492797333,-0.1651426629308786,-0.032551897198702794,0.19373588856609378,0.052117334952224724,-0.17102354874771197,623,0.7343844754396605,0.7343844754396605,0.0,False
