sleeve,all_IS_sharpe,crisis_sharpe,crisis_n,calm_uptrend_sharpe,calm_uptrend_n,choppy_sharpe,choppy_n,vol_expansion_sharpe,vol_expansion_n,vol_compression_sharpe,vol_compression_n
EVE_XAU,0.9283264674589304,0.4822390053693966,93,1.2007712742128906,305,0.013809482604961692,52,-0.7115766519166203,309,0.9312198413776316,284
WED_BTC,0.7287309724528015,-0.17000211461914308,93,0.4175253768852364,305,0.1000314277684546,52,0.4097453702291589,309,0.7604328250322961,284
WED_ETH,0.7067072277523376,-0.47594801239585993,93,0.6538186516369577,305,0.2655527439301216,52,0.18666930302992615,309,1.162242125835875,284
WED_SOL,0.3046459703062619,-0.19792039091880084,93,0.5183821364539528,305,0.07209080880105931,52,0.6855040411217483,309,0.4666834508776045,284
D1REV_NAS,0.7347568520578676,0.7375421164944969,93,-0.13724041189151948,305,0.12924572278349794,52,0.501903185543326,309,-0.04824555650124791,284
D1REV_UK,0.7572200581022518,1.014034034882586,93,0.3671206131606741,305,0.1974192827294472,52,0.6762816004882207,309,-0.24884298749375452,284
D1REV_SPX,0.3179562133521303,0.6595757131746813,93,-0.10275367623498051,305,-0.5470030723188343,52,0.5159811187032394,309,-0.03745572255288738,284
TSMOM,1.3107667683652255,-0.0948587495884963,93,0.6973120809297736,305,0.9836362860990696,52,0.7365155299459584,309,0.22838990409331114,284
XSMOM,0.7392206776692756,-0.14018804844069646,93,0.20472580317493108,305,-0.29743112101536623,52,0.25523408167219147,309,-0.10288187311482017,284
VOLMGD,0.9343856877647723,-0.33824392247283525,93,0.5305097698009071,305,0.7463723102119229,52,0.6189466069508803,309,-0.03444283120761422,284
RISKPAR,1.4534335847654585,0.561117176949756,93,0.7412295777330653,305,0.4894224385841591,52,0.488670162904139,309,0.21073255274999297,284
DEFEND,0.2625088117573875,-0.1880741416966276,93,0.0,305,0.0,52,1.3458440999865273,309,0.0,284
PAIRS_EXP,1.2033003467270726,0.8088577315618755,93,0.9263806422465811,305,0.43597279660342864,52,-0.1088364542072915,309,1.0975637167636487,284
VOLFORECAST,2.1540084341149415,0.27393683597500024,93,1.24941108918326,305,0.9154914185914694,52,1.917935252795801,309,0.5684134530625543,284
H4_SLEEVE,3.3652502027470854,2.707109165809213,93,0.18939556594105594,305,0.2161573884313107,52,1.480107205824516,309,-0.22855571354595658,284
TREND_NEW,1.759089975939287,0.4152268163226804,93,1.0317956064535008,305,0.714926816402536,52,1.2661776926949284,309,0.19538516976562595,284
CRYPTO_DOM,1.0046469368730369,-0.31718210690807486,93,1.6758936822522192,305,-0.3053201465380285,52,0.6475195811030893,309,1.2413259664737488,284
CRYPTO_vs_SPX,0.5274492014480496,0.21519370925866377,93,0.17345664856576437,305,0.5673421061695622,52,0.07415450413155371,309,0.7760398063883339,284
CORR_REGIME,1.6688496201055414,-0.11347683187829603,93,0.8637617328785693,305,-0.5853960192983143,52,1.4055117391357708,309,0.34962727785989,284
SESSION_MOM,0.921281382987972,0.9563991429256898,93,0.87047667295138,305,-0.5673421061695623,52,0.07254290222216607,309,0.606762219797534,284
MULTI_CONFIRM,1.474875530338322,0.24361365714787978,93,1.40155214541546,305,-0.7927714943832153,52,1.1919492059300534,309,1.3607692085008711,284
W1_STRATS,2.561730048687951,0.701235837911139,93,0.814034959660793,305,0.8184473062502231,52,1.937037391856727,309,0.6627035753198489,284
EVENT_VOLSPIKE,1.1820190463526046,0.763469455688453,93,0.7026120549365796,305,0.0,52,0.6832052552973165,309,0.5863678438248654,284
MOM_QUALITY,1.8453038532323411,0.2425049304372087,93,1.085820827468584,305,0.7444117765354826,52,0.6930287892498252,309,0.36180315047303946,284
VRP_PROXY,1.2988600885240225,0.337705764267461,93,0.9013971428595472,305,0.7964847728473026,52,1.1767596424212123,309,0.19801584855742846,284
TAIL_SAFEHAVEN,1.026493072985821,0.08701431755380862,93,-0.0483212984428768,305,-0.35852421804951695,52,0.5054371906714819,309,-0.08666586557990388,284
STATARB_XS,0.8795162093560319,0.38588612628922797,93,0.4683721895029964,305,-0.3455416735638717,52,-0.31779666759293534,309,0.024322347277621153,284
MICROSTR_D1,1.9635297032782875,1.6937667637776672,93,1.6390404639830785,305,0.0780234761304183,52,1.3785117934010749,309,1.748325994638621,284
TERM_SPREADS,1.3103493807006314,0.012905748211033595,93,1.5839794307302155,305,0.46365638468993736,52,-0.45194152841556945,309,1.3793341980737586,284
VOL_BREAKOUT,1.6336379255785092,0.6097584776450928,93,1.1938779822736718,305,0.2906244178840548,52,1.0413658372699568,309,1.5430433282860445,284
EURGBP_MR,1.2215980093709569,0.7553600728196537,93,0.819131366462313,305,-0.8471246111393758,52,0.24801631067379593,309,0.715399203023486,284
TREND_COND,2.0537836913672636,-0.16292064404011328,93,1.3441034186812724,305,0.7609121749885517,52,1.5707046273932863,309,0.9064215280675134,284
MULTIDAY,2.1081175518214557,0.5881026450768394,93,1.2890557976642294,305,-0.19452788411710703,52,0.727456960725191,309,1.604322231252386,284
