strategy,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,yr2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,is_n,oos_n,n_trades,exposure,survived,vol_scale
MACD_TREND,BTCUSDT,crypto,1.311960919582398,0.4376910569453157,1.036199978317139,-1.3814966082046836,0.4646880088560375,0.11195639822947547,0.3326591319020266,-0.4134490486901502,1461,874,63,0.30149892933618844,True,0.14116578161895818
MACD_TREND,ETHUSDT,crypto,1.0077754999897215,0.4060904575883049,0.8169193354102859,-1.593910822080611,0.49730033513013105,0.14476772641813293,0.36534594540238535,-0.5437152557318008,1461,874,65,0.3203426124197002,True,0.10132463511471512
MACD_TREND,SOLUSDT,crypto,1.5651840395343284,0.42290805718527896,1.210231520924869,-1.195679322773577,1.2508685027693622,0.165814724354218,0.8015442925879845,-0.5881741361344874,1238,875,50,0.28774254614292477,True,0.06256389205056674
MACD_TREND,EUR_USD,forex,0.15124832885820685,-0.05550100730296221,0.07401341580234021,-1.142580392673213,0.007163528564355538,-0.00262439473108881,0.0035033883694366597,-0.09694364990894488,1038,620,48,0.2925211097708082,False,0.0
MACD_TREND,GBP_USD,forex,0.08904446022057282,0.5962421847675181,0.23764152959344695,0.08779572095870843,0.005272552290984517,0.02516785885861345,0.01271229298575529,-0.1165110675944433,1038,620,47,0.31363088057901084,False,0.0
MACD_TREND,USD_JPY,forex,1.1302756796619953,0.06767386912212414,0.7130770806960058,2.8447375498629808,0.06723884936831605,0.004348258873929194,0.04373543399368081,-0.08114266138790238,1039,620,55,0.3562386980108499,True,0.8404930261898549
MACD_TREND,XAU_USD,forex,0.4339864081193623,1.2766084284699888,0.8144746020325525,-0.3502555227222434,0.0495592963469932,0.2173668344339,0.1123471987118334,-0.15237062378055222,1032,617,53,0.37234687689508794,False,0.0
MACD_TREND,SPX500_USD,index,0.794306468609585,0.47961778811608935,0.691673834397433,0.19439966568730147,0.0889664147399342,0.0387220890634165,0.07017041397232648,-0.08578998662029558,1034,618,66,0.41646489104116224,True,0.4464080467508409
MACD_TREND,NAS100_USD,index,0.9624906394694523,0.56985311692073,0.8278310105323002,0.34871791521862716,0.13820348437656377,0.06940177120677737,0.11246531322709162,-0.1136342909552297,1034,618,61,0.3922518159806295,True,0.34821504096342065
MACD_TREND,US30_USD,index,0.5707757827151834,-0.09449631967679004,0.3593218204112926,0.39753295643402276,0.06070256250596114,-0.007680418111287286,0.035121035858588556,-0.10491397099878119,1034,618,59,0.38438256658595643,False,0.0
MACD_TREND,UK100_GBP,index,-0.18678900824991398,0.41697365137091386,0.0180189009360782,0.6734034439520978,-0.017695906447657193,0.03380041966235116,0.0016192065694259213,-0.19272332649186752,1008,605,54,0.3719776813391196,False,0.0
MACD_TREND,DE30_EUR,index,0.34380820332019063,0.4475633296531203,0.37971023434450707,0.7450517214770023,0.03828248928354658,0.045328992467632875,0.04090112222357864,-0.18207847165778712,1023,605,57,0.36977886977886976,False,0.0
MACD_TREND,JP225_USD,index,0.6856700225114327,0.034753986760620866,0.3776539904039374,-0.5321198300076136,0.08248771469124087,0.006040118769552368,0.05388927989729202,-0.2120594088425518,1034,618,60,0.3801452784503632,True,0.4156194804753405
BOLL_REV,BTCUSDT,crypto,-0.7297923371937066,0.38677765327727104,-0.3683503300918408,0.5126009306700954,-0.12443545265877431,0.05226694094016736,-0.058295027817029124,-0.5106035982066117,1461,874,58,0.07366167023554604,False,0.0
BOLL_REV,ETHUSDT,crypto,-0.7661006192807285,-0.14649165704140926,-0.42636071761824956,-0.8767113068831176,-0.08185326476107826,-0.028165204396593927,-0.061757605335571064,-0.5009338171847397,1461,874,42,0.055674518201284794,False,0.0
BOLL_REV,SOLUSDT,crypto,0.7445645316269951,0.29903000148356623,0.5851173551519149,0.6065880961917268,0.17514193090521632,0.05237165399540239,0.12430236995108135,-0.24166942706297845,1238,875,36,0.04259346900141978,True,0.21256032972193853
BOLL_REV,EUR_USD,forex,-0.18569706037213424,0.1676163658912218,-0.060417796969106256,0.325592911785714,-0.007379063601537985,0.00612239296891898,-0.0023302680203055853,-0.07948304744104018,1038,620,92,0.1700844390832328,False,0.0
BOLL_REV,GBP_USD,forex,-0.4124818604948775,0.8606543167286921,-0.05590270323548403,-0.8883223226899244,-0.022113292224235054,0.029925786009307984,-0.0026535645373854237,-0.10645881141082059,1038,620,93,0.15681544028950542,False,0.0
BOLL_REV,USD_JPY,forex,0.5802748151171782,-0.038887839227403985,0.3470315966671957,-0.5205774629319212,0.02800196110631242,-0.0019000265381813196,0.01682701695948534,-0.06482621748271689,1039,620,91,0.1518987341772152,False,0.0
BOLL_REV,XAU_USD,forex,-0.21300784592246516,-0.6509664877778033,-0.3566035450459695,-0.8460568657182959,-0.017045524046018827,-0.043132855126127044,-0.02680652057508298,-0.24410304176626785,1032,617,84,0.14554275318374774,False,0.0
BOLL_REV,SPX500_USD,index,-0.12049294224393532,-0.391835959775057,-0.1904633189765449,-0.06367144331204734,-0.012344283477594425,-0.025223946106783045,-0.017162462354615354,-0.18955441153303965,1034,618,86,0.13559322033898305,False,0.0
BOLL_REV,NAS100_USD,index,-0.21069611657750126,0.49702057907584757,-0.007874889895839596,-0.8923164920327984,-0.02804817045052429,0.04443021953682952,-0.0009345838814052412,-0.2257827154077473,1034,618,69,0.1162227602905569,False,0.0
BOLL_REV,US30_USD,index,-0.4162988915081309,-0.20615996980020648,-0.3526059176324511,-0.4605000494882227,-0.0460368977033485,-0.011827763436754202,-0.03323953391596638,-0.22331147725913303,1034,618,85,0.15012106537530268,False,0.0
BOLL_REV,UK100_GBP,index,0.16744314690810158,0.17849244647529416,0.16911567105207534,-1.0723587198784001,0.014899209134689404,0.011671498083267806,0.013688567357807772,-0.14233591377784438,1008,605,85,0.14879107253564786,False,0.0
BOLL_REV,DE30_EUR,index,-0.7205611081082721,-0.13586341971114618,-0.5309814047195489,-0.9720785798672299,-0.08212218244140226,-0.012246208585511151,-0.05615475972468598,-0.30589273232974656,1023,605,62,0.11793611793611794,False,0.0
BOLL_REV,JP225_USD,index,-0.5020084570573337,-0.4709352114128972,-0.48230050612345776,-0.35484328665865816,-0.04583595906662486,-0.058636567143690706,-0.0506245642673674,-0.2464066367077553,1034,618,65,0.12106537530266344,False,0.0
STOCH_ADX,BTCUSDT,crypto,-0.4665128606974099,0.18765032213678462,-0.25463100384008064,-0.4642984578675319,-0.11931037398076676,0.03801927997922442,-0.060421244404307524,-0.6558941125600102,1461,874,154,0.17516059957173447,False,0.0
STOCH_ADX,ETHUSDT,crypto,-0.7393808800456604,-1.010202817211596,-0.8350041893791222,-0.7099071712238681,-0.20449633923435148,-0.25757669607993683,-0.22436453276027934,-0.8371254112318838,1461,874,140,0.1601713062098501,False,0.0
STOCH_ADX,SOLUSDT,crypto,-0.42929680529919234,-0.8019774592030982,-0.5562400622765604,-0.24904960625641587,-0.19958024804178062,-0.28697037057826436,-0.2357687748848583,-0.9134098798224942,1238,875,152,0.18599148130619972,False,0.0
STOCH_ADX,EUR_USD,forex,-0.5458847052922458,-0.4565270157491058,-0.5139259723558296,-0.7908375430050907,-0.024912293436849378,-0.018893162685655246,-0.022661472528682697,-0.12986054329063323,1038,620,152,0.24065138721351026,False,0.0
STOCH_ADX,GBP_USD,forex,-0.5233629801532431,-0.44625170505127004,-0.48488597959068463,-0.724052276298064,-0.03438468471123547,-0.014774186279764297,-0.02705144645579993,-0.15731631517693445,1038,620,155,0.267189384800965,False,0.0
STOCH_ADX,USD_JPY,forex,-1.4502629807087644,0.3333632797070658,-0.6987641462291602,-3.3720090325902636,-0.06724463035598725,0.018698474312806915,-0.03512604994932518,-0.24575515124507363,1039,620,126,0.23447860156720915,False,0.0
STOCH_ADX,XAU_USD,forex,-0.32689515291718235,-0.7162923601047103,-0.490014766330372,-1.0823441930734883,-0.026912349714852946,-0.07328890593208615,-0.04426488772942717,-0.2881357147436442,1032,617,131,0.21285627653123104,False,0.0
STOCH_ADX,SPX500_USD,index,-0.44064388468605564,-0.07896526903906023,-0.33516417022035366,-0.4484992336510151,-0.05039206461692444,-0.005606370869837531,-0.03363809443792947,-0.2372576223896956,1034,618,156,0.349273607748184,False,0.0
STOCH_ADX,NAS100_USD,index,-0.6671699664692141,-0.6054162277084311,-0.6429453130820295,-0.9497268193366228,-0.0884697290571582,-0.06180882254652768,-0.07849609696056642,-0.38774562302323734,1034,618,149,0.31900726392251816,False,0.0
STOCH_ADX,US30_USD,index,-1.037831361701121,0.4011546825872539,-0.6057435620885435,-1.4842938740063665,-0.10679200589379885,0.028801240580987583,-0.05606765582030127,-0.3178791012391543,1034,618,159,0.32990314769975787,False,0.0
STOCH_ADX,UK100_GBP,index,-0.12145730322052008,0.3083329978468186,0.019340245945614117,-0.8485454622634749,-0.011777904153122588,0.024294275095442,0.0017519584912553167,-0.18019465975060722,1008,605,149,0.2504649721016739,False,0.0
STOCH_ADX,DE30_EUR,index,-0.4652442702513811,-1.0508704104347073,-0.6768300511854256,0.3833301862887511,-0.05027968241135992,-0.10879817236426963,-0.0720264185425088,-0.32690146717705115,1023,605,161,0.3144963144963145,False,0.0
STOCH_ADX,JP225_USD,index,-0.37387237801982104,0.319132415601819,-0.07334872493778834,-0.693952452241286,-0.039854867977662724,0.0434425686361124,-0.008693962513187535,-0.21063145744475587,1034,618,142,0.24213075060532688,False,0.0
TRIPLE_MA,BTCUSDT,crypto,0.8436678276454582,0.4614680886891587,0.7201245776578336,-0.4125844374048047,0.5204502501676378,0.20620557792162847,0.40282719083444196,-0.6136382447376578,1461,874,64,0.7627408993576017,True,0.08105172659382061
TRIPLE_MA,ETHUSDT,crypto,0.7344162052922009,0.39355718514529336,0.6168294755285453,-0.20505000550776475,0.5328064758892679,0.246363836101855,0.42558983041851883,-0.8276495756752954,1461,874,63,0.7576017130620984,True,0.06891960200619195
TRIPLE_MA,SOLUSDT,crypto,1.4407149327875446,0.07236716910842436,0.997905897743643,0.9792978534444038,1.6618575820689498,0.051933140731580604,0.9951827660868399,-0.8865013896928073,1238,875,63,0.7766209181258874,True,0.04334652223910514
TRIPLE_MA,EUR_USD,forex,0.23620170773283328,0.15061126760825985,0.2059689768708356,1.0804052242487312,0.019330450254678333,0.011129206268009147,0.016263640078722424,-0.108763677019175,1038,620,44,0.7653799758745476,False,0.0
TRIPLE_MA,GBP_USD,forex,0.638144885256659,0.18882154598649137,0.49642611076049065,1.3593620384993552,0.06516372142303055,0.014081046725421303,0.0460616355891839,-0.13900752871739286,1038,620,44,0.7424607961399277,True,0.4896473615387489
TRIPLE_MA,USD_JPY,forex,0.7333372998312344,0.2069046068941447,0.5264278136846038,2.9400868736943915,0.07090318774501901,0.02163509224901993,0.052490759048503394,-0.1505516069845111,1039,620,50,0.7769740807715492,True,0.5171398657479627
TRIPLE_MA,XAU_USD,forex,-0.3246935603761975,1.6219484429418396,0.5548274498603412,0.7426015649813086,-0.053679797738373294,0.37649408333353285,0.10727671203807675,-0.282274499639553,1032,617,48,0.7683444511825349,False,0.0
TRIPLE_MA,SPX500_USD,index,0.2810572991077414,0.6369685012383721,0.38760564832082145,-0.4121222944520008,0.06386110285370794,0.10836130547483973,0.08050827308364707,-0.22370177576543304,1034,618,39,0.8008474576271186,False,0.0
TRIPLE_MA,NAS100_USD,index,0.3132762998819872,0.5692434365100034,0.39474187770897146,-0.44212427427880113,0.08710936592050851,0.12803793782977116,0.10242041763959105,-0.2871503987616244,1034,618,43,0.8087167070217918,False,0.0
TRIPLE_MA,US30_USD,index,-0.1164242362551262,0.3534354001974427,0.023409194658072358,-0.6128842767904901,-0.02607866584355591,0.05628805246551833,0.004734065339862897,-0.3601163843645768,1034,618,43,0.784503631961259,False,0.0
TRIPLE_MA,UK100_GBP,index,-0.9780222297549941,-0.900451383011336,-0.9336757004338563,-1.8669178834362763,-0.1951572511740721,-0.10811807950623686,-0.16251081666753747,-0.6163177229836485,1008,605,58,0.7557346559206448,False,0.0
TRIPLE_MA,DE30_EUR,index,-0.029479513901154924,-0.47918515749756346,-0.15859591067766596,-0.07716802553763114,-0.007128944911075186,-0.08077095351131039,-0.03449590756656799,-0.36802834576070864,1023,605,50,0.7665847665847666,False,0.0
TRIPLE_MA,JP225_USD,index,-0.37199120444085326,0.5191310553913026,-0.002509060213542451,-1.1236382754710208,-0.08318011704492016,0.13756228936530895,-0.0006021466081637702,-0.5307467533608683,1034,618,52,0.75,False,0.0
AROON_TREND,SPX500_USD,index,0.0233437969142473,-0.25002337419759624,-0.03845415041582029,0.45769764733994084,0.004099253600738215,-0.02219112752988006,-0.005735767911805418,-0.21988882537211774,1034,618,138,0.3196125907990315,False,0.0
