variant,OOS_sharpe,OOS_ret,OOS_vol,OOS_dd,IS_sharpe,Y2022_sharpe,Full_sharpe
baseline_sleeve_equal,4.262101121556696,0.06370715379111967,0.014947358585394423,-0.006579060509777412,4.840149319223019,4.248357066522685,4.611654827725696
v1_equal_per_asset_vol,4.262101121556694,0.06370715379111967,0.014947358585394428,-0.006579060509777412,4.840149319223018,4.248357066522685,4.611654827725697
v2_edge_weighted,3.884067009641906,0.09212039196257142,0.023717508409069523,-0.01267526381312889,4.272890198317425,2.5300984812081344,4.004750488418047
v3_inverse_vol,4.096717693621509,0.06312255148858587,0.01540807939655353,-0.006331137810684062,4.855219670070357,4.661728064749455,4.558155457626383
v4_2022_weighted,4.0203070570289166,0.064446993426739,0.01603036596770958,-0.0065805598612822536,4.772183365905177,4.502188515035503,4.472628504759472
v5_oos_weighted,4.26130074488449,0.06461030782714433,0.015162109340605976,-0.006628329149993006,4.8556626208439715,4.327460555056337,4.619682838704553
