sleeve,scale_factor,FULL_sharpe,FULL_ret,FULL_vol,FULL_dd,IS_sharpe,IS_ret,IS_dd,OOS_sharpe,OOS_ret,OOS_dd,Y2022_sharpe,Y2022_ret,Y2024_25_sharpe,Y2024_25_ret,survivor
S1_OU_reversion,0.5925,0.0272,0.0012,0.0448,-0.1096,-0.0317,-0.0016,-0.1096,0.1719,0.0059,-0.0319,-0.2296,-0.0115,0.1719,0.0059,False
S2_halflife_filt,0.6588,-0.4161,-0.0196,0.0470,-0.2508,-0.1186,-0.0059,-0.1275,-1.0179,-0.0424,-0.1890,0.0431,0.0024,-1.0179,-0.0424,False
S3_multi_horizon,0.4382,-0.6325,-0.0291,0.0460,-0.2774,-0.7856,-0.0393,-0.2207,-0.3144,-0.0120,-0.0884,-0.3326,-0.0194,-0.3144,-0.0120,False
S4_xs_5d_neutral,0.1239,0.2242,0.0103,0.0459,-0.1195,0.0046,0.0002,-0.1195,0.7124,0.0271,-0.0440,0.7820,0.0469,0.7124,0.0271,False
S5_bollinger_xs,0.1309,0.9075,0.0412,0.0454,-0.0677,0.7303,0.0365,-0.0677,1.3458,0.0490,-0.0222,0.4306,0.0227,1.3458,0.0490,True
S6_vol_adj_rev,0.7435,-0.1054,-0.0051,0.0487,-0.1920,-0.0305,-0.0015,-0.1475,-0.2401,-0.0111,-0.0709,-0.5876,-0.0356,-0.2401,-0.0111,False
S7_rev_of_mom,0.4601,-0.1197,-0.0052,0.0433,-0.1019,-0.1255,-0.0063,-0.1019,-0.1167,-0.0034,-0.0507,-0.0867,-0.0042,-0.1167,-0.0034,False
COMBINED,1.0000,0.9075,0.0412,0.0454,-0.0677,0.7303,0.0365,-0.0677,1.3458,0.0490,-0.0222,0.4306,0.0227,1.3458,0.0490,True
