sleeve,family,variant,best_pick,best_oos,n_nonzero_days,sharpe_full,sharpe_is,sharpe_oos,sharpe_2022,is_sharpe_lift,oos_sharpe_lift,sharpe_2022_lift,maxdd_full,maxdd_is,maxdd_oos,maxdd_oos_improve
TREND_NEW,baseline,baseline,False,False,2306,1.1929014384920105,1.4177136821498475,0.8983958091331918,-0.41090981532442705,0.0,0.0,0.0,-0.06925378775336644,-0.06858769141231369,-0.06925378775336599,0.0
TREND_NEW,fixed,fixed3pct_cd1,False,False,2306,1.1929014384920105,1.4177136821498475,0.8983958091331918,-0.41090981532442705,0.0,0.0,0.0,-0.06925378775336644,-0.06858769141231369,-0.06925378775336599,0.0
TREND_NEW,fixed,fixed3pct_cd2,False,False,2306,1.1929014384920105,1.4177136821498475,0.8983958091331918,-0.41090981532442705,0.0,0.0,0.0,-0.06925378775336644,-0.06858769141231369,-0.06925378775336599,0.0
TREND_NEW,fixed,fixed3pct_cd5,False,False,2306,1.1929014384920105,1.4177136821498475,0.8983958091331918,-0.41090981532442705,0.0,0.0,0.0,-0.06925378775336644,-0.06858769141231369,-0.06925378775336599,0.0
TREND_NEW,atr,atr_1.5x,False,False,2304,1.1948798597896528,1.4211760014695338,0.8983958091331918,-0.41090981532442705,0.0034623193196863244,0.0,0.0,-0.06925378775336632,-0.06858769141231569,-0.06925378775336599,0.0
TREND_NEW,atr,atr_2.0x,False,False,2304,1.1948798597896528,1.4211760014695338,0.8983958091331918,-0.41090981532442705,0.0034623193196863244,0.0,0.0,-0.06925378775336632,-0.06858769141231569,-0.06925378775336599,0.0
TREND_NEW,atr,atr_2.5x,False,False,2304,1.1948798597896528,1.4211760014695338,0.8983958091331918,-0.41090981532442705,0.0034623193196863244,0.0,0.0,-0.06925378775336632,-0.06858769141231569,-0.06925378775336599,0.0
TREND_NEW,trail,trail_arm20_frac50,False,False,2306,1.1929014384920105,1.4177136821498475,0.8983958091331918,-0.41090981532442705,0.0,0.0,0.0,-0.06925378775336644,-0.06858769141231369,-0.06925378775336599,0.0
TREND_NEW,trail,trail_arm15_frac50,False,False,2306,1.1929014384920105,1.4177136821498475,0.8983958091331918,-0.41090981532442705,0.0,0.0,0.0,-0.06925378775336644,-0.06858769141231369,-0.06925378775336599,0.0
TREND_NEW,trail,trail_arm20_frac30,False,False,2306,1.1929014384920105,1.4177136821498475,0.8983958091331918,-0.41090981532442705,0.0,0.0,0.0,-0.06925378775336644,-0.06858769141231369,-0.06925378775336599,0.0
TREND_NEW,tpsl,tpsl_2.0x_1.0x,False,False,1893,1.266075278837661,1.5501669251942887,0.8936680829620288,-0.47052506790384246,0.13245324304444117,-0.004727726171163016,-0.05961525257941541,-0.0674517090671487,-0.0674517090671487,-0.05283226062677138,-0.016421527126594615
TREND_NEW,tpsl,tpsl_3.0x_1.5x,True,True,2036,1.3637596601843431,1.4601445498930785,1.2407721808046657,-0.9604090738470357,0.042430867743231016,0.34237637167147383,-0.5494992585226086,-0.07499657325281328,-0.07499657325281328,-0.06094902063190999,-0.008304767121456003
TREND_NEW,time,time_5d,False,False,1922,1.0630460523395946,1.3338920010103161,0.715925557336388,-0.5302766898949591,-0.08382168113953137,-0.18247025179680387,-0.11936687457053208,-0.06957151531814831,-0.06957151531814831,-0.05898826688883485,-0.010265520864531141
TREND_NEW,time,time_3d,False,False,1730,1.0455664878599111,1.2384597314824073,0.783225770615902,-0.6636075036370178,-0.1792539506674402,-0.1151700385172898,-0.25269768831259076,-0.06797101090737911,-0.06797101090737911,-0.04838632012927846,-0.020867467624087532
TREND_NEW,time,time_10d,False,False,2097,1.333489993204479,1.4549050518130033,1.1721332833603262,-0.3465888942253027,0.03719136966315584,0.27373747422713435,0.06432092109912435,-0.06758519441476463,-0.06758519441476463,-0.05651715343659802,-0.01273663431676797
TREND_NEW,volcond,volcond_2.0x,False,False,2305,1.1924383119596114,1.4169071044957586,0.8983958091331918,-0.41090981532442705,-0.0008065776540888692,0.0,0.0,-0.06925378775336677,-0.06858769141231391,-0.06925378775336599,0.0
TREND_NEW,volcond,volcond_2.5x,False,False,2306,1.1929014384920105,1.4177136821498475,0.8983958091331918,-0.41090981532442705,0.0,0.0,0.0,-0.06925378775336644,-0.06858769141231369,-0.06925378775336599,0.0
TREND_NEW,eqprot,eqprot_5pct_21d_5d,False,False,2306,1.1929014384920105,1.4177136821498475,0.8983958091331918,-0.41090981532442705,0.0,0.0,0.0,-0.06925378775336644,-0.06858769141231369,-0.06925378775336599,0.0
D1REV_NAS,baseline,baseline,True,True,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,fixed,fixed3pct_cd1,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,fixed,fixed3pct_cd2,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,fixed,fixed3pct_cd5,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,atr,atr_1.5x,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,atr,atr_2.0x,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,atr,atr_2.5x,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,trail,trail_arm20_frac50,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,trail,trail_arm15_frac50,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,trail,trail_arm20_frac30,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,tpsl,tpsl_2.0x_1.0x,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,tpsl,tpsl_3.0x_1.5x,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,time,time_5d,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,time,time_3d,False,False,1175,0.5237170116348323,0.5901600619949391,0.38846111328383315,0.5140190805201595,-0.019729840001704968,-0.2048001439710152,-0.2035864271052863,-0.04168910521863811,-0.04168910521863811,-0.033329883079941225,0.007852399532882859
D1REV_NAS,time,time_10d,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,volcond,volcond_2.0x,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,volcond,volcond_2.5x,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,eqprot,eqprot_5pct_21d_5d,False,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.7176055076254458,0.0,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_UK,baseline,baseline,True,True,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,fixed,fixed3pct_cd1,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,fixed,fixed3pct_cd2,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,fixed,fixed3pct_cd5,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,atr,atr_1.5x,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,atr,atr_2.0x,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,atr,atr_2.5x,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,trail,trail_arm20_frac50,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,trail,trail_arm15_frac50,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,trail,trail_arm20_frac30,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,tpsl,tpsl_2.0x_1.0x,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,tpsl,tpsl_3.0x_1.5x,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,time,time_5d,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,time,time_3d,False,False,964,0.6683388743822537,0.835195976446564,0.2600717909258226,0.7863103019676313,0.2066603381160984,-0.07064035445899419,-0.10880355886723048,-0.03607826345590348,-0.03607826345590348,-0.0242689999474468,-3.489140374235422e-05
D1REV_UK,time,time_10d,False,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.8951138608348618,0.0,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
