strategy,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,yr2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,is_n,oos_n,n_trades,exposure,survived,vol_scale
MOM12,NAS100_USD,index,0.49255125884281115,0.1922659907124376,0.38706858368162195,-0.02713030625623331,0.10900371502680965,0.038535266436466625,0.08276321164782305,-0.2753487409958475,209,124,17,0.960960960960961,True,0.22593324398240341
DONCH,NAS100_USD,index,0.886841589516238,0.7855719144942672,0.8503912195714146,-1.5395716753244877,0.14252288522706613,0.11541645071118255,0.13242919789983018,-0.25888655603117594,209,124,7,0.7117117117117117,True,0.311122521868446
ZREV,NAS100_USD,index,0.14754323478908277,0.611403323390677,0.3881752753329481,0.8862756045773111,0.004206256761536447,0.05217558958043045,0.022068711024427902,-0.08257620014880274,209,124,14,0.04804804804804805,False,0.0
RSI_MA,NAS100_USD,index,0.2630028138300857,0.3133533143895208,0.28253081058392127,-0.8818819671764752,0.025893923183112465,0.03367230437734156,0.028790377441624188,-0.17600394230143823,209,124,43,0.3333333333333333,False,0.0
XSMOM,NAS100_USD,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
EXHAUST,NAS100_USD,index,0.11754316568889903,-0.6545118774325636,-0.15492650647484688,0.0,0.002532096843259712,-0.012983736515937375,-0.0032455708340389036,-0.03085128655973901,209,124,2,0.012012012012012012,False,0.0
CALENDAR,NAS100_USD,index,0.4109249956062168,1.0683118884514493,0.6497996786264574,-0.6084865943747406,0.054716316276739625,0.13744718389826294,0.08552300572139095,-0.24312858676058258,209,124,77,0.3183183183183183,True,0.37550498970716034
MOM12,US30_USD,index,-0.7403913139397245,0.04772931767564719,-0.4822564174590588,-1.3332881640644652,-0.1267801117999596,0.006585660327584062,-0.07711838283955295,-0.4722238359968832,209,124,24,0.960960960960961,False,0.0
DONCH,US30_USD,index,0.1350123422031221,1.0334246470608912,0.4528959265374391,-1.5915450832711693,0.014634365104402195,0.10389659811238963,0.04787315457284195,-0.19422058390944386,209,124,8,0.6636636636636637,False,0.0
ZREV,US30_USD,index,0.41743553743098993,0.5589567908627548,0.47186883868305735,0.72619780627699,0.016256400487291333,0.023086228957065847,0.018799639917477642,-0.048985346977069355,209,124,12,0.042042042042042045,True,1.283911336206702
RSI_MA,US30_USD,index,0.08063873060993632,0.4234546528677988,0.2054851884669678,-0.7271520368396728,0.006329791465470968,0.03212099053734063,0.015933721450191205,-0.14138590057214673,209,124,42,0.3933933933933934,False,0.0
XSMOM,US30_USD,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
EXHAUST,US30_USD,index,-0.6082583346075179,0.0,-0.4812452922502879,-1.232704133708418,-0.013746721302889106,0.0,-0.00862782207899046,-0.054577582801550784,209,124,1,0.006006006006006006,False,0.0
CALENDAR,US30_USD,index,0.5059516885860337,0.08987299585186367,0.3712765078952393,-0.19235174592472962,0.06059043351746487,0.008439094798317443,0.04117071579622078,-0.1425918518925242,209,124,77,0.3183183183183183,True,0.4175177987794029
