sleeve,family,variant,best_pick,n_nonzero_days,sharpe_full,sharpe_is,sharpe_oos,is_sharpe_lift,oos_sharpe_lift,maxdd_full,maxdd_is,maxdd_oos,maxdd_oos_improve
EVE_XAU,baseline,baseline,True,1764,1.2490541245950524,0.7705636724226521,1.7858994015431358,0.0,0.0,-0.09712586870215034,-0.09712586870215034,-0.08491537243193359,0.0
EVE_XAU,fixed,fixed_2pct_cd1,False,1761,1.2249663813774891,0.7705636724226521,1.7399199146514253,0.0,-0.0459794868917105,-0.09712586870215034,-0.09712586870215034,-0.08658013874115567,0.0016647663092220766
EVE_XAU,fixed,fixed_3pct_cd2,False,1764,1.2490541245950524,0.7705636724226521,1.7858994015431358,0.0,0.0,-0.09712586870215034,-0.09712586870215034,-0.08491537243193359,0.0
EVE_XAU,fixed,fixed_5pct_cd3,False,1764,1.2490541245950524,0.7705636724226521,1.7858994015431358,0.0,0.0,-0.09712586870215034,-0.09712586870215034,-0.08491537243193359,0.0
EVE_XAU,atr,atr_1.5x,False,1577,1.0603788110359205,0.5789962027597795,1.5701202741207454,-0.19156746966287264,-0.21577912742239036,-0.08334706283816529,-0.06241502399861376,-0.08334706283816518,-0.0015683095937684133
EVE_XAU,atr,atr_2.0x,False,1617,1.149022538831362,0.6401634634016441,1.6903394638949807,-0.13040020902100802,-0.09555993764815507,-0.09003227632239708,-0.061518271562786664,-0.09003227632239696,0.005116903890463376
EVE_XAU,time,time_3bar,False,1383,1.2098511937482626,0.9850984513100906,1.545899579136517,0.21453477888743844,-0.23999982240661866,-0.08138811590911632,-0.07594845069099809,-0.08138811590911654,-0.003527256522817046
EVE_XAU,trail,trail_arm2pct_frac50,False,1762,1.2420616121111616,0.771485594259415,1.7718268896978475,0.0009219218367628734,-0.014072511845288238,-0.09712586870215001,-0.09712586870215001,-0.08877365794338143,0.0038582855114478454
EVE_XAU,eqprot,eqprot_5pct_21d,False,1760,1.243121902496555,0.7705636724226521,1.7745831982389053,0.0,-0.011316203304230443,-0.09712586870215034,-0.09712586870215034,-0.08377463172830146,-0.001140740703632126
D1REV_UK,baseline,baseline,True,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,fixed,fixed_2pct_cd1,False,1127,0.4920661100033282,0.5671554891044015,0.3307121453848168,-0.06138014922606405,0.0,-0.03912080519220795,-0.03912080519220795,-0.024303891351189155,0.0
D1REV_UK,fixed,fixed_3pct_cd2,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,fixed,fixed_5pct_cd3,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,atr,atr_1.5x,False,1008,0.32494535784689993,0.30048784868900125,0.43577495229242097,-0.3280477896414643,0.10506280690760417,-0.044229405648302245,-0.039143396882992954,-0.024471283849591963,0.00016739249840280745
D1REV_UK,atr,atr_2.0x,False,1026,0.35867172469668174,0.35321277077314256,0.4182977025520869,-0.275322867557323,0.08758555716727012,-0.041736567485818665,-0.041736567485818665,-0.024471283849591963,0.00016739249840280745
D1REV_UK,time,time_3bar,False,964,0.6683388743822537,0.835195976446564,0.2600717909258226,0.2066603381160984,-0.07064035445899419,-0.03607826345590348,-0.03607826345590348,-0.0242689999474468,-3.489140374235422e-05
D1REV_UK,trail,trail_arm2pct_frac50,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
D1REV_UK,eqprot,eqprot_5pct_21d,False,1128,0.5366388651472835,0.6285356383304656,0.3307121453848168,0.0,0.0,-0.03819044277051453,-0.029638093224896522,-0.024303891351189155,0.0
XSMOM,baseline,baseline,True,2099,0.7160644970532437,0.6135951306815441,1.0325112967711256,0.0,0.0,-0.031653398748727746,-0.031653398748727746,-0.029223816079548492,0.0
XSMOM,fixed,fixed_2pct_cd1,False,2098,0.6980658825480501,0.5877649467954894,1.0325112967711256,-0.025830183886054736,0.0,-0.031653398748728634,-0.031653398748728634,-0.029223816079548492,0.0
XSMOM,fixed,fixed_3pct_cd2,False,2099,0.7160644970532437,0.6135951306815441,1.0325112967711256,0.0,0.0,-0.031653398748727746,-0.031653398748727746,-0.029223816079548492,0.0
XSMOM,fixed,fixed_5pct_cd3,False,2099,0.7160644970532437,0.6135951306815441,1.0325112967711256,0.0,0.0,-0.031653398748727746,-0.031653398748727746,-0.029223816079548492,0.0
XSMOM,atr,atr_1.5x,False,2085,0.7148596250842844,0.6112702362158894,1.0325112967711256,-0.0023248944656547588,0.0,-0.03165339874872719,-0.03165339874872719,-0.029223816079548492,0.0
XSMOM,atr,atr_2.0x,False,2087,0.7022636010166218,0.5936039424284537,1.0325112967711256,-0.01999118825309043,0.0,-0.0316533987487283,-0.0316533987487283,-0.029223816079548492,0.0
XSMOM,time,time_3bar,False,1581,0.7456998537713956,0.7036666075930441,0.9211424733894115,0.09007147691149997,-0.11136882338171417,-0.026503242782864866,-0.025242391397715114,-0.026503242782864533,-0.002720573296683959
XSMOM,trail,trail_arm2pct_frac50,False,2099,0.7160644970532437,0.6135951306815441,1.0325112967711256,0.0,0.0,-0.031653398748727746,-0.031653398748727746,-0.029223816079548492,0.0
XSMOM,eqprot,eqprot_5pct_21d,False,2099,0.7160644970532437,0.6135951306815441,1.0325112967711256,0.0,0.0,-0.031653398748727746,-0.031653398748727746,-0.029223816079548492,0.0
D1REV_NAS,baseline,baseline,True,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,fixed,fixed_2pct_cd1,False,1428,0.5819307112229216,0.5899506260475685,0.5932612572548484,-0.01993927594907552,0.0,-0.03402528676994432,-0.03402528676994432,-0.025477483547058366,0.0
D1REV_NAS,fixed,fixed_3pct_cd2,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,fixed,fixed_5pct_cd3,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,atr,atr_1.5x,False,1273,0.33615554237005946,0.2436331236374315,0.5687587533626592,-0.36625677835921255,-0.02450250389218911,-0.0412242211607331,-0.0412242211607331,-0.02449402593168626,-0.0009834576153721075
D1REV_NAS,atr,atr_2.0x,False,1301,0.3922338502729036,0.26053187292817226,0.7159547823970128,-0.3493580290684718,0.12269352514216447,-0.04024653172005954,-0.04024653172005954,-0.024033647026265426,-0.0014438365207929404
D1REV_NAS,time,time_3bar,False,1175,0.5237170116348323,0.5901600619949391,0.38846111328383315,-0.019729840001704968,-0.2048001439710152,-0.04168910521863811,-0.04168910521863811,-0.033329883079941225,0.007852399532882859
D1REV_NAS,trail,trail_arm2pct_frac50,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
D1REV_NAS,eqprot,eqprot_5pct_21d,False,1429,0.5958457709450105,0.6098899019966441,0.5932612572548484,0.0,0.0,-0.034025286769945096,-0.034025286769945096,-0.025477483547058366,0.0
WED_BTC,baseline,baseline,True,668,0.6833133989380877,0.6048880798135856,0.8782737850781687,0.0,0.0,-0.061472687487337585,-0.061472687487337585,-0.04101602669228144,0.0
WED_BTC,fixed,fixed_2pct_cd1,False,665,0.6840896382994816,0.6060210455857845,0.8782737850781687,0.0011329657721989017,0.0,-0.06138748821767015,-0.06138748821767015,-0.04101602669228144,0.0
WED_BTC,fixed,fixed_3pct_cd2,False,668,0.6833133989380877,0.6048880798135856,0.8782737850781687,0.0,0.0,-0.061472687487337585,-0.061472687487337585,-0.04101602669228144,0.0
WED_BTC,fixed,fixed_5pct_cd3,False,668,0.6833133989380877,0.6048880798135856,0.8782737850781687,0.0,0.0,-0.061472687487337585,-0.061472687487337585,-0.04101602669228144,0.0
WED_BTC,atr,atr_1.5x,False,527,0.7198035897881235,0.6373712724973885,0.9248107160420392,0.03248319268380284,0.04653693096387057,-0.05838520489372734,-0.05838520489372734,-0.03909896096301935,-0.0019170657292620907
WED_BTC,atr,atr_2.0x,False,534,0.7179916811575973,0.6358602010980972,0.922271572863255,0.030972121284511545,0.04399778778508634,-0.05838520489372734,-0.05838520489372734,-0.039360604510249586,-0.0016554221820318515
WED_BTC,time,time_3bar,False,668,0.6833133989380877,0.6048880798135856,0.8782737850781687,0.0,0.0,-0.061472687487337585,-0.061472687487337585,-0.04101602669228144,0.0
WED_BTC,trail,trail_arm2pct_frac50,False,668,0.6833133989380877,0.6048880798135856,0.8782737850781687,0.0,0.0,-0.061472687487337585,-0.061472687487337585,-0.04101602669228144,0.0
WED_BTC,eqprot,eqprot_5pct_21d,False,668,0.6833133989380877,0.6048880798135856,0.8782737850781687,0.0,0.0,-0.061472687487337585,-0.061472687487337585,-0.04101602669228144,0.0
DEFEND,baseline,baseline,False,364,0.291463665254119,0.21789721732783426,0.49081267991227673,0.0,0.0,-0.06450161995793335,-0.06450161995793335,-0.03901613183720276,0.0
DEFEND,fixed,fixed_2pct_cd1,False,361,0.3031505594224179,0.19279638957841644,0.6008383939095149,-0.025100827749417826,0.11002571399723815,-0.06788696795890548,-0.06788696795890548,-0.031144119254528202,-0.007872012582674559
DEFEND,fixed,fixed_3pct_cd2,False,364,0.291463665254119,0.21789721732783426,0.49081267991227673,0.0,0.0,-0.06450161995793335,-0.06450161995793335,-0.03901613183720276,0.0
DEFEND,fixed,fixed_5pct_cd3,False,364,0.291463665254119,0.21789721732783426,0.49081267991227673,0.0,0.0,-0.06450161995793335,-0.06450161995793335,-0.03901613183720276,0.0
DEFEND,atr,atr_1.5x,False,326,0.4948534610621427,0.5382191481146227,0.41328637976986765,0.3203219307867884,-0.07752630014240908,-0.04098068088980755,-0.04098068088980755,-0.02449196826083755,-0.014524163576365212
DEFEND,atr,atr_2.0x,False,331,0.29350842512627734,0.38298205189775825,0.076681494525598,0.16508483456992398,-0.4141311853866787,-0.05473728337524486,-0.05473728337524486,-0.034892846310787706,-0.004123285526415055
DEFEND,time,time_3bar,True,299,0.35820654000640983,0.22593333346850528,0.724279748685671,0.008036116140671012,0.2334670687733943,-0.05281767273505622,-0.05281767273505622,-0.01899817620803057,-0.02001795562917219
DEFEND,trail,trail_arm2pct_frac50,False,364,0.291463665254119,0.21789721732783426,0.49081267991227673,0.0,0.0,-0.06450161995793335,-0.06450161995793335,-0.03901613183720276,0.0
DEFEND,eqprot,eqprot_5pct_21d,False,353,0.2336218721629384,0.1287051174587024,0.49081267991227673,-0.08919209986913187,0.0,-0.06707647275117845,-0.06707647275117845,-0.03901613183720276,0.0
VOLFORECAST,baseline,baseline,True,2275,1.7042020587674291,1.7879492911198356,1.6212133806462266,0.0,0.0,-0.05022142285336839,-0.049537092679041494,-0.05022142285336828,0.0
VOLFORECAST,fixed,fixed_2pct_cd1,False,2275,1.7042020587674291,1.7879492911198356,1.6212133806462266,0.0,0.0,-0.05022142285336839,-0.049537092679041494,-0.05022142285336828,0.0
VOLFORECAST,fixed,fixed_3pct_cd2,False,2275,1.7042020587674291,1.7879492911198356,1.6212133806462266,0.0,0.0,-0.05022142285336839,-0.049537092679041494,-0.05022142285336828,0.0
VOLFORECAST,fixed,fixed_5pct_cd3,False,2275,1.7042020587674291,1.7879492911198356,1.6212133806462266,0.0,0.0,-0.05022142285336839,-0.049537092679041494,-0.05022142285336828,0.0
VOLFORECAST,atr,atr_1.5x,False,2273,1.7385209539417423,1.8505456337908353,1.6212133806462266,0.06259634267099967,0.0,-0.05022142285336839,-0.049537092679041494,-0.05022142285336828,0.0
VOLFORECAST,atr,atr_2.0x,False,2273,1.7281049360467058,1.8320597900588875,1.6212133806462266,0.044110498939051945,0.0,-0.05022142285336828,-0.04953709267904127,-0.05022142285336828,0.0
VOLFORECAST,time,time_3bar,False,1707,1.2741517304451033,1.309378280341573,1.2472191941942647,-0.4785710107782626,-0.3739941864519618,-0.057451002247750904,-0.02998516451637856,-0.05745100224775079,0.007229579394382513
VOLFORECAST,trail,trail_arm2pct_frac50,False,2275,1.7042020587674291,1.7879492911198356,1.6212133806462266,0.0,0.0,-0.05022142285336839,-0.049537092679041494,-0.05022142285336828,0.0
VOLFORECAST,eqprot,eqprot_5pct_21d,False,2270,1.6784905981896998,1.7879492911198356,1.5600514158311907,0.0,-0.061161964815035885,-0.05022142285336839,-0.049537092679041494,-0.05022142285336828,0.0
H4_SLEEVE,baseline,baseline,True,2335,2.023598139491244,2.7933487256352416,0.45771411237835313,0.0,0.0,-0.10301189432429492,-0.04220662348809967,-0.06388727163549723,0.0
H4_SLEEVE,fixed,fixed_2pct_cd1,False,2335,2.023598139491244,2.7933487256352416,0.45771411237835313,0.0,0.0,-0.10301189432429492,-0.04220662348809967,-0.06388727163549723,0.0
H4_SLEEVE,fixed,fixed_3pct_cd2,False,2335,2.023598139491244,2.7933487256352416,0.45771411237835313,0.0,0.0,-0.10301189432429492,-0.04220662348809967,-0.06388727163549723,0.0
H4_SLEEVE,fixed,fixed_5pct_cd3,False,2335,2.023598139491244,2.7933487256352416,0.45771411237835313,0.0,0.0,-0.10301189432429492,-0.04220662348809967,-0.06388727163549723,0.0
H4_SLEEVE,atr,atr_1.5x,False,2335,2.023598139491244,2.7933487256352416,0.45771411237835313,0.0,0.0,-0.10301189432429492,-0.04220662348809967,-0.06388727163549723,0.0
H4_SLEEVE,atr,atr_2.0x,False,2335,2.023598139491244,2.7933487256352416,0.45771411237835313,0.0,0.0,-0.10301189432429492,-0.04220662348809967,-0.06388727163549723,0.0
H4_SLEEVE,time,time_3bar,False,1752,1.7647659143960346,2.426871048764541,0.4074584606861881,-0.36647767687070054,-0.05025565169216506,-0.0728455667937209,-0.04032440988187014,-0.038519403450647194,-0.02536786818485004
H4_SLEEVE,trail,trail_arm2pct_frac50,False,2335,2.023598139491244,2.7933487256352416,0.45771411237835313,0.0,0.0,-0.10301189432429492,-0.04220662348809967,-0.06388727163549723,0.0
H4_SLEEVE,eqprot,eqprot_5pct_21d,False,2335,2.023598139491244,2.7933487256352416,0.45771411237835313,0.0,0.0,-0.10301189432429492,-0.04220662348809967,-0.06388727163549723,0.0
CRYPTO_vs_SPX,baseline,baseline,False,199,0.3470792072948872,0.43781278238970955,0.13875751666779812,0.0,0.0,-0.048256727262238064,-0.03250597923095766,-0.048256727262238064,0.0
CRYPTO_vs_SPX,fixed,fixed_2pct_cd1,False,199,0.3470792072948872,0.43781278238970955,0.13875751666779812,0.0,0.0,-0.048256727262238064,-0.03250597923095766,-0.048256727262238064,0.0
CRYPTO_vs_SPX,fixed,fixed_3pct_cd2,False,199,0.3470792072948872,0.43781278238970955,0.13875751666779812,0.0,0.0,-0.048256727262238064,-0.03250597923095766,-0.048256727262238064,0.0
CRYPTO_vs_SPX,fixed,fixed_5pct_cd3,False,199,0.3470792072948872,0.43781278238970955,0.13875751666779812,0.0,0.0,-0.048256727262238064,-0.03250597923095766,-0.048256727262238064,0.0
CRYPTO_vs_SPX,atr,atr_1.5x,True,176,0.2928445542588997,0.31008164228141005,0.26757915631285767,-0.1277311401082995,0.12882163964505955,-0.053102410195590366,-0.053102410195590366,-0.04700292886607038,-0.0012537983961676824
CRYPTO_vs_SPX,atr,atr_2.0x,False,178,0.2087967265335356,0.28951383071041387,0.015481724941696579,-0.1482989516792957,-0.12327579172610154,-0.06601441639664896,-0.045199035962052436,-0.06601441639664907,0.017757689134411003
CRYPTO_vs_SPX,time,time_3bar,False,165,0.28625726495267834,0.46648279344695537,-0.14403130271838363,0.028670011057245814,-0.2827888193861817,-0.05735706310002908,-0.039329829750924805,-0.0573570631000303,0.00910033583779224
CRYPTO_vs_SPX,trail,trail_arm2pct_frac50,False,199,0.3470792072948872,0.43781278238970955,0.13875751666779812,0.0,0.0,-0.048256727262238064,-0.03250597923095766,-0.048256727262238064,0.0
CRYPTO_vs_SPX,eqprot,eqprot_5pct_21d,False,199,0.3470792072948872,0.43781278238970955,0.13875751666779812,0.0,0.0,-0.048256727262238064,-0.03250597923095766,-0.048256727262238064,0.0
CORR_REGIME,baseline,baseline,True,2275,1.2521919243576929,1.3852399312815726,1.031638996865984,0.0,0.0,-0.04635656667195265,-0.04635656667195265,-0.04556161852424501,0.0
CORR_REGIME,fixed,fixed_2pct_cd1,False,2274,1.2596697494838336,1.397307765399707,1.031638996865984,0.01206783411813439,0.0,-0.0463565666719532,-0.0463565666719532,-0.04556161852424501,0.0
CORR_REGIME,fixed,fixed_3pct_cd2,False,2275,1.2521919243576929,1.3852399312815726,1.031638996865984,0.0,0.0,-0.04635656667195265,-0.04635656667195265,-0.04556161852424501,0.0
CORR_REGIME,fixed,fixed_5pct_cd3,False,2275,1.2521919243576929,1.3852399312815726,1.031638996865984,0.0,0.0,-0.04635656667195265,-0.04635656667195265,-0.04556161852424501,0.0
CORR_REGIME,atr,atr_1.5x,False,2266,1.2329076947183064,1.354361423493596,1.031638996865984,-0.03087850778797674,0.0,-0.04635656667195298,-0.04635656667195298,-0.04556161852424501,0.0
CORR_REGIME,atr,atr_2.0x,False,2266,1.23072405208795,1.3508553310122486,1.031638996865984,-0.034384600269323995,0.0,-0.04635656667195254,-0.04635656667195254,-0.04556161852424501,0.0
CORR_REGIME,time,time_3bar,False,1707,1.170138805595692,1.3956455995523187,0.7861114493652039,0.010405668270746071,-0.2455275475007801,-0.04074973833256346,-0.04074973833256346,-0.04068089996057367,-0.004880718563671338
CORR_REGIME,trail,trail_arm2pct_frac50,False,2274,1.2462339390935748,1.3757054174394652,1.031638996865984,-0.009534513842107462,0.0,-0.04635656667195309,-0.04635656667195309,-0.04556161852424501,0.0
CORR_REGIME,eqprot,eqprot_5pct_21d,False,2275,1.2521919243576929,1.3852399312815726,1.031638996865984,0.0,0.0,-0.04635656667195265,-0.04635656667195265,-0.04556161852424501,0.0
SESSION_MOM,baseline,baseline,True,114,0.7584380131594309,0.7647158523369778,0.8150065619129605,0.0,0.0,-0.049806168678665275,-0.03860942453080607,-0.04652139561938862,0.0
SESSION_MOM,fixed,fixed_2pct_cd1,False,114,0.7584380131594309,0.7647158523369778,0.8150065619129605,0.0,0.0,-0.049806168678665275,-0.03860942453080607,-0.04652139561938862,0.0
SESSION_MOM,fixed,fixed_3pct_cd2,False,114,0.7584380131594309,0.7647158523369778,0.8150065619129605,0.0,0.0,-0.049806168678665275,-0.03860942453080607,-0.04652139561938862,0.0
SESSION_MOM,fixed,fixed_5pct_cd3,False,114,0.7584380131594309,0.7647158523369778,0.8150065619129605,0.0,0.0,-0.049806168678665275,-0.03860942453080607,-0.04652139561938862,0.0
SESSION_MOM,atr,atr_1.5x,False,111,0.7428178105162376,0.720412967737853,0.8262716169565109,-0.04430288459912479,0.011265055043550354,-0.04980616867866561,-0.03860942453080618,-0.04652139561938862,0.0
SESSION_MOM,atr,atr_2.0x,False,111,0.7428178105162376,0.720412967737853,0.8262716169565109,-0.04430288459912479,0.011265055043550354,-0.04980616867866561,-0.03860942453080618,-0.04652139561938862,0.0
SESSION_MOM,time,time_3bar,False,113,0.76676723030187,0.78291114494339,0.8150065619129605,0.018195292606412172,0.0,-0.049806168678665164,-0.03860942453080585,-0.04652139561938862,0.0
SESSION_MOM,trail,trail_arm2pct_frac50,False,114,0.7584380131594309,0.7647158523369778,0.8150065619129605,0.0,0.0,-0.049806168678665275,-0.03860942453080607,-0.04652139561938862,0.0
SESSION_MOM,eqprot,eqprot_5pct_21d,False,114,0.7584380131594309,0.7647158523369778,0.8150065619129605,0.0,0.0,-0.049806168678665275,-0.03860942453080607,-0.04652139561938862,0.0
W1_STRATS,baseline,baseline,True,654,1.8125564725771073,2.1263813790376247,1.2329437711749442,0.0,0.0,-0.04423117365945983,-0.02824766564083303,-0.04423117365945939,0.0
W1_STRATS,fixed,fixed_2pct_cd1,False,654,1.8125564725771073,2.1263813790376247,1.2329437711749442,0.0,0.0,-0.04423117365945983,-0.02824766564083303,-0.04423117365945939,0.0
W1_STRATS,fixed,fixed_3pct_cd2,False,654,1.8125564725771073,2.1263813790376247,1.2329437711749442,0.0,0.0,-0.04423117365945983,-0.02824766564083303,-0.04423117365945939,0.0
W1_STRATS,fixed,fixed_5pct_cd3,False,654,1.8125564725771073,2.1263813790376247,1.2329437711749442,0.0,0.0,-0.04423117365945983,-0.02824766564083303,-0.04423117365945939,0.0
W1_STRATS,atr,atr_1.5x,False,654,1.8125564725771073,2.1263813790376247,1.2329437711749442,0.0,0.0,-0.04423117365945983,-0.02824766564083303,-0.04423117365945939,0.0
W1_STRATS,atr,atr_2.0x,False,654,1.8125564725771073,2.1263813790376247,1.2329437711749442,0.0,0.0,-0.04423117365945983,-0.02824766564083303,-0.04423117365945939,0.0
W1_STRATS,time,time_3bar,False,654,1.8125564725771073,2.1263813790376247,1.2329437711749442,0.0,0.0,-0.04423117365945983,-0.02824766564083303,-0.04423117365945939,0.0
W1_STRATS,trail,trail_arm2pct_frac50,False,654,1.8125564725771073,2.1263813790376247,1.2329437711749442,0.0,0.0,-0.04423117365945983,-0.02824766564083303,-0.04423117365945939,0.0
W1_STRATS,eqprot,eqprot_5pct_21d,False,654,1.8125564725771073,2.1263813790376247,1.2329437711749442,0.0,0.0,-0.04423117365945983,-0.02824766564083303,-0.04423117365945939,0.0
