variant,FULL_sharpe,IS_sharpe,OOS_sharpe,y2022_sharpe,FULL_ret,OOS_ret,OOS_dd
BASE,4.072269287783824,4.32326990520431,3.655660689730131,3.7053914724284005,0.2762205463904429,0.2475041086127337,-0.03587134937641012
HALVE,3.9209455031808553,4.119366035332335,3.57312238388007,4.055886003673952,0.21364458331001,0.18296729798578168,-0.02476288472725896
DOUBLE,3.8286788746627285,4.122597910589106,3.4145282759496367,4.0043594164912175,0.32280947826188583,0.30998320862607515,-0.04078645188997476
BOTH,3.7369986474777956,3.969284159802422,3.3708312511574525,4.059462865016473,0.24935829479094268,0.23120629733134024,-0.03132092224876193
SCALED,3.75571925244787,4.148974400848046,3.189254798081885,4.012488265412123,0.27504954841880674,0.250455992910345,-0.03470194122696946
