variant,FULL_sharpe,FULL_ret,FULL_vol,FULL_maxdd,IS_sharpe,IS_ret,IS_vol,IS_maxdd,OOS_sharpe,OOS_ret,OOS_vol,OOS_maxdd,Y2022_sharpe,OOS_avg_maxweight,OOS_avg_HHI
EW_TOP22,3.8716102515506052,0.3867807699891115,0.09990178371756384,-0.04892485930076185,4.000754533046567,0.3683070475906378,0.09205939643344545,-0.04892485930076185,3.7390956168403715,0.41808330485382605,0.1118140180665176,-0.04797427377244867,4.303309375608997,0.04545454545454545,0.04545454545454545
Sharpe_tilt_a05,3.7303120058706427,0.375701434055418,0.10071582040970069,-0.07251289430664076,4.059284049878233,0.38970463638211644,0.09600329309150132,-0.07251289430664076,3.2608617692126174,0.3527392212831933,0.10817361981227659,-0.061249191464547326,5.6939639550898,0.09320959156072452,0.0662765345129393
Sharpe_tilt_a10,3.686105324680409,0.3744483198952372,0.10158372778664496,-0.07044257096652817,4.102695404583055,0.3939817134769216,0.09602996923359482,-0.07044257096652817,3.1036725998358805,0.3422465964291457,0.11027148818700896,-0.06491643920059509,5.983662246208044,0.13186565440891412,0.08073898266273828
Sharpe_tilt_a20,3.420443486880652,0.35360125934949205,0.1033787755025786,-0.07046236214118118,3.920723368952738,0.3766970104427252,0.09607844649936231,-0.07046236214118118,2.753218653297798,0.31542483447904485,0.11456584971964716,-0.06887291239235271,5.968415316672655,0.2053932020190741,0.11766035408137984
Half_Kelly,3.364326056896444,0.38442520638148275,0.11426514549428393,-0.06549869094969507,3.7979131808369853,0.4313685288015988,0.11358040804569779,-0.056626594848533274,2.6567038905793576,0.3064471451377895,0.11534862662882665,-0.0654986909496954,4.492194903886966,0.194236530324892,0.09698649304370048
bayes_sh_a05,3.7779287145982536,0.37935178810350045,0.1004126379191993,-0.07018132253745812,4.095059353504605,0.3913844894326088,0.09557480262103084,-0.07018132253745812,3.328656047359796,0.3596854355263897,0.10805725506295037,-0.060301682211076235,5.689265926144388,0.08808285986871724,0.06235482972737305
bayes_sh_a10,3.730206164520563,0.3788499272342823,0.1015627315288015,-0.06855242530175298,4.143422792745316,0.3977935676438,0.09600602872105965,-0.06855242530175298,3.1530143615846336,0.3476384111351271,0.11025589206654039,-0.06433117680559752,5.985791165913061,0.12511900990111635,0.07650063082337387
bayes_sh_a20,3.4495104981846567,0.35671254175521483,0.10340961186897062,-0.08027315594069939,3.9381811452521585,0.3786484442143728,0.09614805166361343,-0.08027315594069939,2.7978174249215284,0.32047718128769154,0.11454542331213056,-0.06849288426501354,5.989645163540741,0.19627502042868517,0.11142225408106902
bayes_vol_a10,3.7447753065347418,0.37976592910402235,0.10141220714666639,-0.06904334730531292,4.16052729673918,0.39879513717272297,0.09585206603145695,-0.06904334730531292,3.16424461363472,0.3484125219516208,0.11010922494750007,-0.0643918789343565,6.014442148145993,0.12256351771555889,0.0751238897523417
bayes_tauLOW_a10,3.7415748667814426,0.3792387591534183,0.10135805714336675,-0.0691261122119925,4.153818072560556,0.39841199124409715,0.09591464630479167,-0.0691261122119925,3.1637247179930346,0.34764415950440486,0.10988445281830309,-0.0642349640000931,5.992826534630393,0.12215643565141354,0.07457260025738972
bayes_tauMED_a10,3.856977932971395,0.3906811635152503,0.1012920401165665,-0.06002745415598376,4.212929489845154,0.4057827629054282,0.09631843207524053,-0.059125214557154915,3.3526787317468822,0.3659012390917437,0.10913698220679029,-0.060027454155983095,5.883884440856884,0.09715718583745227,0.06077445015185091
bayes_tauHIGH_a10,3.95652266282672,0.39292277920098223,0.09931012979975207,-0.052493904324399265,4.20083345019398,0.39714549466282206,0.09453969060460687,-0.05114944418427092,3.6152940658973844,0.38631838355443165,0.10685669727354256,-0.052493904324399154,5.305204215337688,0.06725866302959298,0.048587650584966884
