name,symbol,tf,period,first,last,n_bars,exposure,n_trades,ann_return,ann_vol,sharpe,max_dd,hit_rate,profit_factor
xau_23h_long,XAU_USD,H1,FULL,2020-01-01 23:00:00+00:00,2026-05-22 20:00:00+00:00,37784,0.04358987931399534,1647,0.019455241982252004,0.037997146851431525,0.5120184959760745,-0.10983657422836202,0.5009107468123861,1.131590240572967
xau_23h_long,XAU_USD,H1,IS,2020-01-01 23:00:00+00:00,2023-12-29 21:00:00+00:00,23637,0.04357574988365698,1030,0.008669052402099902,0.028337888093983594,0.3059173772353355,-0.09509257273761018,0.4941747572815534,1.0697616851501082
xau_23h_long,XAU_USD,H1,OOS,2024-01-01 23:00:00+00:00,2026-05-22 20:00:00+00:00,14147,0.043613486958365734,617,0.03740902549508414,0.050201713496239427,0.7451742757323696,-0.06011081524706263,0.5105348460291734,1.1991512473584665
hod_23_long,XAU_USD,H1,FULL,2020-01-01 23:00:00+00:00,2026-05-22 20:00:00+00:00,37784,0.04358987931399534,1647,0.019455241982252004,0.037997146851431525,0.5120184959760745,-0.10983657422836202,0.5009107468123861,1.131590240572967
hod_23_long,XAU_USD,H1,IS,2020-01-01 23:00:00+00:00,2023-12-29 21:00:00+00:00,23637,0.04357574988365698,1030,0.008669052402099902,0.028337888093983594,0.3059173772353355,-0.09509257273761018,0.4941747572815534,1.0697616851501082
hod_23_long,XAU_USD,H1,OOS,2024-01-01 23:00:00+00:00,2026-05-22 20:00:00+00:00,14147,0.043613486958365734,617,0.03740902549508414,0.050201713496239427,0.7451742757323696,-0.06011081524706263,0.5105348460291734,1.1991512473584665
hod_23_long,EUR_USD,H1,FULL,2020-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,39781,0.04165305045122043,1657,-0.04872533751650275,0.009936707550607805,-4.903569645010065,-0.2678456569986182,0.3856366928183464,0.4364318815782932
hod_23_long,EUR_USD,H1,IS,2020-01-01 22:00:00+00:00,2023-12-29 21:00:00+00:00,24903,0.041641569288840705,1037,-0.04559891186717001,0.009134624670934842,-4.9918758033112915,-0.16713920646624458,0.40115718418514945,0.4551499046953132
hod_23_long,EUR_USD,H1,OOS,2024-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,14878,0.04167226777792714,620,-0.05412310629861622,0.011164831022791737,-4.84764222477976,-0.1213344003868112,0.3596774193548387,0.4077692681597189
hod_23_long,GBP_USD,H1,FULL,2020-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,39780,0.041654097536450475,1657,-0.04702163779132894,0.011290272743462169,-4.1647920169650146,-0.2695914631124182,0.3946891973445987,0.4907769418357835
hod_23_long,GBP_USD,H1,IS,2020-01-01 22:00:00+00:00,2023-12-29 21:00:00+00:00,24902,0.041643241506706286,1037,-0.04329221908563222,0.012438684533383797,-3.480449959916709,-0.17020524444339746,0.39537126325940214,0.5453330633280545
hod_23_long,GBP_USD,H1,OOS,2024-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,14878,0.04167226777792714,620,-0.05342174624443992,0.00907402698288334,-5.887325037187046,-0.11987188239068669,0.3935483870967742,0.3919021769531459
hod_23_long,USD_JPY,H1,FULL,2020-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,39782,0.04165200341863154,1657,-0.05368691972022559,0.016241743194322866,-3.305490000543248,-0.29467382119926255,0.45021122510561257,0.5652857431467473
hod_23_long,USD_JPY,H1,IS,2020-01-01 22:00:00+00:00,2023-12-29 21:00:00+00:00,24904,0.04163989720526823,1037,-0.06443597056630895,0.0155403323671741,-4.146370170461559,-0.23135745763431548,0.42719382835101255,0.474892035363713
hod_23_long,USD_JPY,H1,OOS,2024-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,14878,0.04167226777792714,620,-0.03590039133373381,0.017375519517596694,-2.0661477947393996,-0.08616438776421487,0.48870967741935484,0.713370376291485
eur_london_08_11,EUR_USD,H1,FULL,2020-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,39781,0.08335637615947311,3316,-0.06147692073016158,0.024569713486086484,-2.5021423536328653,-0.3314498102685586,0.48582629674306393,0.7628648354897526
eur_london_08_11,EUR_USD,H1,IS,2020-01-01 22:00:00+00:00,2023-12-29 21:00:00+00:00,24903,0.08336345018672449,2076,-0.05085898504731482,0.02624677396332974,-1.937723284330929,-0.18763556952355442,0.5024084778420038,0.8123233628517926
eur_london_08_11,EUR_USD,H1,OOS,2024-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,14878,0.08334453555585428,1240,-0.07944595459672914,0.02152188435075116,-3.6914032852312166,-0.18188132247874345,0.45806451612903226,0.6696839960577876
london_08_11,EUR_USD,H1,FULL,2020-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,39781,0.08335637615947311,3316,-0.06147692073016158,0.024569713486086484,-2.5021423536328653,-0.3314498102685586,0.48582629674306393,0.7628648354897526
london_08_11,EUR_USD,H1,IS,2020-01-01 22:00:00+00:00,2023-12-29 21:00:00+00:00,24903,0.08336345018672449,2076,-0.05085898504731482,0.02624677396332974,-1.937723284330929,-0.18763556952355442,0.5024084778420038,0.8123233628517926
london_08_11,EUR_USD,H1,OOS,2024-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,14878,0.08334453555585428,1240,-0.07944595459672914,0.02152188435075116,-3.6914032852312166,-0.18188132247874345,0.45806451612903226,0.6696839960577876
london_08_11,GBP_USD,H1,FULL,2020-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,39780,0.0833584715937657,3316,-0.08842513471627682,0.03145362039646325,-2.8112863829888286,-0.4401084584518157,0.4779855247285887,0.7258239918276028
london_08_11,GBP_USD,H1,IS,2020-01-01 22:00:00+00:00,2023-12-29 21:00:00+00:00,24902,0.08336679784756244,2076,-0.08734453102337397,0.035534425048772834,-2.4580257286698486,-0.3028114731748277,0.48265895953757226,0.755271294503659
london_08_11,GBP_USD,H1,OOS,2024-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,14878,0.08334453555585428,1240,-0.09054051456205009,0.02314472482000132,-3.9119287555238658,-0.20066540031622415,0.47016129032258064,0.6597894296779291
london_08_11,USD_JPY,H1,FULL,2020-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,39782,0.08335428083052637,3316,-0.11399904112535267,0.02747743401366109,-4.148824124868254,-0.5184623720661405,0.44028950542822676,0.5994235265878929
london_08_11,USD_JPY,H1,IS,2020-01-01 22:00:00+00:00,2023-12-29 21:00:00+00:00,24904,0.08336010279473177,2076,-0.11765748350465034,0.02872133024027951,-4.096519294905239,-0.37869303763913587,0.4479768786127168,0.5883969041683488
london_08_11,USD_JPY,H1,OOS,2024-01-01 22:00:00+00:00,2026-05-22 20:00:00+00:00,14878,0.08334453555585428,1240,-0.1082793322802865,0.025312914102814037,-4.277632035588074,-0.2283693471458047,0.4274193548387097,0.6180166529276037
london_08_11,XAU_USD,H1,FULL,2020-01-01 23:00:00+00:00,2026-05-22 20:00:00+00:00,37784,0.0872856235443574,3298,-0.1060790889719941,0.04656431683510539,-2.278119731631493,-0.5055343081385191,0.47089144936325045,0.7557915399518176
london_08_11,XAU_USD,H1,IS,2020-01-01 23:00:00+00:00,2023-12-29 21:00:00+00:00,23637,0.08732072598045437,2064,-0.10426043388702402,0.041516905022888975,-2.511276643322605,-0.3513477015881983,0.4641472868217054,0.746777832858684
