name,symbol,tf,period,scale,exposure,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate
MON23_SPX,SPX500_USD,H1,FULL,7.872678848179632,0.008804264234002494,-0.01549289674148951,0.08625709439688703,-0.17961301444033617,-0.3856979186290762,332,0.45481927710843373
MON23_SPX,SPX500_USD,H1,IS,7.872678848179632,0.00877044318278112,0.06843440891127729,0.09875177833294367,0.692994192778476,-0.1195893975011626,207,0.5217391304347826
MON23_SPX,SPX500_USD,H1,OOS,7.872678848179632,0.008860849223789607,-0.16120656135600744,0.05950295827367104,-2.709219273007782,-0.3214943980998657,125,0.336
MON23_NAS,NAS100_USD,H1,FULL,6.891337941651565,0.008804497719316856,0.012103162310385728,0.0894683548064269,0.1352786953171548,-0.31616330801137216,332,0.5
MON23_NAS,NAS100_USD,H1,IS,6.891337941651565,0.00877081479598322,0.09446101353722201,0.09874244171341962,0.9566404465809788,-0.08558784610834658,207,0.5652173913043478
MON23_NAS,NAS100_USD,H1,OOS,6.891337941651565,0.008860849223789607,-0.12944319157222886,0.07128158061820364,-1.8159416563101873,-0.26949586176347384,125,0.384
MON23_US30,US30_USD,H1,FULL,7.8177728055673255,0.008803797300522394,-0.02313581846476595,0.08406935188733212,-0.27519920096174955,-0.4044189219482597,332,0.4307228915662651
MON23_US30,US30_USD,H1,IS,7.8177728055673255,0.00876932853209066,0.06072601438522897,0.098857511002753,0.6142782047540916,-0.13158586512930626,207,0.5217391304347826
MON23_US30,US30_USD,H1,OOS,7.8177728055673255,0.008861477385509712,-0.1690075123883856,0.050028278646706684,-3.3782396068810416,-0.3331965313649692,125,0.272
EVE_EUR,EUR_USD,H1,FULL,9.75319073174991,0.10303913928759961,-0.2312777009597964,0.11534110310312426,-2.005162901494149,-0.7933499550774337,1444,0.46865089046108804
EVE_EUR,EUR_USD,H1,IS,9.75319073174991,0.10303979440228085,-0.23404505150584462,0.10168640331627635,-2.301635655043199,-0.6214447277726172,902,0.4696024941543258
EVE_EUR,EUR_USD,H1,OOS,9.75319073174991,0.10303804274768114,-0.23067895710522934,0.13522762660600282,-1.7058567313122495,-0.4657266178623367,542,0.4664057403783431
EVE_GBP,GBP_USD,H1,FULL,6.923825172109075,0.10304172951231774,-0.21392853838825102,0.09356324461746858,-2.2864591674101673,-0.7660192023443761,1444,0.45498902171261285
EVE_GBP,GBP_USD,H1,IS,6.923825172109075,0.10304393221427997,-0.19590694973656722,0.10068268767177524,-1.9457858571994255,-0.5584517599356417,902,0.4602494154325799
EVE_GBP,GBP_USD,H1,OOS,6.923825172109075,0.10303804274768114,-0.24478036929944336,0.08044818275658383,-3.0427084977181873,-0.47498409007852194,542,0.4461839530332681
EVE_XAU,XAU_USD,H1,FULL,4.163753796211406,0.07217340673300868,0.2211985066164259,0.14600301766830584,1.5150269504631164,-0.19151674494039106,1428,0.5302530253025303
EVE_XAU,XAU_USD,H1,IS,4.163753796211406,0.0722172864576723,0.0875730953004261,0.09997941580013166,0.8759112523271093,-0.19151674494039106,891,0.5166959578207382
EVE_XAU,XAU_USD,H1,OOS,4.163753796211406,0.07210009189227398,0.44461983757037093,0.20076989037345108,2.2145742907132924,-0.1670781002244277,537,0.5519607843137255
EVE_JPY_SHORT,USD_JPY,H1,FULL,5.936827180869943,0.10306168618973405,-0.09932169244343066,0.11109035119124162,-0.8940622779421116,-0.6103769251797395,1444,0.4951219512195122
EVE_JPY_SHORT,USD_JPY,H1,IS,5.936827180869943,0.10307581111468037,-0.11542445780191593,0.10072480182144532,-1.145938792776467,-0.6103769251797395,902,0.48461238800155826
EVE_JPY_SHORT,USD_JPY,H1,OOS,5.936827180869943,0.10303804274768114,-0.07533622641479928,0.12665776022307187,-0.5948015051120105,-0.2639594216852579,542,0.5120678408349641
D1REV_NAS,NAS100_USD,D1,FULL,0.40298465096183694,0.6501210653753027,0.06397435914017773,0.08905975142495244,0.7183307623992943,-0.08014262319007115,545,0.5046554934823091
D1REV_NAS,NAS100_USD,D1,IS,0.40298465096183694,0.6943907156673114,0.07342508968450188,0.09979796728809796,0.735737326919069,-0.08014262319007115,339,0.5027855153203342
