name,symbol,tf,period,scale,exposure,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate
EVE_XAU,XAU_USD,H1,FULL,2.081876898105703,0.07217340673300868,0.11059925330821295,0.07300150883415292,1.5150269504631164,-0.09979369308346608,1428,0.5302530253025303
EVE_XAU,XAU_USD,H1,IS,2.081876898105703,0.0722172864576723,0.04378654765021305,0.04998970790006583,0.8759112523271093,-0.09979369308346608,891,0.5166959578207382
EVE_XAU,XAU_USD,H1,OOS,2.081876898105703,0.07210009189227398,0.22230991878518547,0.10038494518672554,2.2145742907132924,-0.08642656175225916,537,0.5519607843137255
WED_BTC,BTCUSDT,D1,FULL,0.18150949185857682,0.1430406852248394,0.037606645428369376,0.04568468914732659,0.8231783148856134,-0.06146139574726528,334,0.5179640718562875
WED_BTC,BTCUSDT,D1,IS,0.18150949185857682,0.1430527036276523,0.036442295475701006,0.05000788611061992,0.7287309724528017,-0.06146139574726528,209,0.5167464114832536
WED_BTC,BTCUSDT,D1,OOS,0.18150949185857682,0.14302059496567507,0.0395969748399664,0.037384473566981075,1.0591823573233212,-0.04100856144361398,125,0.52
WED_ETH,ETHUSDT,D1,FULL,0.13360671281928832,0.1430406852248394,0.03765080568184757,0.04526258242625713,0.8318307012903904,-0.05063161717468789,334,0.5299401197604791
WED_ETH,ETHUSDT,D1,IS,0.13360671281928832,0.1430527036276523,0.0344918441360933,0.04880641202127455,0.7067072277523375,-0.05063161717468789,209,0.5358851674641149
WED_ETH,ETHUSDT,D1,OOS,0.13360671281928832,0.14302059496567507,0.04297696222535624,0.03864464502652361,1.112106533670038,-0.03709999328198865,125,0.52
WED_SOL,SOLUSDT,D1,FULL,0.07362888981964162,0.1429247515380975,0.01789504800310363,0.03968035348202105,0.450980055185541,-0.08017575132192867,302,0.5231788079470199
WED_SOL,SOLUSDT,D1,IS,0.07362888981964162,0.1429725363489499,0.015830388227749986,0.04782936525958229,0.33097633936462234,-0.08017575132192867,177,0.519774011299435
WED_SOL,SOLUSDT,D1,OOS,0.07362888981964162,0.14285714285714285,0.020837701538704956,0.02381162913190638,0.8751060846476686,-0.01820713019350606,125,0.528
D1REV_NAS,NAS100_USD,D1,FULL,0.20149232548091847,0.6501210653753027,0.03198717957008886,0.04452987571247622,0.7183307623992943,-0.04027846932863721,545,0.5046554934823091
D1REV_NAS,NAS100_USD,D1,IS,0.20149232548091847,0.6943907156673114,0.03671254484225094,0.04989898364404898,0.735737326919069,-0.04027846932863721,339,0.5027855153203342
D1REV_NAS,NAS100_USD,D1,OOS,0.20149232548091847,0.5744336569579288,0.025169989135680193,0.03378134138482446,0.7450855443824166,-0.03012825783458828,206,0.5098591549295775
D1REV_UK,UK100_GBP,D1,FULL,0.28278831007113187,0.48729076255424675,0.027442505548983833,0.042419592021205516,0.6469299736608818,-0.04517807043231847,468,0.544529262086514
D1REV_UK,UK100_GBP,D1,IS,0.28278831007113187,0.5109126984126984,0.03740733537237041,0.0493326979451262,0.7582665641757396,-0.03512002206766229,298,0.5475728155339806
D1REV_UK,UK100_GBP,D1,OOS,0.28278831007113187,0.4479338842975207,0.010898675059031212,0.027291848953727472,0.39933809825452266,-0.02878919286781445,170,0.5387453874538746
D1REV_SPX,SPX500_USD,D1,FULL,0.24483712273464106,0.5472154963680388,0.014309649044935447,0.04348035644092327,0.3291060657328777,-0.060619327808074996,509,0.4856194690265487
D1REV_SPX,SPX500_USD,D1,IS,0.24483712273464106,0.5967117988394585,0.01585469722349289,0.0498103025741777,0.31830156421720207,-0.060619327808074996,325,0.47649918962722854
D1REV_SPX,SPX500_USD,D1,OOS,0.24483712273464106,0.46440129449838186,0.011790703515610332,0.030187959271830565,0.3905763688575215,-0.028791391311078884,184,0.5052264808362369
